a6: {a6, fa0c36af5dd488f8a1fb3a5d5dbe5dd5}
p2: {p2, 39586d77027bafcf1961e86822c535be}
androidx/core/widget: {androidx/core/widget, d17fe9aa920cd1f7cc7646397db9a257}
j: {j, d1e6e76d5f1e91147070dee0076ad2fa}
c1: {c1, c8f09e18fa1582a9240878cecde52f07}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
q4: {q4, 3feff894b5d9ca2cf0387d5eb8a7001e}
androidx/activity: {androidx/activity, 25258619fbc1561f3d8dc871d7ae9cfd}
x6: {x6, c2af8a78aea4b00d6a7f4df328f0fc14}
l1: {l1, 24f760eeb0314d326c37e8c084988d97}
i4: {i4, d8a1181d3bcc84daa3708e6b367a8022}
g6: {g6, 2a15ba00070aada7facb4b893dd080b8}
o0: {o0, 8766f07be02e4fd273452aa024fbf53c}
b5: {b5, 95ae93d910b9e7291c8ab7f1f17ae5b0}
com/google/android: {com/google/android, 9d25ecedfd46ce143a003acf7446d178}
androidx/window/extensions: {androidx/window/extensions, e381f6991873210ea6cc1b6be99b5314}
v2: {v2, 174e0b91af7650a37f81637b513078c8}
androidx/core/content: {androidx/core/content, c37f781b0d86a89fb466e2433378efcb}
z1: {z1, 1c36a6e6e7c0399eedd0b0ab2522a175}
m6: {m6, 956df9378396d5f8a28ae968d2404f49}
w0: {w0, 855df7efc066bb36c1c5443ba131b28e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 421832481c67f637ce2799aaf7f2d540}
r1: {r1, 15fc14573bffb06ee2e73424b48df921}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 6376bb5d612ea7567451cdc081fa395b}
e6: {e6, 3b8e5b844a7dcfd072bfa65c6d36a581}
j5: {j5, 74c3e1385b9274bbeca89c50ca7d9fee}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
coil/request: {coil/request, b14b2fad77c17dd572a8b1654c66329f}
androidx/appcompat/widget: {androidx/appcompat/widget, 1bad10971510c9b74046445147db6858}
d0: {d0, a00fa03afb22942984c624c1b7a1c43d}
f4: {f4, 82ca95ba46267e0316517e5ef957fffa}
b: {b, 2ea5b45ecbbb71f43ea388cdfd229880}
k1: {k1, 7d0cd198da3992e44bae2a44fb601059}
k: {k, d4830a793d1da2a63d6e495af108fef8}
g1: {g1, f952a34498a6d30ab4934fe2a95c7bc6}
c0: {c0, 7afcb0a759ed476f0e0ee5b7053d964d}
a5: {a5, ef820c4f23cfdb2f8650405f2e3970b0}
p3: {p3, 59efffd23f179b1130753f80c03e784f}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
e5: {e5, f6487c9f717f8115527e57580dee8bba}
b2: {b2, f593a143b54ec9afdbc6daa26a490f41}
q3: {q3, a0ed4d257377ffb6861a19392ee31a52}
d6: {d6, b131e0ed1b4a10e434e5487c683aee52}
l2: {l2, 267a8c6638176be763b509f5c2e83139}
i3: {i3, cabc1ebb0372543963df0bdf825de452}
androidx/core/graphics: {androidx/core/graphics, fd839095fcddf0805a05015daff4bbf8}
org/linphone: {org/linphone, 691e0298c9fa933b474573fc4dcfff0d}
o3: {o3, eb3a8a20de58aeb2a3a9b77e1daee953}
