androidx/appcompat: {androidx/appcompat, 4ab466c624a124ef96384a0a2a43a232}
coil/size: {coil/size, 6244d7ce2963e23e6da9a5c261a08196}
coil: {coil, 6b4c49e61aad5734a0bd8931b4b354cc}
coil/fetch: {coil/fetch, c35d38d860abde7e6d8ed66ed4b0bd2b}
androidx/room: {androidx/room, 9cad48c64673b7f60e5027c804126a54}
androidx/activity: {androidx/activity, 44eaf75a8e404d3bd5973cf9f30d2afe}
coil/drawable: {coil/drawable, ab36aac643ce17dd46ecf2c1663bf172}
androidx/core: {androidx/core, 29579b7adf0d2e04b9cfb3feb3bc64ff}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 44b6910ae2f3c7f31ab004f2c0d7b42c}
androidx/sqlite/db: {androidx/sqlite/db, e5d930ddf5077500f45799b6d0fcd7ae}
androidx/lifecycle: {androidx/lifecycle, 95f148fd9e573b50216db4e4154fd815}
androidx/fragment: {androidx/fragment, 3ca5806aeb8c5fc87183bbf27ee6d8ff}
androidx/concurrent/futures: {androidx/concurrent/futures, 5857db5c8580edf169cab2e94e9851c1}
androidx/navigation: {androidx/navigation, 029e9dc67a3e3a658fa0aebcda906487}
androidx/loader: {androidx/loader, 904cd75d460713f8eaa0c0fe8d62fabd}
androidx/vectordrawable: {androidx/vectordrawable, d5aa85e4d8efc479a57fe9c6727e1270}
androidx/recyclerview: {androidx/recyclerview, 459f1bb3d38ae05d7d69b8eb26e06b56}
com/google/android: {com/google/android, 5eb9cd35406119ae552508bfdf3a1e77}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
com/michaelflisar/dragselectrecyclerview: {com/michaelflisar/dragselectrecyclerview, 071bdf7d2b3e154bd351dc5c074c4dde}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 338b9d4d9818a64a328838b96ee5c4ba}
coil/transition: {coil/transition, 54bab5b3bb1b7c0059d9756dea0f2c16}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 8bb6d6f7b6431ac3b84682c74b0b46b9}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 38519d74e9cf8cca947bfc4f03eb4c5c}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, b7709eb519ac970724449bb63c71177a}
androidx/collection: {androidx/collection, 48b4a361532f43df19736d2b6aef23c3}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 66c5453ef61a88933f84f117e49e5490}
androidx/transition: {androidx/transition, e1578f834d84363e56acbdffad200867}
coil/request: {coil/request, c1e29d714e2d619d79c01e8e4bfbe838}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/cursoradapter: {androidx/cursoradapter, ce57f636c8568f5ffbc42ce9a778b40f}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 2f65a9d6f2eeba255178f1eb671d147d}
androidx/multidex: {androidx/multidex, 928b88b345620b5b6d13accc228c7f7d}
coil/base: {coil/base, 3368c2b1abd592231e2cbfc4e07d03f1}
coil/key: {coil/key, a5c82d3bf9db979000351080d8e167c0}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 9512806ee9ea7af5edf5c9c4cf48b25d}
coil/map: {coil/map, 2ceaa490fce7ed83e6148909a6dac95e}
androidx/exifinterface: {androidx/exifinterface, fc156c104f1e8222bc800c8fc1649415}
androidx/paging: {androidx/paging, ebae34f6eff238d77d1793b58f18d94b}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2: {androidx/emoji2, db823d5f530613c383e1ecb0c428c6fa}
coil/singleton: {coil/singleton, 3368c2b1abd592231e2cbfc4e07d03f1}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, 2ac9d2544a8d728efe73c60f482717a9}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
coil/decode: {coil/decode, 90ab6a5f97f75cb05d096c605169ef1c}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, dcbe7fe5042ea8e1254516d9ad7f2990}
coil/target: {coil/target, 259dde3c1a54eca7cbe2f6985bfd6f76}
coil/memory: {coil/memory, d1f8664c9694ba15fbf817b5524eedef}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/iconics, com/mikepenz/fastadapter, com/mikepenz/materialdrawer, ], 03cfd5a85bc9129e702bf633e3fa235f}
androidx/viewpager2: {androidx/viewpager2, 37c2b462156b2f7f11e9df3d386f1344}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 6414ef86763c59fedc7f82b34c0913c1}
androidx/savedstate: {androidx/savedstate, e6e875e8f94b42112b527b53fe011d12}
androidx/documentfile: {androidx/documentfile, c1e8882d9a131f86ce61208986d323c2}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
coil/network: {coil/network, 2d4e41de67eaa6654957cc917dc8ef44}
coil/disk: {coil/disk, c45e5920f8bea3c9349a9ee7ab78be27}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
coil/transform: {coil/transform, a978f4d8010f61dd4277088d1f3db37e}
androidx/tracing: {androidx/tracing, 00ba871b13d3868284ed0b1147f7f736}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 375a9cb174f483170d5cb09b8219a001}
coil/util: {coil/util, 216e84f676f6298142d5007b0e583e4e}
coil/intercept: {coil/intercept, 16e24ce8ab40ffc1a2b58ac7c4e7b363}
androidx/customview: {androidx/customview, e09c7f828267e07106f1fc717e51e8fb}
androidx/window: {androidx/window, e9aed1c921665ea5699c72c399deee2a}
androidx/annotation: {androidx/annotation, d8e184263d4b8f1b55b5dc37ed196805}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, 4b21d82fe9206d47bed66914033b22c4}
androidx/databinding: {androidx/databinding, 61acb2c77f1e1786e7d879ea77fd97a3}
