androidx/appcompat: {androidx/appcompat, 4bf54c3d7f9effc7ae2a0d81103ef516}
kotlin/collections: {kotlin/collections, d9d44ce983000a3eb5bb241911a09d94}
kotlin/jvm/functions: {kotlin/jvm/functions, 40b355d1a8a50b1a2eb6e130b393cb2e}
kotlin: {kotlin, 908c96d9515f6c056c801865b5af8cb0}
kotlin/io: {kotlin/io, 4fc41b7fff142d16af53d4e5e0b33926}
kotlin/internal: {kotlin/internal, 0416340d018b3cb3c1fee08c32410b68}
rikka/sui: {rikka/sui, 91089f177f2968e7ea29a565db368842}
androidx/activity: {androidx/activity, 1c2729806a045db3f05f8e0191fcc46d}
androidx/profileinstaller: {androidx/profileinstaller, 0bed6bcd8d9020467b83ac3318dcfce2}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1ca2d2495fe34587e93ae857d0b928d1}
androidx/compose/foundation: {androidx/compose/foundation, dfd0a88b0d55e83ca6c62a1fc103dcb3}
androidx/preference: {androidx/preference, a296bdf6542fb23642e3575875c148c9}
androidx/customview/widget: {androidx/customview/widget, da88390e55179c762aaa581be94fb603}
androidx/compose/material3: {androidx/compose/material3, 91805201d4018268c18e6191c5c10de6}
androidx/lifecycle: {androidx/lifecycle, bbe309069f7f33eba5903626927a3e7c}
androidx/fragment: {androidx/fragment, f5dfc22fdd51b92b86fd9977f6944819}
androidx/emoji2/text: {androidx/emoji2/text, b97e678a2494699e53cc3b71c1885662}
androidx/navigation: {androidx/navigation, 0463abbaf8a4a7253d6110b21fbcb00c}
androidx/compose/animation: {androidx/compose/animation, 0a72b2fd9dac124a0d363f193c1cf864}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, c005ae51fd484e898cdb1812f09927d1}
com/topjohnwu/superuser: {com/topjohnwu/superuser, 314f819c22b85461b073e2aea126fc90}
kotlin/coroutines: {kotlin/coroutines, c6f70a5a2afc58edc36a9c2747ad704b}
moe/shizuku/api: {moe/shizuku/api, efc2917dd82782b429eb785ad3cf42ca}
kotlin/text: {kotlin/text, 464eaa0013ca82f7181c066baa3ff4a1}
androidx/versionedparcelable: {androidx/versionedparcelable, 3ef2f9dd8772ae10f744f6f4293377cc}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 2df8f2ee35dff938ad7ef841215d5d19}
androidx/compose/runtime: {androidx/compose/runtime, 567be910feada16957eee4f56fa522c5}
androidx/core: {androidx/core, 43492525c3d9cead715920cdf668bd20}
androidx/collection: {androidx/collection, 00ba86c1718a9a65085451265f1028ab}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, ea8d714756b7fac3d3b7ea3c4d036176}
androidx/transition: {androidx/transition, 8d92f4a867b3b5743d2c4243632321e2}
kotlin/random: {kotlin/random, 8c32dee0b49e9d9934afd2853de99ec3}
rikka/shizuku: {rikka/shizuku, d96bf3b0f8cedd73e06b01cd0f2982fe}
dagger/internal: {dagger/internal, 6763cbe149051081d4680d54da235a5d}
kotlinx/serialization: {kotlinx/serialization, e87ca1beab667e9ec9e695aa24b620c1}
kotlin/jvm/internal: {kotlin/jvm/internal, 03b4e4fb9af5cfd30f3cb4c3b931fca7}
androidx/interpolator/view: {androidx/interpolator/view, 550d9160df6aca4f53bbdd4bfb6e1728}
kotlinx/coroutines: {kotlinx/coroutines, 5de3e732c6d54960abea36e784a22f39}
org/lsposed/hiddenapibypass: {org/lsposed/hiddenapibypass, 91d6fe0bf41d400a3e4a1a259849f204}
androidx/compose/material: {androidx/compose/material, 8a01cd653c09aa8561974bbc7829f6dc}
moe/shizuku/server: {moe/shizuku/server, 74f39b7fca64200709528c33cfb3a054}
com/google/android: {com/google/android, 066ebab6a6c411e035ff464c1d725c3b}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 374e53b793d2f17e7b3a64600c381eb2}
kotlin/sequences: {kotlin/sequences, 114f820b345a96377231993a0cc18bb2}
dagger/hilt/internal: {dagger/hilt/internal, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
org/tukaani/xz: {org/tukaani/xz, 1ac48b783d828c25a5d943941e783fa6}
androidx/arch/core: {androidx/arch/core, dd0032fe01961649a0b377bf3e352449}
kotlin/time: {kotlin/time, f71dda96c6897ef8dde3582b60d5f565}
androidx/savedstate: {androidx/savedstate, 0f89152185e4fcfc3127141f15ffc367}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
org/apache/commons: {org/apache/commons, f44c710f83f99dd0565327bdaa4e90e4}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, b09b1780d072e676e706657807fbd063}
androidx/datastore/preferences: {androidx/datastore/preferences, 71e199298d13df7493541386a3771951}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
dagger/hilt/android: {dagger/hilt/android, a46a6979338efd6b87dd12c0993c08a3}
kotlin/ranges: {kotlin/ranges, 12671e1caf962a51187ef7c3e7d4d977}
vegabobo/dsusideloader: {vegabobo/dsusideloader, f4be4d47481f1d0d694ca6c1bbee941a}
androidx/datastore/core: {androidx/datastore/core, 62ecf914e7e854152fcb41218b622040}
androidx/documentfile/provider: {androidx/documentfile/provider, 77ae4a6613508504dcd8d745f1ee4bde}
androidx/startup: {androidx/startup, 31c1f073b537d6ba76d00b29867c0faa}
kotlin/comparisons: {kotlin/comparisons, c2b4cd46a28d98f4843e1ad97efd8d06}
androidx/concurrent/futures: {androidx/concurrent/futures, 432fe11327f9f0194aaaa2abfd758309}
androidx/compose/ui: {androidx/compose/ui, 5890c277455acd439dcc9e49f5fa417e}
androidx/recyclerview: {androidx/recyclerview, 56bd2303715e2e32fdb68af4d1932d8d}
androidx/customview/view: {androidx/customview/view, 35cc63e5b7af29af915fa42e1f5815c7}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 4719a2e471887a226f5375283b0438f2}
androidx/loader/app: {androidx/loader/app, 13729ae5041c8d167c95a196cfde52e8}
