org/aspectj/lang: {org/aspectj/lang, d6caf6bdb3161c5e6ad2452650ca107e}
org/xbill/DNS: {org/xbill/DNS, eb040b83969d6b92a2b5edfb39ca3936}
kotlin/internal: {kotlin/internal, 73f13a5dbb9282e9abdb724e21ce3294}
j$/util/stream: {[j$/util/function, j$/util/stream, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/sequences: {kotlin/sequences, 98c1ed2983951ec0038bd656107d3779}
org/osmdroid/library: {org/osmdroid/library, 3c74143cb88655caab62ff426ed2c9d6}
android/util: {android/util, 2592f579610958ee82a88ce6a9a12e2b}
com/google/android: {com/google/android, 366a5b67014e1a61362e162a1b147c4c}
android/os: {android/os, 1966adf680fec7c72a64a5bc9208ed26}
org/h2/util: {org/h2/util, bed76599d16ba9f25371ea708e3bcc9c}
android/hardware/camera2: {android/hardware/camera2, 5fee9452b14cbc7cec08442f4ca41ead}
cn/hutool/core: {cn/hutool/core, 61c2a1506e8a592288fcff8c0070e037}
kotlin/random: {kotlin/random, 074b8ce71fa18103cfcd47516058981c}
android/telecom: {android/telecom, ada72dab0c405709441cc1c8fd6c2e8f}
tw/nekomimi/nekogram: {tw/nekomimi/nekogram, 8f4170e4596e65092fcf149fc351f067}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, a32af59ee06485736f5651c5750ed0b4}
android/telephony: {android/telephony, c4e9eeb25e17c46354752ac4239a9772}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
android/media: {android/media, f51b16abfcf4350ab9b1f798e14af647}
androidx/palette/graphics: {androidx/palette/graphics, e7015a9f7ccedcb923ae8ce2fa0ff3b6}
javax/net/ssl: {javax/net/ssl, a8522f0bc8656146eeb074b655f45770}
org/h2/message: {[org/h2/message, org/h2/jdbc, ], 851938a8b2632f67ac630225305f80d1}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
kotlinx/coroutines: {kotlinx/coroutines, b5d94b97dfb253f920cac6b281e0ab57}
cn/hutool/crypto: {cn/hutool/crypto, 8e4673aa1c2143b40bad7fc1c513d4a5}
org/dizitart/no2: {org/dizitart/no2, 3e2ebddc1e8006a8386c6095004ea098}
com/mp4parser/iso14496: {com/mp4parser/iso14496, 619547002cb8914df115086561b1af90}
com/neovisionaries/ws: {com/neovisionaries/ws, f9128d709bae228345a35582eb44c5e7}
