androidx/appcompat: {androidx/appcompat, 3c0d1ccccbfb43df9bc61b85bc5bb477}
kotlin/collections: {kotlin/collections, c5caa1148371ffbf07e1d5fb9c4c6b14}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin: {kotlin, 343b81fa35c87f8a0ebe02b5bb7eef45}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
me/saket/bettermovementmethod: {me/saket/bettermovementmethod, aec1ba98eee884941261328b68c5f61a}
kotlin/internal: {kotlin/internal, 08cadaf1f30a5daab04d0dad07db2b47}
androidx/activity: {androidx/activity, 8e454b3424565aef00133281da595059}
com/squareup/moshi: {com/squareup/moshi, e156e274592e0ad904e5f17af41fcb2f}
androidx/profileinstaller: {androidx/profileinstaller, f72efac035322b3255a1279efaea6d1d}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 00a2ddbefb0fee5312b8857d046c331d}
androidx/preference: {androidx/preference, c65bc1e4e29e9001ae14a9398464304d}
androidx/customview/widget: {androidx/customview/widget, dc6208a2ebf194b86e6f43f16a034100}
org/ligi/snackengage: {org/ligi/snackengage, f37a1aa64035f25872324b4b89983db1}
androidx/lifecycle: {androidx/lifecycle, fe9da1039848e09dfcf81f825b4bd001}
androidx/fragment: {androidx/fragment, ef3090c71cbd5e5b6de929cf4f5d6e58}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 0b9949568eda4141c1e85bad3e2b98b3}
kotlin/reflect: {kotlin/reflect, 9c6c0b66d6c47154da14ad4cd741c190}
kotlin/coroutines: {kotlin/coroutines, 948369e8091ef1f85b4053abf0a66960}
kotlin/math: {kotlin/math, 7b51c8acaa214e18dff164edf18ac63b}
kotlin/text: {kotlin/text, e15366972b71836bafe7ff281a0e7695}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
nerd/tuxmobil/fahrplan: {nerd/tuxmobil/fahrplan, 7b0d68b0064a7d705137eed42aba7e48}
androidx/versionedparcelable: {androidx/versionedparcelable, 43279262471d777d1068e3b1fbe04d59}
androidx/window/layout: {androidx/window/layout, 8a2174e341555b1a76e0764dcb25c926}
okhttp3: {okhttp3, 2deb2dfaef083ff97ddcd47990458b75}
androidx/startup: {androidx/startup, 301c7463362e3c3e1de60b1f770b9cc0}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 69772cdbd5bf0dbe5cb9459239df1681}
androidx/core: {androidx/core, e0b91a0970fc3b1927195db31943d3a6}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, a4f8bc1adecd314c02d34c94bbe85acb}
androidx/collection: {androidx/collection, f20ee9681da42540f10ce5ab0fa7f217}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 2d5f85587ad25b1dbde1e5290982c0a4}
androidx/transition: {androidx/transition, 7e1f272537e2101bbbb791905558a793}
kotlin/random: {kotlin/random, fce2d16a4058df05913923249b2b86d6}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
androidx/multidex: {androidx/multidex, 9143235621071aeb4cea022461127b5d}
androidx/cardview: {androidx/cardview, f0e74ba7aa25e6c1dc9a0bd4a4f24584}
androidx/drawerlayout: {androidx/drawerlayout, f92323e01ba2229d8b566d637f5c9dd2}
org/ligi/tracedroid: {org/ligi/tracedroid, 60f7883ae22faffe260821306b8d1fcb}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 575a9b26bb32a23af496c878d41be1c2}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 1ab1c1562076d9672e0bcc76bf686202}
de/cketti/mailto: {de/cketti/mailto, db56687e5b1d507d18f0a212c44c0352}
kotlinx/coroutines: {kotlinx/coroutines, 23a6203f1abdd4ee9b1886783e6556b5}
info/metadude/kotlin: {info/metadude/kotlin, 2c99f7272bd001612be6f1d18f305b91}
androidx/viewpager/widget: {androidx/viewpager/widget, f1476fc69d98a5ca4b1e84d85890eb0e}
kotlin/sequences: {kotlin/sequences, cd5a9194c98128d7ce88af96ba26d51d}
androidx/customview/view: {androidx/customview/view, b5cdfa065e3a3b75a289919ef247c136}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
com/google/android: {com/google/android, 9233e46ed4bf64fab15cde8e046b67cc}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 84b070de259ecafcbcb93fca8d58abcc}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 27ca2d2c20261fe1be487ac306d07155}
androidx/arch/core: {androidx/arch/core, 770665bd3724ccb26dd5659137158331}
androidx/emoji2/text: {androidx/emoji2/text, f07a5ac8440d3166c50ab38c042d41a3}
_COROUTINE: {_COROUTINE, 8e0f39b725c217c6bb62b24541ee0a02}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 427183a63b61b2ffdbd58ec1ba8d77e4}
androidx/viewpager2: {androidx/viewpager2, cd3da4890bda8a469fc53ad8fc8d5628}
androidx/legacy/content: {androidx/legacy/content, afc26ca326b4075d07bfd31afbca758d}
androidx/savedstate: {androidx/savedstate, 61295bc7076260f44632df7cca1f4521}
okhttp3/internal: {okhttp3/internal, b971a092b46e1ec7ebcfe26a5c93efdc}
androidx/window/core: {androidx/window/core, c9b8b42458fc2dbdaf76efc737d030b8}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 8c1eef2091a5bf50220da5348a9a1b64}
org/commonmark: {org/commonmark, 5745b6e8bd58ef3438886502e81b163c}
retrofit2/converter/moshi: {retrofit2/converter/moshi, 5fe21b0f25654e4309c2d78c7e8a9120}
kotlin/ranges: {kotlin/ranges, d94a4a0492fd6d8bbe0744505401c42b}
androidx/tracing: {androidx/tracing, 9ccead7bacc2c52b0825bd8172672c07}
org/threeten/bp: {org/threeten/bp, c52904494a568dcd6e74c4faddc71892}
okio/internal: {okio/internal, 61c9ab6f8a7352cad09d2f629ca6d551}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
androidx/concurrent/futures: {androidx/concurrent/futures, bc551e19b223288ea73e4111a639dc94}
okio: {okio, 2b4e86c95203671126aaa01b17c6bb93}
androidx/recyclerview: {androidx/recyclerview, dbe32b86de8f979f6810150a26ffb646}
androidx/loader/app: {androidx/loader/app, 6d417a5638bff7d0b195e62721b74cf4}
info/metadude/android: {info/metadude/android, 87811bde36db5e9e24f6e86eec13605d}
