rx/observables: {rx/observables, f2b7d2812237f3f4a0900d7a5d801bb2}
rx/functions: {rx/functions, bb7002929ed128381581ffaa3d38995b}
retrofit2/http: {retrofit2/http, 987d4ae0f1c9f0210bcb1a5302104828}
rx/subjects: {rx/subjects, e27a787b038c61112279201588da793e}
rx: {rx, e1efd01c0a8efbe3546c389f7a0d6389}
com/appunite/websocket: {com/appunite/websocket, c6636170c62da12dc6ade436dbd6933e}
butterknife: {butterknife, d092a256e325d4a8339503ba5f420061}
org/erlymon/monitor: {org/erlymon/monitor, bf8b4515caeebdbea205f434537d31b3}
io/fabric/sdk: {io/fabric/sdk, e6dd6e3308ed8b0159132ab85c6b89d2}
rx/subscriptions: {rx/subscriptions, 14c598ec810ec64849a3439d94ecd092}
com/squareup/otto: {com/squareup/otto, ced37f2b161d22d67293cc80ae71e133}
com/jakewharton/rxbinding: {com/jakewharton/rxbinding, 0c7fbf6c74d5f6fc6985fd3a35af2473}
com/franmontiel/persistentcookiejar: {com/franmontiel/persistentcookiejar, 392dbb9fd0c56363adc3baa9475e0065}
timber/log: {timber/log, afe31776f3f459f12b4b8a853ba394cb}
android/util: {android/util, 3c3eebe156debed3d40756aafc896ba7}
android/support/annotation: {android/support/annotation, a7700a1f1325ab816fd3642a22787c6f}
android/support/multidex: {android/support/multidex, f8a48724482a4da3b87950ab06afde57}
android/support/coreui: {android/support/coreui, 0db390eeeb150a4b7e83ec8056f6ee13}
fr/ganfra/materialspinner: {fr/ganfra/materialspinner, ef5aefcb513d0145f2d0fb4f783cd0be}
retrofit2/adapter/rxjava: {retrofit2/adapter/rxjava, 29611d125a816ac78c0c5980be3aeb92}
rx/internal/operators: {rx/internal/operators, 9850491394035d9e9b4dee96a646ff5f}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
okhttp3: {okhttp3, 7ae39eb625e114fe47c609618520f2d5}
com/pushtorefresh/storio: {com/pushtorefresh/storio, d1281ff190eacfbd6a63d06b4f8c57e6}
com/nineoldandroids/view: {com/nineoldandroids/view, 7f2c8607365a9206fb72c42221adc9c9}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], b03916fc639ad9eb8df8e48ecb5176f0}
com/android/databinding: {com/android/databinding, 1833a50bc59fea53f10687781b334f5c}
com/tbruyelle/rxpermissions: {com/tbruyelle/rxpermissions, cd68ea40e8e01c1b9e9e231dd952ca75}
com/facebook/stetho: {com/facebook/stetho, 8c85e2bc723471bcb78df7088309099f}
rx/observers: {rx/observers, 21e5b492b04a9b3a90b3f57b9474d9a1}
android/support/transition: {android/support/transition, fd1b847fb58bb5e2d34b9fb1394de699}
com/nineoldandroids/animation: {[com/nineoldandroids/util, com/nineoldandroids/animation, ], 0bfb5a173abce59c317426b9fbcb18a7}
okhttp3/logging: {okhttp3/logging, 9e42169126e04ac7b21be3f77fdd47a8}
dagger/internal: {dagger/internal, df4532eb33ee5a416786c1cc3e809f7d}
javax/annotation: {javax/annotation, d0235602ffb83204f31178d82cc1c0d8}
retrofit2/converter/gson: {retrofit2/converter/gson, 8e4a8103d3b9f988d7fba78c302c89cf}
dagger: {dagger, 36e64ff8e06e5b86bb1115050d6e33cc}
microsoft/mappoint: {microsoft/mappoint, 5c22e8723a033fc7377ea2e79c21f8fa}
android/databinding: {android/databinding, e98e9a959a2f24dd469daea2eeef753a}
android/support/v7: {android/support/v7, 662f39625dfd294b6cef486d3a947b3b}
okhttp3/ws: {okhttp3/ws, e70b9ad3353aeea76008b50ea6cc09c7}
butterknife/internal: {butterknife/internal, 50f28fa1e2325bd751c34c003ab2ea8f}
rx/singles: {rx/singles, 525206ed3d3be0182b601ad54ad6c67f}
rx/exceptions: {rx/exceptions, c0e536a5751afeec29e539148476b704}
rx/internal/producers: {rx/internal/producers, 13dd81a65f0052963f093dbd41ebb372}
dagger/releasablereferences: {dagger/releasablereferences, 8aa7bd7b9eddb0c8dddc509e66f9bc28}
android/support/coreutils: {android/support/coreutils, 0db390eeeb150a4b7e83ec8056f6ee13}
android/support/constraint: {android/support/constraint, 53c7a6611269cb7d52646808fa5c4fef}
com/jaredrummler/android: {com/jaredrummler/android, c2b6265d3a7c6f3a1f0d45fe64fa4617}
android/support/graphics: {android/support/graphics, 754399649dfc90a71cd6c61e54955595}
pl/charmas/android: {pl/charmas/android, 5b696208ff4a6b249464cff1e72d628d}
android/support/fragment: {android/support/fragment, 0db390eeeb150a4b7e83ec8056f6ee13}
rx/android: {rx/android, 5e5eaf1f205a690072e58f78ef4522a2}
ru/terrakok/cicerone: {ru/terrakok/cicerone, a6a5bccbad4d4f213787c6a6be4b9f0e}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
rx/plugins: {rx/plugins, 7f9805331f0cae6ffb98754039308909}
org/apache/commons: {org/apache/commons, a6643e580d1a0b21e4c4083bc9bdd1e9}
android/support/design: {android/support/design, 8bd474108f684c00325cc0697b88bd26}
com/arellomobile/mvp: {com/arellomobile/mvp, 27ac67c2c4f4e9c77b975937e7773ae8}
okhttp3/internal: {okhttp3/internal, 5d36f5b2a733f43916422f047fbe963a}
android/support/compat: {android/support/compat, 0db390eeeb150a4b7e83ec8056f6ee13}
rx/internal/subscriptions: {rx/internal/subscriptions, bbed36c701cbd873e272d4a81656906d}
android/support/mediacompat: {android/support/mediacompat, 0db390eeeb150a4b7e83ec8056f6ee13}
rx/schedulers: {rx/schedulers, 8f1b2961ad7c3f5f22ec7739fe895d1e}
com/google/gson: {com/google/gson, 8e15f1d4d45af944dea2d3fed944381f}
org/metalev/multitouch: {org/metalev/multitouch, 4388b5e021fc90a003b7d8a3fa68de36}
okio: {okio, 4004cd8b4d23454c52d3569a6847f366}
com/crashlytics/android: {com/crashlytics/android, 95df51fd70c21a5c1226e3200620ea8d}
org/osmdroid: {org/osmdroid, 53706f679b7f0603a2c15876ff7fea60}
com/transitionseverywhere: {com/transitionseverywhere, 1b6c094be60ed0822a40b9078bce25de}
rx/internal/util: {[rx/internal/schedulers, rx/internal/util, ], 90ec4f31fda5536836a380e9786163c5}
retrofit2: {retrofit2, 3bc0eb97143c25b9e99f7e7284936c1f}
