androidx/appcompat: {androidx/appcompat, 5d8ebdc4c9e6ec9506ee5f9bec1ff49e}
kotlin/collections: {kotlin/collections, 34c2d0163cf7bca7589e898c9a425780}
kotlin/jvm/functions: {kotlin/jvm/functions, e381f6991873210ea6cc1b6be99b5314}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
com/mikepenz/materialize: {com/mikepenz/materialize, 746fd9cd4c184c257830aa759b2bfde9}
androidx/room: {androidx/room, 252c1ddd2fefa95a32e9901061db578b}
androidx/activity: {androidx/activity, fac3f696b93dbc477ddfdd87f43ae444}
kotlin/sequences: {kotlin/sequences, e651e62e24fe5c2ddbf2feed32055aea}
androidx/customview/widget: {androidx/customview/widget, 6a718fa154b90f2f6a99ee07928c020f}
androidx/core: {androidx/core, 65e583f9903cae0529a52806dce01958}
androidx/preference: {androidx/preference, 9e4fb1afcb313c92bebb13bb07db9592}
androidx/sqlite/db: {androidx/sqlite/db, d4cf50befb309e886f2e101356705a0e}
androidx/lifecycle: {androidx/lifecycle, a6f18ffe11d565628b2291cfef95aa79}
kotlin: {kotlin, 53d33a4f164e92c8b45890adb7c2f27e}
timber/log: {timber/log, 3963cda3587971a8e503f0c796c919a1}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, b95ba1ad991a33527ce7bc32ec00037c}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
kotlin/jvm/internal: {kotlin/jvm/internal, b430027ed59e67e88493e8bd93d83ae3}
kotlin/math: {kotlin/math, 7b51c8acaa214e18dff164edf18ac63b}
kotlin/text: {kotlin/text, 71efe0544f9f1b8539a843e628cb328e}
com/mikepenz/iconics: {com/mikepenz/iconics, f601e36d92f34fdfbe9dbcdd76f5e469}
androidx/versionedparcelable: {androidx/versionedparcelable, 43279262471d777d1068e3b1fbe04d59}
okhttp3: {okhttp3, 371aa8da07d9730758b5253c86e73a98}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 5d71f04c23d4e30aaa6cb346728ea99b}
androidx/collection: {androidx/collection, ab97883623a65007380db514f7ed01ab}
