a6: {a6, 30f144e07e64e53be75f11bdf4c3361c}
p2: {p2, f364150794042948d7606cb4b5d0f154}
androidx/core/widget: {androidx/core/widget, d79daf418ba2fc42518bbf0a335dad25}
j: {j, 4cbe4c44a40eba847424a84f8d576e46}
c1: {c1, ce058d74c2fd788b88707fcc31ebe1a7}
q4: {q4, 68e2e422457c2d24da02d5c578c33f84}
b1: {b1, 73d41090aff57448ed05dada462f2838}
l1: {l1, 74eb82242d2061d3404c876347073fd3}
androidx/preference: {androidx/preference, e8d52c9f5cad9aac3633f078d2f2998b}
i4: {i4, a13ff57fa07c26ba8febf2c840f173e5}
o0: {o0, 08555736a6e8535c7cba432d9d0e2c93}
b5: {b5, ea1cd316cba1530f140bbedcac4ed5bb}
com/google/android: {com/google/android, 245fd0e5622ec2d0bdfd246d9abaa92e}
v2: {v2, 96b60b4974274d7fd5b685d0009b416f}
z1: {z1, e6b52fd529f5d22539342a6ae7a58b0c}
t2: {t2, e98a42452392dc0c734ff8bf7f365028}
w0: {w0, 462bddb95e6e48a967255ded40b07ee7}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, f8f40bbdf724c8db23b74274167c618c}
r1: {r1, 646fa026dc4b39d7ed4247190c8fbd37}
j5: {j5, f10b1136593ec3ea95d0a6316f212084}
d0: {d0, 3e09bdff5f41c90c54eec2e8605799dd}
f4: {f4, 98fe9adfefb60935509f86f096b3388d}
b: {b, bdcdaec688f95dfa4c5d8d6603974036}
k1: {k1, e738e32f4238138753f58657ca20a86b}
k: {k, 6ce0a2af5850ded54b0559cdae325183}
g1: {g1, 6c09a594aef482391a476d8b88ec2f21}
c0: {c0, 96b4b2af8c29d61125459c9e27e65969}
a5: {a5, 91c1a2c4c3cdf0edcc0af41241e08cd4}
p3: {p3, 9002a4a073528113d8d075a36cc3a281}
e5: {e5, 6ff2d93c4340c9f81a7538fe82959ccc}
b2: {b2, 75f584062dca77b6947dd1ded5d1a6f7}
q3: {q3, b51b98087febd6ffa6f2ba3930215ffc}
l2: {l2, 9419af722d43fabf41b2c98e2cbb453f}
i3: {i3, e25092201457ebe02a5abc35a7f8eca0}
androidx/core/graphics: {androidx/core/graphics, 575ffaeb0e81cdada5d6918ae6496d8d}
o3: {o3, 9c92930cd10fc52a9d3d894b81ff8c15}
m5: {m5, 2b4852d26467d1b24404c7f2875bdb9c}
t3: {t3, 403db999cf014b4207cb76a1b854e7ef}
j2: {j2, 2ad4d59cc8665fa0956310c8ab8ce376}
v3: {v3, d5799e01b9509ff95a22c67b3d9ac307}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 9d918ca27cc464d609323b9ad3ae220b}
h2: {h2, 9855d63fe26e008d171477e5b52e57a4}
n5: {n5, 9b9c9352563d1304ae9b71420e7803d3}
u3: {u3, 1bed26dd568171dd280210b16e873d8e}
f5: {f5, 79f1757ea6b9d6097755e1c236142dc0}
androidx/appcompat/view: {androidx/appcompat/view, 0ce7ffbedaa9ea1c2621665d5066da77}
w3: {w3, d5799e01b9509ff95a22c67b3d9ac307}
z: {z, d8710e8fdc34bc9882949de167ca8117}
s4: {s4, 9d9da65bdb852963b48d4e70c7b024f6}
c: {c, d041cfb2efd87faa94a0809040d78e57}
k0: {k0, 11b95fbc55d9c3e5f4b228f03cc4562a}
g0: {g0, 8fb746af5f856cd2e210a578c46e3bb5}
x0: {x0, e47994ae13fb57c74ab56d9c4e64c4be}
b3: {b3, e18555ec7226e4c5e5beaa97e883e5d4}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, 10b5ae04d70343d635e64b6d987117ab}
q2: {q2, 5d836e1f254f2969c53a18548c7ad249}
e4: {e4, a016afc076dc96972da355711afca2d7}
m3: {m3, c68e1919ccf37c1dbec6446450453b1e}
i2: {i2, 1d881276125d6d6770a045123d98ab12}
androidx/lifecycle: {androidx/lifecycle, 24e0496517c126f71ae15b7bf8dcb7a6}
c3: {c3, 63dd6ab0ade985fdd84892daa53bf7c8}
a4: {a4, e5068c44b4e01cc637c23070e0183780}
h4: {h4, c1ba71d76f6aaaa31d76655cfe6013e6}
t: {t, 954f6635c21433dab816cc4f9183b8a1}
g2: {g2, 98c1127791d9f273d89c2a380600c938}
androidx/media: {androidx/media, 4fb9d410f4095db2a8bf1f9c7bd99d45}
j3: {j3, 14f59ddcf5da2da3c9747b258c6532d1}
m4: {m4, de2b2bd932583d54644231891358a7e2}
t4: {t4, 81c34ac75012a6400def88482e3602c7}
u2: {u2, 8ed85cbe4b8f343910cee87ab6a48123}
s: {s, a5805ec3503372b464541f5119efa060}
d: {d, a6088e1735d9630442cde34a8d1d9d67}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, 0f62c088259bd76313e0834fdc24d182}
n2: {n2, eb84087b908f07b658da074feda465cd}
org/ttrssreader: {org/ttrssreader, 4c8eb57d200d5476b4d36025eb0bf080}
p4: {p4, 14ef5e858a14da6901e2cdecabc18c90}
l: {l, e32108de2e5f8e1ccdfd3a2196394b57}
y0: {y0, 95a72f0f1c4c1fc0047d4cba5e48cbac}
f2: {f2, a810f931fe268f40647d8c4ed6457cd3}
v0: {v0, 4daad7eebf5e795b05061d970dc699f1}
pub/devrel/easypermissions: {pub/devrel/easypermissions, 36b7d303dff380a0ce7a41f0531e1130}
d2: {d2, 2b5783f4629ceaac4660aa3a99aa5df2}
q1: {q1, 430d67e5f3f88c0fa10dae586bd79946}
x1: {x1, 3d413b2749e587a8253637a9ea99c6fb}
g3: {g3, 56ae46eebbc74d216f06cbe5a6f4d5a0}
r4: {r4, 679ef032381d462d1f697b5fe474f873}
b0: {b0, 4e30dfe3ecd3f67b096f626b3c036779}
y5: {y5, 65d78825614c19f3a849d588f67c7e32}
m2: {m2, 9f43477b39b2ca74a3c1c16bea4726ab}
d1: {d1, fa02da4d70d13c0f41c9e8f5fb9ad333}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
o5: {o5, 793510556ca5c5b743b024aa8c1acdbe}
h5: {h5, 1834d638a81666e9b0ad8d90006d9ea7}
w5: {w5, 6319e2f5c1400308332f960c7f3a8b1a}
c2: {c2, 619a55d187555caab0b123db09169bf1}
a3: {a3, 98e7192a072f29cc6287f17e673b5cf4}
z4: {z4, 2a692d2cb0ac0edad5768c5219811cb2}
androidx/fragment/app: {androidx/fragment/app, 4e40854b4335ae87c255dca97ea432c7}
t5: {t5, 0dda27f2da36938c7376b81c909f56e0}
j0: {j0, 8b44903ea77c2241ed3dd89cb5ed7481}
l3: {l3, b19724cf0ea0c123c4555b063a18d4af}
n3: {n3, dd65b5d24569548e5e58beb11bf32a0b}
u1: {u1, d22e5a38da22a60ec559bf977e2da10e}
e: {e, dc8663c6de4e37e7522d3d864236ec20}
p5: {p5, c7192c9507e240d6332e85427b5c0656}
l0: {l0, b3ac7a59800faf745a9316e3f75efeee}
f3: {f3, 8f2c3f323b265cac03ac04cc395a9778}
m: {m, 8baa8e6a0180cbd864c76cba4f00571f}
e3: {e3, d0b3273287f6abf8654fc96a16fd9f2f}
v1: {v1, 1b4244c92764553f3c5a6ac66795ae35}
y4: {y4, 6ed566a921d568ed812786cd6ea6332a}
q0: {q0, 6efc9aff38af261fd62775fd990df536}
f0: {f0, a34965294d2067e0d44a87bc7e4b510e}
c5: {c5, 5cb806d53d70c2632728b9c01477c094}
w4: {w4, cb29b20fe815e2c1902f124c2e29aebc}
androidx/profileinstaller: {androidx/profileinstaller, 3720d99ecea75625eaf69f0faa7261c8}
r5: {r5, 5585a3e9e8c3ba4f18ed58708d570d07}
z2: {z2, 9f1d589a352a7f9ee94e7b4203b80e13}
o4: {o4, af3a13c67d63b4fbbe707ecac1aa379b}
