androidx/appcompat: {androidx/appcompat, ddd28a3f1de3ea5f323c87ccc2a6b67a}
com/archos/mediacenter: {[com/archos/medialib, com/archos/mediaprovider, com/archos/filecorelibrary, com/archos/mediacenter, com/archos/mediascraper, ], 74a8684167eea44d3eaf44104d930bd1}
com/hierynomus/smbj: {[com/hierynomus/security, com/hierynomus/smbj, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 0097622f26fe69c3b02e00bb2dbae96f}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, 5989f96f4d997591ece7626deff95405}
androidx/profileinstaller: {androidx/profileinstaller, 3f06d891c8da3c8633c41146b49a98fb}
com/bea/xml: {com/bea/xml, 61435bb4e213436a6752e5231c076ed7}
androidx/core: {androidx/core, 7acf6f634be74d0a7a0d01e6de903f8f}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, c529d09bdfbdb2ffc3749ff9435604d1}
androidx/preference: {androidx/preference, f8c37547b087b511e3bc933ee0fea15b}
androidx/lifecycle: {androidx/lifecycle, a4c3f3e74ea82716f7e67b63b59738f8}
androidx/fragment: {androidx/fragment, ef08fa3b10ccee6bf58cff40ca7d8ca8}
ch/qos/logback: {ch/qos/logback, 396cbf286dd4f04d9685840a4c2f5f15}
androidx/loader: {androidx/loader, baee023da55355dc29bac0c93873b0a7}
androidx/vectordrawable: {androidx/vectordrawable, 795728f55c4d9a70593914fe1993cdc7}
androidx/recyclerview: {androidx/recyclerview, e7c2fa5093c73025c68eb7527faa9b49}
androidx/viewpager: {androidx/viewpager, 4972efdce48f0a944828d5a44e880fb2}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/versionedparcelable: {androidx/versionedparcelable, 9dabf7dd3a7336c4a135f215edb4ce71}
androidx/tvprovider: {androidx/tvprovider, c43605c7b74d059550e61e5edb55c3fb}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 39040d95bd17e2b3b9a59e3ec2f6b261}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, ffea71ab6d85798b5fb35905a402eec5}
androidx/collection: {androidx/collection, 0ccd3894227f0009060e6fae248b46be}
com/archos/environment: {com/archos/environment, 656263b8ee1c48c50ce24ea0406ef7ee}
androidx/transition: {androidx/transition, 3bd2ec734ac79b5eae4d691fb7335f34}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, 812f942f608783f751a8af5d5c55d2fa}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 033ea6371bf6d0a436811d19734e4012}
androidx/cardview: {androidx/cardview, 5f11d6af75d09685c607745b14053b33}
androidx/drawerlayout: {androidx/drawerlayout, 2bd97d97d1bc9bb4b710b3b4aa0db05b}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, 7746f2fa81bbfdf2b35128a257a6c488}
androidx/exifinterface: {androidx/exifinterface, 1e43c954664d2eefa70aad3d65bbb4de}
com/github/ksoichiro: {com/github/ksoichiro, 5efe874e67517a01ac39d724fedaac37}
androidx/emoji2: {androidx/emoji2, 5f2330f38fac38b366cfcb6afb33d0ed}
com/hierynomus/msfscc: {[com/hierynomus/msdtyp, com/hierynomus/msfscc, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/github/tony19: {com/github/tony19, 0db390eeeb150a4b7e83ec8056f6ee13}
com/archos/customizedleanback: {com/archos/customizedleanback, 40ffa495bcc64349cbaaa662c34b153e}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, c3ea59eca2e0692ccf7fe53bdea0389e}
androidx/arch/core: {androidx/arch/core, 7dabf8e042afb76055ec91d11cc88128}
androidx/palette: {androidx/palette, c1defa03213d4647cd654d8545ffc2be}
androidx/viewpager2: {androidx/viewpager2, 83cf6a5124d4751623364790ccfcc25c}
androidx/legacy/content: {androidx/legacy/content, 16f856f8c27e97baf350bb96e20eaf7b}
androidx/savedstate: {androidx/savedstate, b2f2ffa6f7b4cf4a5c659ab782564815}
androidx/documentfile: {androidx/documentfile, e1d394c2e528adf7a2fec9c91206733d}
androidx/print: {androidx/print, 0b4ef1e19349e9958990b6cbead37d74}
org/apache/commons: {org/apache/commons, 46a4d7b8b145bc7f1fbbcb2d0a362a52}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 86126445abac024590a7ffe96c294b19}
androidx/leanback: {androidx/leanback, 19b4b6bd35088bf74c3a9515933c6cb3}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 0f8bc20ebddb5e74e594cf3df42105db}
androidx/legacy/app: {androidx/legacy/app, d46c4596179b84ebda137a945b45061c}
androidx/tracing: {androidx/tracing, 8d37d62e32dacccb5cb7d4e285e19fbd}
org/threeten/bp: {org/threeten/bp, 1bfe4305cf5571dd7fc495ba0027aa20}
androidx/startup: {androidx/startup, b6d8ab8ee5f8f769fcf0029d3b985948}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, c53e3d7480b74baab257eaac9e0adf1e}
androidx/concurrent/futures: {androidx/concurrent/futures, 6c1fa27225f800799eaba2ad51a9b604}
androidx/customview: {androidx/customview, feff3e3584e5ae75da8c0c9377871144}
androidx/window: {androidx/window, fda1557f51fbd5dcfeba27ed9660919e}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/dynamicanimation: {androidx/dynamicanimation, bd2277efb30d221b4486388c40712ea6}
