androidx/appcompat: {androidx/appcompat, 4cd968cddc7fad68da69b991fdcf21ae}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/compose/runtime: {androidx/compose/runtime, ae9b05327b83abb7350ef1c3471bda82}
androidx/activity: {androidx/activity, da430e35e8c37ce55b510e0f4093acbf}
androidx/profileinstaller: {androidx/profileinstaller, 3433f775ee3fbe42d2eb07cca61cbb01}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 38519d74e9cf8cca947bfc4f03eb4c5c}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 44b6910ae2f3c7f31ab004f2c0d7b42c}
androidx/preference: {androidx/preference, c534ad202e71967a2843ca388b3d3647}
androidx/lifecycle: {androidx/lifecycle, b84b61871cbef4f68f9780e2306ba054}
androidx/fragment: {androidx/fragment, d36561c3cb011c4dc48d5794f7c89d6c}
androidx/navigation: {androidx/navigation, 3a6a3934aaba5e860328e6cd3d819510}
androidx/loader: {androidx/loader, 904cd75d460713f8eaa0c0fe8d62fabd}
androidx/vectordrawable: {androidx/vectordrawable, 6898f10119642926def2b98711de3508}
androidx/recyclerview: {androidx/recyclerview, 1b259934f6efeed5a6d6cbcb1db441fc}
com/google/android: {com/google/android, 5e47e99a8e220876944ac9bd5fa8638f}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/autofill: {androidx/autofill, 629e5f63c6a0f3bf502670369fa2cb6c}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 338b9d4d9818a64a328838b96ee5c4ba}
androidx/inspection/compose: {androidx/inspection/compose, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ccc7a091f67f361d3633926701c73580}
androidx/core: {androidx/core, d10e3aec67f58108cc842a11b97200ee}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, b7709eb519ac970724449bb63c71177a}
androidx/collection: {androidx/collection, 31dce014e1261b44fd7c5f607d54f3db}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 66c5453ef61a88933f84f117e49e5490}
androidx/transition: {androidx/transition, 315035efb2b83e79e163b67aa4d75592}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 2f65a9d6f2eeba255178f1eb671d147d}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, 9512806ee9ea7af5edf5c9c4cf48b25d}
androidx/emoji2: {androidx/emoji2, ea5c5f291c62d7b973e281d73c00c782}
io/reactivex/rxjava3: {io/reactivex/rxjava3, 6f6c6a7d812188a3fe5b783be69ffd4c}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, dcbe7fe5042ea8e1254516d9ad7f2990}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/fastadapter, ], 0d68f856d84e6f17560e20c7173c43c6}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, 37c2b462156b2f7f11e9df3d386f1344}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, 35d82a9efb159da6e30c721e0b7c878a}
androidx/documentfile: {androidx/documentfile, c1e8882d9a131f86ce61208986d323c2}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, ad140478e9f3113a12e4f968a754b229}
com/leestarb/fourthtools: {com/leestarb/fourthtools, 6ec344e0a8d2507657af62602bd054a3}
androidx/tracing: {androidx/tracing, 00ba871b13d3868284ed0b1147f7f736}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
com/google/gson: {com/google/gson, a74dbbe2ee2bcbd0c7d8030bbf4ea03a}
androidx/concurrent/futures: {androidx/concurrent/futures, 88c8f28176cd708319ab80270a74faf2}
androidx/customview: {androidx/customview, 0f8c36d7857218ff5184d3ee7e029158}
androidx/compose/ui: {androidx/compose/ui, fc9519f23d94a1fb1015246c475d477c}
androidx/window: {androidx/window, 4464aa49590c1101e0cd33fde915e454}
androidx/annotation: {androidx/annotation, 61f4fd3434041025438ffb18a8f361de}
androidx/dynamicanimation: {androidx/dynamicanimation, 4b21d82fe9206d47bed66914033b22c4}
