a6: {a6, 6e4c072bc22c906ae2b207624e693de1}
p2: {p2, 8cf96cf982c64e38938f4b6cdecd360f}
d8: {d8, c0c3cb9095e4f591b2bd843e620a2931}
j: {j, 0f6f96d603d5fa7b03bb58d4d1f62a99}
c1: {c1, 6d8bc2ed903e0ff8b0ee5fce5c2a5b6b}
l9: {l9, 12a3e5ff82edb49440b3834d0d7e92ea}
d: {d, ab73533525afde843445107b2f7f0cb1}
q4: {q4, 69c9b38f84957f9e47f2ce1c96597ce7}
androidx/activity: {androidx/activity, a09e8e3b0e5b845c024074086a59cc36}
o6: {o6, 0fd219880c7db7fcb67839b6bc0b7c5c}
y4: {y4, 461163490f802d99490ea3151a5ef5ed}
l1: {l1, 7a63880e0ddd3039576163e77cbfdaec}
i4: {i4, 06382aa7f48ba8de0941202d7cf57da5}
androidx/appcompat/app: {androidx/appcompat/app, d3313901060f265cdb4f7e351efa4105}
k8: {k8, 8e7306f1d81776f081e7fd56c0d9c428}
na: {na, 3ca2319607f749204730cdb1bccda256}
o0: {o0, 3107bad4b385da479cf469bb7c0d13db}
r9: {r9, 7ca36309560de78b236858ccdbc5eba6}
ua: {ua, 6a7cb85ff30d4e8e369f3e2b7e9a2e04}
b5: {b5, 121ed9f19a0b192400cb2028f01f2963}
y9: {y9, bec5428ee4fc8c5c39f79a1b1c234709}
com/google/android: {com/google/android, 998677d352a4a70c571ac60b94a8b75d}
o9: {o9, 1045010c8bff6712961bcec4a4fb4ccb}
v2: {v2, 0d92276307cf41d31395d3232d443f76}
w8: {w8, 542dd9699021b2a489ba6c7d8f6e4a23}
z1: {z1, 85466a68523eb29a88fbdcbd4cdc9313}
m6: {m6, adefa43e33b4f4817a31c533964452b2}
t2: {t2, a72972d7f4d2976098ffce209bd241cd}
w0: {w0, 8dd3ecf71347025cfcb64a030718316c}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 014afaedc764e66ca24819f3165a4a19}
ba: {ba, 5406699774d3d1ef7f22fc0e68dbb60f}
e6: {e6, f61ea07f7139d6ef66e4f4b24d28e7d3}
j5: {j5, a9dd6acb1ab346edf09cc5c30b46b8c1}
android/window: {android/window, c4e9eeb25e17c46354752ac4239a9772}
ia: {ia, 7477fa380880a83bc72c98c8e9327959}
androidx/appcompat/widget: {androidx/appcompat/widget, 4a37c99f899067ec573d114064b7f3b5}
d0: {d0, 06cda44471b6b3bfb3444e2be8387520}
h9: {h9, 4a0e774377b8ae4ecf73efd155338d74}
f4: {f4, 6c0fb66269a9286c10626c9bde80b3e3}
b: {b, 72f7dd40b7bfdcd62a61d043caa7c891}
k1: {k1, ec1ee47df4105f6217644e95340f366e}
d9: {d9, cb77260f03ffa164159d459cfdf5b0b9}
k: {k, 1dbf305f8841b74cf2e6290c47a7e460}
x7: {x7, 17effab9b633645c2d8b8c7395f8a603}
g1: {g1, bbcf1c6b4b4523c316a28b1f618a0acb}
a5: {a5, 4ead0a2cf412b9a6db894cb385348b15}
p3: {p3, b34092166634be1362a5558c20e0a908}
e5: {e5, 9ceaae26c5a0dc81867af5cc4b1a2b6a}
androidx/savedstate: {androidx/savedstate, 532347eab4831e4f6209064dd2163277}
b2: {b2, 53143dfb4d9ab94a2dad714adfdd7ca1}
ea: {ea, 6d631dfd63aa68ec5704a6f2cfe03fbb}
q3: {q3, e255a1cf0ffc5172e5dcbafbecb93af1}
android/net/ssl: {android/net/ssl, fc6f99f70236ce11eac0fb3d6aeb3b33}
l2: {l2, faa045cebb10eab0f37096c1a3035fb7}
i3: {i3, 0c8db64a07ea5998c92a7d28f1ab33d1}
androidx/core/graphics: {androidx/core/graphics, f5d49eed0a3c0e1fb63c4c7862a6a4fa}
o3: {o3, 6765dc61725b4ddfb8c54594ec71c480}
o8: {o8, 063a3bcabfbee923c4748d3eb734d12a}
m5: {m5, f4952078bdef5cc85148ccbb6d0cc77b}
t3: {t3, 3d66cc607407d51fd61230d3c75b4d2d}
v3: {v3, 68d9d22656281e3f9e31b44b7758418a}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 316987c57e4a08a81063f8d79eef5685}
y8: {y8, eaab08a27639d04078816ea41492961d}
h2: {h2, e9110e3545a79aab9dff775261462e63}
n5: {n5, c8456712ca0957c09d23a69474990c2c}
z6: {z6, acf7ef943fdeb3cbfed8dd0d8f584731}
ab: {ab, 9a759d6400acd381f0b92cfd0bc83f59}
r: {r, b56b3c0a3242a3d3f1f5d4b3623ba747}
c9: {c9, a1b073370c8f2ae9487c2b4c8c1dff75}
qa: {qa, c1f7cd8967f2d69dbe0fb7139b973f50}
f5: {f5, 859966dd7416d8b6110216b16b90ec63}
android/graphics: {android/graphics, 95625ff8a1039df8692c6b0b17f03e1f}
xa: {xa, 45bdf8afe03d6267e4a48f87fec4b88f}
w3: {w3, 110534c511f7221eeb9e1e4856b12466}
z: {z, 090fbcefeae583f11bcf81569b004752}
r6: {r6, 7e03482f892a0b663b87c42717af6f13}
d1: {d1, 7e15743b1b3fafdfcd5c5603501d50d0}
c: {c, d77af292f63a03fc1e214028815fd305}
g9: {g9, 4904d81561cb9e8987f0d791ff42b410}
k0: {k0, 28df1edec147d3191dd154e56ed3e44c}
b9: {b9, 2f98f4fd60829d2567feda6a980af495}
g0: {g0, be310a34e326ef1c5bd95a9dc7416d92}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
g6: {g6, 8d312c41382a9fbfda4017939aea5ab2}
x0: {x0, be1f121cc2708fe48a182644626f9b0e}
b3: {b3, 541b530503b3a1b5597fea459a01be80}
kotlinx/coroutines: {kotlinx/coroutines, d9f1693bccf7aecba44419da55ee2dac}
w2: {w2, ae4ae8d63f95bfc20d27071fe29dcc72}
c6: {c6, 2bf0cea8ee080691ad840be52bf78b82}
e4: {e4, dcbf91d254309dc72ce18cd6cefba2f1}
androidx/core/widget: {androidx/core/widget, 250c4fb0407550db1a8bff49afad2ffb}
m3: {m3, 9aa47d161c2566ba8980a5edd3cb51d6}
i2: {i2, 764361138402718b0f930a8378a3b1ca}
androidx/lifecycle: {androidx/lifecycle, 09c0c2c0de51c5a78114fa521572f9a5}
ta: {ta, adf28a1a63aa111939cc0ec718a77a92}
c3: {c3, a11ace47528903af48c85715394c05c3}
a4: {a4, 3f13e2cf5d862a36829651445a5de599}
h4: {h4, 3dc8ba425f36ef8e1cc498d0c3860dd6}
t: {t, cc21edc05c939e60b7f9d1042cdb5f7e}
j8: {j8, 3fb768c070c45d0b1df8f0d62b8d17bc}
androidx/room: {androidx/room, 81dbd50610ad5a3d8b670745ffdea09b}
j3: {j3, dfeb8c23a20731e9fbcfbf28b235fe78}
aa: {aa, 83275bfd872cd7da4b8e32792a31b0b3}
ha: {ha, 7829bd1d90544ac030a980f03e051a60}
m4: {m4, 311571e0ad395a0f463e9041543e2cd3}
t4: {t4, 4bbe174e8773627c7b1b264c6b7c3cb9}
u2: {u2, 7436e4ec556b57b3799ea26780157426}
s: {s, 3298667f72ec73d715dfd208aef1638c}
c8: {c8, 51140ff3798993cfd00b1530dda0dd7f}
androidx/startup: {androidx/startup, a21ee4c8aa2cf382eb57cabfe7e37b89}
h3: {h3, 29c3af84bcde5f9891e46a68e4cc4c65}
n2: {n2, e18b581d02ca8f8977a5eb1df7e3d3fb}
k3: {k3, 5ff62cf777028cdafa769cadbbee0236}
p4: {p4, c95bcc3bbf5444f271ce913b0cf58514}
l: {l, 60a45a8e1c0e733877d9a2e2f0f940e2}
y0: {y0, 47db6347302d8af1fe9ab9568b64dd05}
f2: {f2, 452481eb4ada576b7d551f5cf42786a6}
g8: {g8, d5ee1d14fcc0850b1f374f3a22fc5c2d}
v0: {v0, 7a1ecd9975a8d3d1a6967677b6e9fd59}
androidx/appcompat/view: {androidx/appcompat/view, 549598d62c428a5714ee50bf5a6572c3}
d2: {d2, b1389a82f0c5859db37124a625bf898e}
q1: {q1, 11c8af158f956fa5cfb6582e1a85d114}
i: {i, e72d65f13a1e02b699a89765428da223}
x1: {x1, 4fd83dfe04277883a71035e585a54a80}
