androidx/appcompat: {androidx/appcompat, 897df2938a1f236543733b992de2ec93}
coil/size: {coil/size, 0b451a95110147bd28c0e5f89a4da866}
coil: {coil, a6a442bcc6bfb2efc8985519f477f0c6}
kotlinx/serialization/json: {[kotlinx/serialization/json, kotlinx/serialization/descriptors, ], 869d228929b95bd94b6f66412e36b72d}
kotlin/io: {kotlin/io, 87e076067d366af59daedd4cc7a0f30f}
coil/fetch: {coil/fetch, 3578d54fde10a761e50d63a62a840bc5}
androidx/room: {androidx/room, 68ae69b9d4aab85785da1dd0e56a4d0f}
androidx/activity: {androidx/activity, d0fe640d674d76cd4d82f38fa922b310}
androidx/core/view: {androidx/core/view, 38b58960ab14f940d34226f20ee65712}
androidx/profileinstaller: {androidx/profileinstaller, c9554403c828e281f8995345594e4595}
androidx/compose/runtime: {androidx/compose/runtime, 88952ffa0c5deb9170aae0fad09fe4b2}
androidx/compose/foundation: {androidx/compose/foundation, 731b3ced739ba7af6bc5f122d092c82d}
coil/compose: {coil/compose, 0100dfb052e372eb7d90917feefc58c5}
androidx/sqlite/db: {androidx/sqlite/db, e5571b42a640a618f982d1d4935de418}
kotlinx/coroutines: {kotlinx/coroutines, b0010cf4aec985d5414f486fd0010cdd}
androidx/compose/material3: {androidx/compose/material3, 9afcffc517adf4617b964a34259ecd7d}
androidx/lifecycle: {androidx/lifecycle, 5f312b394bf89ae28ddbbd6be78c78da}
kotlin: {kotlin, e46227af3775a01a609384d111e8cf83}
androidx/emoji2/text: {androidx/emoji2/text, fe1472304061b4bc51bc7c3648231577}
com/jerboa: {com/jerboa, 5466cfc52e8a25f360191e56a48df263}
kotlin/enums: {kotlin/enums, 3ea805ce4b34511347c45720c7b8b744}
androidx/navigation: {androidx/navigation, 99dccd9cd7eb746f405e3a39db1d8d48}
androidx/compose/ui: {androidx/compose/ui, cb99e7e5f47f2962754b2824dc39e708}
androidx/compose/animation: {androidx/compose/animation, 12e9acb45d4a092f0e30d3df1c575a10}
kotlinx/serialization/encoding: {[kotlinx/serialization/internal, kotlinx/serialization/descriptors, kotlinx/serialization/encoding, ], e34e8675a8f21c4f96b97118d0e68f27}
