androidx/appcompat: {androidx/appcompat, a6d24a3fcc56bdaf10cd323158193229}
kotlin/internal: {kotlin/internal, 9a94589043694d11c0ae4d04800f1131}
androidx/activity: {androidx/activity, a83aabe348b2e1b30f4e1f0fa3ded95e}
kotlin/sequences: {kotlin/sequences, 2cce57df1000d35d33d9379f6ecc2622}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 6982024916272ed97557cb171e8de295}
androidx/preference: {androidx/preference, ad891a8aa13c614f3acbb2a3ca63aa38}
kotlinx/serialization: {kotlinx/serialization, dcafe7dee9b1a327b9769c3983ddbb20}
kotlin/math: {kotlin/math, a36347bea8653ae01433a8e8a459ea4d}
leakcanary/internal: {leakcanary/internal, 51dbd0f8b2381740a462695c4b9e6a75}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 7ac2c2fb37d19948ef99ce8ca4b2f52a}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 189b5a474153b36e6213bae1e048c029}
kotlin/random: {kotlin/random, 6a25a3d7b2ba30da7a1b600d2e540697}
androidx/cardview: {androidx/cardview, 9df96c65b2beaa0ab75e3c15bd56b274}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 00d335df42615289f718711e47dc1ebc}
com/mapbox/android: {com/mapbox/android, cbf4e23e72e282f6a35558e10c91d556}
io/reactivex/rxjava3: {io/reactivex/rxjava3, cfa537517e3d8757a1c500ea134b7c36}
com/jakewharton/retrofit2: {com/jakewharton/retrofit2, a2442c2dd525cfe7c515be7651b050c2}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/palette/graphics: {androidx/palette/graphics, f960ab362bf982afbde493f0b4b088cd}
androidx/savedstate: {androidx/savedstate, 49c1b8e29615c7d9163c8a55d9981cfa}
de/mrapp/android: {[de/mrapp/android, de/mrapp/util, ], c6806eca1fe35b274ca3c79fef1d0d6a}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f6c54b2b85f5e4f11046eb5c05a9e716}
kotlinx/coroutines: {kotlinx/coroutines, cbff2f5508ca82498d89e3507dbc0a92}
androidx/startup: {androidx/startup, b4e35ac9501346cf50e11b808c0b09a7}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], d2056695d74efc6360f52b991525d860}
androidx/loader/app: {androidx/loader/app, 47e52396190b5d491fb39af910f6957e}
androidx/room: {androidx/room, 935c52c4a019b05c60cddc241f041cbe}
androidx/sqlite/db: {androidx/sqlite/db, 5848639bf1927e176c8f14a2b4e52865}
