androidx/appcompat: {androidx/appcompat, 6f03b56930042721d20d23e3c34f9eb1}
com/itextpdf/testutils: {[com/itextpdf/testutils, com/itextpdf/text, com/itextpdf/awt, com/itextpdf/xmp, ], 6f3108303bc8505da88617c8b754559f}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, a07cac99e774e7baed9a5ae191e9590a}
androidx/core: {androidx/core, 8b59d6c5ae3057a38bfd6bdd16dbf3b0}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 4b9c71fce5359e3f565417eb9e01471e}
androidx/preference: {androidx/preference, 51d4ae3ebad749c67171172c602840a2}
com/mikepenz/materialdrawer: {[com/mikepenz/materialize, com/mikepenz/materialdrawer, com/mikepenz/iconics, com/mikepenz/fastadapter, ], 8787540c66563c54e8c7de295c6e1020}
com/danielstone/materialaboutlibrary: {com/danielstone/materialaboutlibrary, e0003a8c8021963a85dcbcd5bfb87ad2}
androidx/lifecycle: {androidx/lifecycle, 8e4858aeec0dd9f51b6599766bf35a0a}
androidx/fragment: {androidx/fragment, 4094af1b8d640053651b0f6264097e4b}
com/github/mikephil: {com/github/mikephil, 6c2b7520a2b4eb508a1b4f762ebd0768}
androidx/loader: {androidx/loader, 28e655cee0fa8610edae07b8d8081806}
androidx/vectordrawable: {androidx/vectordrawable, 76d835fe32f63587e1cec40d7a606328}
androidx/customview: {androidx/customview, e398aadd94700c0b6285092b8cdc0742}
androidx/media: {androidx/media, beaf396b4e2319e9562a65f6c5065192}
com/andrognito/patternlockview: {com/andrognito/patternlockview, 8d666a051a28cd6a51a9998b6fda378e}
com/itsronald/widget: {com/itsronald/widget, 44dc5051e87944dd887c34120bdbb047}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/versionedparcelable: {androidx/versionedparcelable, 63ce5ae081b48eff7a9e22ee2b258f46}
com/oriondev/moneywallet: {com/oriondev/moneywallet, f49274ef581ff2097c6b63182cb8ee57}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 8de996af81b6cd24c7c60512e70cb87e}
androidx/collection: {androidx/collection, f71afebb59dbd54943f16911390e7138}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 721eef61bcf34cd7231b0b6cb16f76f5}
androidx/transition: {androidx/transition, 65ab4639ecb6d2721a2b30d691ddf483}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 88b7cc7356d6fbb96889f553a5b0fa46}
androidx/multidex: {androidx/multidex, 0d62e89e096813e899b5b95fbac16ed5}
androidx/cardview: {androidx/cardview, ecb8fed853ed83279858740eedc802f3}
androidx/drawerlayout: {androidx/drawerlayout, 66e7a0c03f4ca9f2d4cc598002b5f9be}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, 15630c150d035fbf1e32de16a8342be9}
com/github/rubensousa: {com/github/rubensousa, 3cd7c7a164fce017c506fae7280bff2e}
com/multidots/fingerprintauth: {com/multidots/fingerprintauth, bde6d2ea70875965527bcff41a4d1c86}
com/github/paolorotolo: {com/github/paolorotolo, 00e65b707462ae070aeaff534f016cca}
com/google/android: {com/google/android, 8404ee2906ade7feaf277a3b6ec5c6cc}
org/bouncycastle/tsp: {[org/bouncycastle/asn1, org/bouncycastle/cms, org/bouncycastle/tsp, ], ac9c542684f271e7215c00369bbb793e}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
com/opencsv: {com/opencsv, c8af07c443aa3e2b03a00a6c9ea91dc3}
org/bouncycastle/cert: {[org/bouncycastle/asn1, org/bouncycastle/cert, org/bouncycastle/operator, ], ac9c542684f271e7215c00369bbb793e}
androidx/legacy/content: {androidx/legacy/content, 46c777a429636fee0368ee13639ad43d}
androidx/savedstate: {androidx/savedstate, ddd6c535c85ea0320f0bf36320baf2cd}
androidx/documentfile: {androidx/documentfile, 0abddce32fb23eaf16d5ba98aa268b58}
androidx/print: {androidx/print, dfb95ec0f32cf95f9de078074e9ec4b5}
com/bumptech/glide: {com/bumptech/glide, d9b61a3005f8874359d3d970a83056cc}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 117aee944fd4732020d490ab8c0cba18}
com/jaredrummler/materialspinner: {com/jaredrummler/materialspinner, 3a91edb3ec13d19a05cea04078c99ce6}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, eacf94181accc276e39c38a147824c80}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
com/andrognito/pinlockview: {com/andrognito/pinlockview, 613714089c8f3375dd1b02adee707f15}
androidx/recyclerview: {androidx/recyclerview, 87e6a9980ea9e371a3ee92a506fabe96}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 62d3e6ca6649528aafdeaf725aefde95}
androidx/gridlayout: {androidx/gridlayout, 35985fb0d846cc48e750668bcd19aed1}
androidx/annotation: {androidx/annotation, 8c32c1f05f70f004e187bbab685b6cf7}
com/github/florent37: {com/github/florent37, 9b2e16e3ae059384756e7eaec7729728}
