androidx/appcompat: {androidx/appcompat, 0d299a18b8b4b60b74dd85a01f4affc5}
coil: {coil, 7ac36330b05d1654298370c8b028b79a}
coil/fetch: {coil/fetch, 475e91441f9ce350bba0a4c60a217735}
kotlin/internal: {kotlin/internal, 4c785cf8ea7d8011fd7c30eaf911c2ba}
androidx/activity: {androidx/activity, 45f7ff6a08b200c4ef24741069fd99c1}
kotlin/sequences: {kotlin/sequences, fb54a5023fd16317ba70c1a3ab520857}
androidx/compose/foundation: {androidx/compose/foundation, cfe85804495dd810c1fb03ae0f04b53f}
androidx/preference: {androidx/preference, f66c7b061855a0a279137222a45cea63}
kotlinx/serialization: {kotlinx/serialization, 92bec42fa07a9ae0b55aa4160cbc8853}
kotlin/math: {kotlin/math, 5e36d0c2d6052bf1dc0134bc5f8fed40}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 566118fec23fe149470d2a02be0225bd}
io/sentry: {io/sentry, e1f13693f59745bf861e0b6f4d437fcc}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 61a4c8599e6bed071c57fe6961d21101}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 19c7593747dcb9497a67537fd464f626}
kotlin/random: {kotlin/random, 21d24261e7c20ce3bc36a99062525c0b}
mozilla/appservices: {mozilla/appservices, 1fd7caf719a182a0db7522e97f54cc2f}
com/jakewharton/disklrucache: {com/jakewharton/disklrucache, d16ddb0012cdcc5d12e663d4bff6db23}
androidx/cardview: {androidx/cardview, f3e20b909c2ba00e3fd35bf379e0d661}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, fab50ea44787c62e14bae0c6e516b2b2}
coil/map: {coil/map, 19b91f12e53c563d4f09ac0cf0442aec}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 675b7e0324e2c01b05253bb9050c96c6}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/palette/graphics: {androidx/palette/graphics, a81c0e11351c3830a1f9db518a548871}
androidx/savedstate: {androidx/savedstate, b74648482b98f76395b5fe6fab3cd77d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 3dcf6b7438005b90aba47e7532ff81ac}
com/caverock/androidsvg: {com/caverock/androidsvg, c6fd9c8db099d53ae2dfe6248d947fdc}
kotlinx/coroutines: {kotlinx/coroutines, 7faffe322a2d1b5a147970078d28005f}
androidx/startup: {androidx/startup, aa72da0d3aaeac39b9e12907419256e0}
coil/intercept: {coil/intercept, 4424c03d590977cde507ef21871f0ed4}
androidx/compose/ui: {androidx/compose/ui, 563b94fbe1b73814753226ef2985f649}
androidx/loader/app: {androidx/loader/app, 84103c7bd8430abdee558ff90fc4c051}
androidx/room: {androidx/room, 80dc8d80e655e304406739de53e8b7c4}
androidx/sqlite/db: {androidx/sqlite/db, b7c1a7bfebeae93bb13b2239b6a76f95}
androidx/lifecycle: {androidx/lifecycle, 6cfaa3074d0fcc89fd573ee21b182b86}
kotlin/enums: {kotlin/enums, 9a446d1fc6bd57d85c5cde6454a3ea2c}
androidx/navigation: {androidx/navigation, da057cb92c82cf7d9f7dcd782bb38284}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 4588ff9fe7f9b3732199722f0fae90f6}
kotlin/reflect: {kotlin/reflect, e66b39961713386bdf5f8f3fefc62372}
kotlin/text: {kotlin/text, 6a63a2c08315123f0826e6ed163caaa0}
androidx/viewbinding: {androidx/viewbinding, 7ee4874d50c9e0384756492b9a0c3b6b}
androidx/versionedparcelable: {androidx/versionedparcelable, 884ab738f20c4ff0efac3d4cdb4462c7}
androidx/window/layout: {androidx/window/layout, 74070d2893a34a2e5c99fcc5569ab02a}
coil/transition: {coil/transition, 2c485053b78042b018d5131008ba2380}
androidx/core: {androidx/core, 45ed7c54adcfd18feb2b385185777a6e}
androidx/collection: {androidx/collection, 1693bad1f0aa70abdc52c75b8b1cf9b6}
androidx/transition: {androidx/transition, 3d903af8863b78274fbabfb69515fde4}
coil/request: {coil/request, 54dde0dcff7ff59342dd25d6bbbfa399}
coil/key: {coil/key, fdec7c141703560d86df48660ec7814f}
androidx/legacy/widget: {androidx/legacy/widget, fa77f4fb86cdcaae9a4876472bb83cee}
androidx/media: {androidx/media, 9728c4d0c4b23d67ebb90902b4d44300}
androidx/browser/customtabs: {androidx/browser/customtabs, a2aa4e370fa09e944a95584f5518a813}
androidx/viewpager/widget: {androidx/viewpager/widget, ae9259c2ee03206ae36f4f36a22ece9a}
com/google/android: {com/google/android, 57cc311e36bfad1bd6313c4f3ac9892c}
kotlin/jdk7: {kotlin/jdk7, 13d0ca333d9636fac6833a0270182175}
coil/target: {coil/target, de608fd7789ad8ac06aecc002df5fd13}
androidx/viewpager2: {androidx/viewpager2, c5e05dc03920754259c9b6754998af2d}
androidx/customview/view: {androidx/customview/view, 416eb9b0775e4fa8a6566db75d18b28a}
coil/network: {coil/network, 354bdc606f26dd0dec8166e4c4404c99}
android/support/customtabs: {android/support/customtabs, 2612c139f8ebb00ff56a757e8b505b3b}
androidx/recyclerview: {androidx/recyclerview, 0f1a4da21df75b7dd51f12d1b9bec45f}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, c89bf55cb1825f3c9049812cddffd9a7}
com/google/accompanist: {com/google/accompanist, 219b20b47eb45c56b68cac484ca4356d}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 946e0e6d8dcf8f1175490579be5f72d8}
kotlin/jvm: {kotlin/jvm, 85c592585908cd89971768331bc9a4e2}
coil/size: {coil/size, b9d7429680e58d3c3bb7a96b78119161}
kotlin/io: {kotlin/io, 6a0089c33c9cba1f407bc2fa67ce19b0}
androidx/compose/runtime: {androidx/compose/runtime, c761518e0277ed831ade7e161ed2d0e2}
androidx/profileinstaller: {androidx/profileinstaller, 1823ece58e7b098e71c9561b6751e5d3}
androidx/emoji2/text: {androidx/emoji2/text, 12d6424ace1e9295f31e34ab5e8cf7f3}
mozilla/components/experiment: {mozilla/components/experiment, 3fe08f0631cc8af3142a3e7666f2db73}
com/google/protobuf: {com/google/protobuf, 50dcfa090f93bba10ce53369ad436e6c}
org/mozilla/geckoview: {[org/mozilla/geckoview, org/mozilla/gecko, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/autofill/inline: {androidx/autofill/inline, 3d56cbb3d151e01c68739de3ab638e1a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 54ba05e391793377ece9010ed11982e1}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 44f3970fdd8fb8c0848fbb553bef6de6}
mozilla/components/compose: {[mozilla/components/service, mozilla/components/concept, mozilla/components/support, mozilla/components/browser, mozilla/components/compose, mozilla/components/ui, mozilla/components/lib, mozilla/components/feature, ], e0189a59e32460acc3a67113fb90331f}
androidx/sqlite/util: {androidx/sqlite/util, 46d0be06680936d761777c657e062f0f}
com/google/zxing: {com/google/zxing, ff0a2845da3afa4fd89e135673928080}
coil/memory: {coil/memory, 81d4d6b364488bc99a1f7c6bbf117845}
androidx/drawerlayout: {androidx/drawerlayout, 2fcc1e94160d166c0ee5ddd479fd2326}
androidx/compose/material: {androidx/compose/material, 295d4078739c8c0c41c059f9213c93ac}
coil/decode: {coil/decode, 33388154baeed580ed695e5e200bf492}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, b8b5609500904e643e9ab5478e21a288}
androidx/arch/core: {androidx/arch/core, 236346793039570f88f928751ee292a9}
kotlin/properties: {kotlin/properties, 29f101aa9d108c9e2fd41fc0934545b8}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 4ab9019dba52bbf63171f5577271438b}
androidx/biometric: {androidx/biometric, 298f6555ce64ed5057ca01cd071994f1}
androidx/concurrent/futures: {androidx/concurrent/futures, 7de2439f9345ba1147f8d9e9bed25b75}
kotlin/collections: {kotlin/collections, 38b5e414a68b0d87f235214a516cb9cd}
androidx/fragment: {androidx/fragment, 5249279cc6e6f823874b8e738f192a2f}
androidx/datastore: {androidx/datastore, cf9c09bbd7c2d9f4890e76e0f2aacdf1}
androidx/customview/widget: {androidx/customview/widget, b73c929c196a2a3f83765b0d29978647}
kotlin: {kotlin, ad3544f54c5752f48566c027a403f805}
kotlin/coroutines: {kotlin/coroutines, 71a6581378cd28763fc3e7d1c3e0ed65}
coil/transform: {coil/transform, e3c0a425ec2c47b67599a8ff5554c565}
androidx/compose/animation: {androidx/compose/animation, 743fcda20749025548829af62ce7d8a7}
kotlin/comparisons: {kotlin/comparisons, ced7a5d0332f84ad7d25507ee5788f5c}
androidx/interpolator/view: {androidx/interpolator/view, cc57d3a01f94754f7d9dd360d6d916c8}
com/sun/jna: {com/sun/jna, 8f5ba620a3a97cd8be4ae8adbc2aaa40}
androidx/paging: {androidx/paging, 922e90438fa7b45dc6dac5d36652e44f}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 6bcd0ad9fcdb62287be5d9905adbd3f2}
androidx/work: {androidx/work, 34b00a1d8d6bad69fcee757dc6a2c11d}
com/google/firebase: {com/google/firebase, d107a9c1fc65782c6deb0e5e08818169}
kotlin/time: {kotlin/time, 1a74abfd1cfe76eeb81154cf544027c8}
androidx/exifinterface/media: {androidx/exifinterface/media, c24442f903ac887ab77b8e6c38c727ba}
coil/disk: {coil/disk, 07fb963ef0a6d602ed43167baba22bb8}
androidx/window/core: {androidx/window/core, 6926b1814f0768bb66044c45f5572644}
kotlin/ranges: {kotlin/ranges, 0c25fac0caea7e9cdc05d948cdeb4c84}
androidx/tracing: {androidx/tracing, 5604f323d8f11034c9ac271b36b8a9fe}
coil/util: {coil/util, a55fbe8e62e06dab3118a201794a4809}
