androidx/appcompat: {androidx/appcompat, 348e4ba586086951c85786362ce9014e}
coil: {coil, c04a4f3ae68d1774c68eeec606982131}
coil/fetch: {coil/fetch, 91d0f1ed359c337bc506bb3587fe4f58}
androidx/media3/common: {androidx/media3/common, 5f63a28d078bd5d9ce11a31b903afbad}
androidx/activity: {androidx/activity, 310bcb484c4afc71a1168be3eaf1f8af}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 71757d65642f27a97c61723580ecf9ff}
androidx/preference: {androidx/preference, ff72884dcd77a3cda86a1a5e5899dde1}
androidx/media3/datasource: {androidx/media3/datasource, 0f21ba6c167a9784d370f43189d595f6}
androidx/vectordrawable: {androidx/vectordrawable, 4d4964cd9e5ede9074adba7420c93de2}
androidx/constraintlayout/core: {androidx/constraintlayout/core, d7b6f49c1841760dabdae3d8671c090e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, fbb178b9707101d7d9c241f850c9266b}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 21528e7d23491b6f6c060c60d0d2cc69}
androidx/cardview: {androidx/cardview, 1d53ff55e74138094eb22439af0140d4}
coil/map: {coil/map, 728ba298851e07fc64e9d7ba543bbd8a}
androidx/emoji2: {androidx/emoji2, 4b86e9307d473cb78427da87ee707051}
at/bitfire/dav4jvm: {at/bitfire/dav4jvm, fea9c7941deca723475f9ddeec20db46}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/browser: {androidx/browser, 4ef7d208d8a3416b973e507da87b6537}
androidx/savedstate: {androidx/savedstate, 63a31d19e7c48d8bd340f2d4af701b10}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 145a81419458ebdf682197cbf1e47e77}
com/caverock/androidsvg: {com/caverock/androidsvg, 127261a4607cbd25aeceb2f602ea5dd3}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
coil/intercept: {coil/intercept, 2f526e1d15ae188cbc9c141912926ef4}
androidx/window: {androidx/window, 58cf0437c7f73095ce33773c8cd1ce7f}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
coil/drawable: {coil/drawable, 14be4aff6d8b15eb3a709ff5bf77b165}
androidx/room: {androidx/room, 884e09d88a90a07fd3d948194b35e4c8}
androidx/media3/ui: {androidx/media3/ui, 5bc1467f903f201e2c6096c3255226ad}
androidx/sqlite/db: {androidx/sqlite/db, c0fa0832671ae45ae899d3aec2e9affe}
androidx/lifecycle: {androidx/lifecycle, b1ad55febf1bfa00b775cbce8adc338e}
com/andrognito/patternlockview: {com/andrognito/patternlockview, e03b071f92211d7b6d62b289a4c80b67}
androidx/legacy/app: {androidx/legacy/app, 2d127904ffda1a600d0235188040ec4a}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 55da0163ce8c16fd2bc16ae2a1cc418a}
coil/transition: {coil/transition, bac42cb43b0299d3298f854a2a029a4a}
androidx/core: {androidx/core, 4ead771ed44d2d9b32bc8966d9ebbbcb}
androidx/collection: {androidx/collection, 805ab1bccce4d8e6a1eb60e38f90c883}
androidx/transition: {androidx/transition, 662e17ba8d199a24d7ab86e2b5eeff5a}
coil/request: {coil/request, 23ed9e80ada225c69319e05ea46573c4}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, 864b50a1ffccf547d99a988c6d9e77ff}
coil/base: {coil/base, 3368c2b1abd592231e2cbfc4e07d03f1}
coil/key: {coil/key, a5c82d3bf9db979000351080d8e167c0}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media3/database: {androidx/media3/database, c8d593888e6d13f7988de3e29b943c8c}
androidx/media: {androidx/media, 4344d08b92f8b85df1fcab50e1b7b920}
coil/target: {coil/target, 259dde3c1a54eca7cbe2f6985bfd6f76}
androidx/viewpager2: {androidx/viewpager2, 147fe4e4cddc79c39b0d48b8afcc55de}
androidx/documentfile: {androidx/documentfile, a8b891a7331505b2304bc17c34adce8c}
coil/singleton: {coil/singleton, 3368c2b1abd592231e2cbfc4e07d03f1}
coil/network: {coil/network, 353da48f14eff9bbfe0be9a3d486bf00}
android/support/customtabs: {android/support/customtabs, 5de5c52de1f36a114ad968f754c5a5f7}
androidx/recyclerview: {androidx/recyclerview, 732c84b25b7d55e6be8043c7d3c0304f}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 9dcb3692758372a83be7a7887cfffecb}
androidx/dynamicanimation: {androidx/dynamicanimation, 170254622bd102a90609ddd753439cf4}
org/koin/androidx: {[org/koin/core, org/koin/androidx, ], 020eb29b524d7ba672d9d48bc72db455}
coil/size: {coil/size, 60ddd74f865351c2f58f7ad89cb39670}
androidx/loader: {androidx/loader, e0f8f3401a9e2a310225ceb96ee81445}
androidx/media3/exoplayer: {androidx/media3/exoplayer, f8d709a6f8bf1f419fcb720ffb65509b}
