h/o: {h/o, f81ab0474a1544edf286fae6077e4847}
android/support/v13: {android/support/v13, b6641e431ac61677389b730b01853c08}
retrofit2/http: {retrofit2/http, 987d4ae0f1c9f0210bcb1a5302104828}
a/g/a: {a/g/a, bfb4f745eb0636a481b35426e15ce5ae}
g/a/a: {g/a/a, a2970cf683c03b9eed150abec334679c}
h: {h, b05410b4c456774147c3118df12821f7}
retrofit2/converter/simplexml: {retrofit2/converter/simplexml, b2324ab39fe1358a829777417dcb8d86}
butterknife: {butterknife, 9ded7d6c3553d79cbd63183b86562553}
h/m/c: {h/m/c, 8101a8312d273eee66df6a342ed1d9a1}
com/thirtydegreesray/dataautoaccess: {com/thirtydegreesray/dataautoaccess, 3c8857ce32368b94099123b2d2f83e2d}
android/support/fragment: {android/support/fragment, 0db390eeeb150a4b7e83ec8056f6ee13}
android/support/annotation: {android/support/annotation, 21e4bcd611bb1c838810fa532a1ac750}
h/q: {h/q, 5cfe08a4cf2e2a950dba301bc9a978f2}
android/support/coreui: {android/support/coreui, 0db390eeeb150a4b7e83ec8056f6ee13}
a/i/a: {a/i/a, 90a80e5661b22330909ced0f4019122b}
me/zhanghai/android: {me/zhanghai/android, b58609505c654b4d2fbb602b87db37ad}
retrofit2/adapter/rxjava: {retrofit2/adapter/rxjava, d44500aa639d2a99c125845818a8b1da}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 8fa470e8b6219e1ed5c13be7aba2c43c}
h/m/a: {h/m/a, 87a0cf6af213a8ccf12b0b1c2dcfed6f}
f: {f, d83f9ae3e9919fda1e58f81d3f0ec887}
a/a/a: {a/a/a, 5e98febc28a5ad44835b5e644cf96b68}
d/a: {d/a, c6cbcd5f4e093eae1235fc406b6a20e5}
c/a/a: {c/a/a, b87e2fb40f2d1133ee166421335afc6b}
h/j/b: {h/j/b, ba6afc6a2f221b8bc9938598a57a0b45}
com/unstoppable/submitbuttonview: {com/unstoppable/submitbuttonview, 0a98cae6fb8e6c261c703fbf8d020cec}
h/k: {h/k, 52668c83e90d78878cf734a0ea67e64b}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 2da6f0e82b2234b6b206556c9c238cd6}
android/support/constraint: {android/support/constraint, f77743c8d985c254079b2ffbc035bb13}
android/support/transition: {android/support/transition, eed702061bac6dd68320f9d48912dc54}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, 19c1e0eadebb908e981c410e2aef5f9f}
b: {b, 02c444af6e507ffc5d1a4d81d2684063}
android/support/v7: {android/support/v7, 298a9cd169d44ba0a3a7e13c98615e4f}
android/support/compat: {android/support/compat, 0db390eeeb150a4b7e83ec8056f6ee13}
butterknife/a: {butterknife/a, e13d518f71c949445a2ffbe44905e899}
h/n: {h/n, 5a4acfc478ee0021d9d84f0698e4551d}
h/j/a: {h/j/a, 73e4d24126d9a9c9c3c7d77f9470362b}
a/h/a: {a/h/a, 0410b88fc838dea285eb141c0177851a}
h/l: {h/l, 24a93f226e06be3c82d278cd4acc344d}
a/c/a: {a/c/a, 162c6f68d4f292f4c293d493fcc3824f}
android/support/coreutils: {android/support/coreutils, 0db390eeeb150a4b7e83ec8056f6ee13}
android/support/v14: {android/support/v14, f20a2e91c7719fa8beb06bea67a7fb06}
a/i/b: {a/i/b, cef3e6a656384cf21b7872785a8fb9d1}
h/r: {h/r, 316242e260977c1fcd19f351b17c3edc}
android/support/graphics: {android/support/graphics, a6e0be476f3b4a6ff8c507227156099e}
b/b: {b/b, 7bef6790ffc0cd1c67a21ad9d83d1523}
h/p: {h/p, 4e9ecf58f334a7653a78ddb88a1779cb}
g/b: {g/b, 9e7d4dcdddb59a87c84a17526057ef3c}
org/simpleframework/xml: {org/simpleframework/xml, b4c6b8796223320debd53ac2531f5657}
retrofit2/converter/gson: {retrofit2/converter/gson, 847d4e049444c24c9605bede0384dfa5}
com/thirtydegreesray/openhub: {com/thirtydegreesray/openhub, 92e1240c28f5ea29ec663e4d5dc954cd}
h/m/b: {h/m/b, f2d1fc1eefd1065ecae1fb96ee9f7d3b}
android/support/customtabs: {android/support/customtabs, 7ae13739d212e1f9750de0d526934c11}
android/support/design: {android/support/design, dafbdf89e8f464880b839782a6c9f088}
a/b/a: {a/b/a, c3e56148743a41be99b7cbdf0f83b429}
h/m/d: {h/m/d, 2ee41c1370ec1a7a789b7c402b738389}
a/e/a: {a/e/a, 040fb77f04462394e0d7b89b4a45aaef}
okhttp3/internal: {okhttp3/internal, 5b1b919a8e245e9bf04457f0c8e0e7bf}
e: {e, 58d3eba27452c94bc34f633c31afebfa}
android/support/mediacompat: {android/support/mediacompat, 0db390eeeb150a4b7e83ec8056f6ee13}
a/d/a: {a/d/a, 3b1a30e29aa11e4762ef6b4c7cd396d0}
com/google/gson: {com/google/gson, 05446136dc672b84cfa52cd64cebe912}
g/c/a: {g/c/a, 0c53bf00afc1616024947602d886bbb7}
a/f/a: {a/f/a, abdcd72eccb8836515736fcaece13f49}
retrofit2: {retrofit2, a3a674b177029ef256ddf7f3967a5670}
