androidx/appcompat: {androidx/appcompat, fede920c5dfe39bd2d12e0f34adf1bc6}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin/internal: {kotlin/internal, 6980161cecdd4ffaec5ce89ce9027353}
androidx/activity: {androidx/activity, 24714f0692a73c4125ea7af8544c2bf7}
kotlin/sequences: {kotlin/sequences, a28777ca3f3c5ec552718455c6f5b5eb}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, 8f2ac31781e613ccf0488651c81d1821}
androidx/vectordrawable: {androidx/vectordrawable, 69d3f31d010a05bb75c2c6c003a5048b}
kotlin/math: {kotlin/math, 3080aeb4cf7e4b67d6a6c7641f11ce5c}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 5163508e56521830a4454d24092b6de0}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 212afb512b0f35c7dafa0cdb92a3ed1d}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, a22b0d1d9c5868b05d3511cb6d43735a}
kotlin/random: {kotlin/random, cb9ae52cccce86e035c5eea7baf4a447}
kotlin/streams/jdk8: {kotlin/streams/jdk8, cfc6903569ed97112fde3772985cb7b4}
androidx/cardview: {androidx/cardview, 8638456dbc08541c4528854eed91d17e}
androidx/emoji2: {androidx/emoji2, fcab8e1b19f0fbe0d20ffeaa21630a1e}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, d81e89465de8c2fd23376893a9e58a11}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 481125355970f8d4a7712f57c19bbdf3}
kotlinx/coroutines: {kotlinx/coroutines, 3db192826ee6b50718f433b7a2438d51}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/window: {androidx/window, bc92bf9820dfabaa394b76f3e3bc8f4b}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/room: {androidx/room, e065c8ee4e6d28be26f3aea73827269b}
com/nex3z/flowlayout: {com/nex3z/flowlayout, e97904b0ad9f5d575fca9f949beb25e7}
androidx/lifecycle: {androidx/lifecycle, a38e225a737bcb75c1340317a65363fb}
kotlin/enums: {kotlin/enums, f0595f206cd75113c5d39dc2c311500f}
kotlin/reflect: {kotlin/reflect, dbdc27ee93dedc2d9958a2faddfa0e43}
kotlin/text: {kotlin/text, c0059d4724f22b19e8342c71b2cebf3c}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/core: {androidx/core, 3e52b29d4f367e29168525c5a57fb338}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
androidx/transition: {androidx/transition, b032e95268cd23e66fc214eae113dd7d}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, 4158ac18e11f508d6a4e687a4cf087dc}
com/google/android: {com/google/android, 8c79ec0604da7f12dbed839c1b3f1282}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
androidx/viewpager2: {androidx/viewpager2, a656d6f7d121fe0a71228476f33d05ae}
androidx/documentfile: {androidx/documentfile, 2c6f2600d5fec5372b08bd634a4e9835}
