androidx/appcompat: {androidx/appcompat, 9c99c4e1e50d45880d563ff782821e9e}
kotlin/internal: {kotlin/internal, 53a191a41958470ba72db341f0fe1be4}
androidx/media3/common: {androidx/media3/common, 62d0eb5c70139f75248787cc48e252be}
androidx/activity: {androidx/activity, 32a22bf0313c40c6015294f2c42dcce1}
kotlin/sequences: {kotlin/sequences, 3afffaa58c7e9938671f17ab9be42015}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 6a667a028233f068ec740b81907ada13}
androidx/preference: {androidx/preference, f57d3fee7912845f286be4fee2e6f825}
androidx/media3/datasource: {androidx/media3/datasource, 6efcc0fb4d9ca3cf11364e66aac6d9ca}
com/leinardi/android: {com/leinardi/android, 46be24b964ea6532ec7c1c4c76bc5e7d}
kotlin/math: {kotlin/math, 7b51c8acaa214e18dff164edf18ac63b}
com/joanzapata/android: {com/joanzapata/android, 0db390eeeb150a4b7e83ec8056f6ee13}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, dbd29ba3faeae08d68ce9d9d2504f6f9}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 8ba0fc252b432f2a8885c574214087c5}
kotlin/random: {kotlin/random, c099bbdede865a2d6cb1854ec14706e3}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/cardview: {androidx/cardview, fe41f5da40206dcd156f94efc417609c}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
com/google/common: {com/google/common, a0bd7ba78be8803cf04dcc9d4d5ff31f}
android/media: {android/media, e079f4fb8febf5b63effbb6583d13a90}
androidx/savedstate: {androidx/savedstate, 8bd413c09cc2684d3d5f12337a6760c9}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 77830bc8eeccb8dbd81ea39e8cd0883e}
kotlinx/coroutines: {kotlinx/coroutines, 2720fba1c75f184a0459ded0ab69a8b8}
androidx/documentfile/provider: {androidx/documentfile/provider, 55524eab8e597bef266cc4d7c1d975b2}
androidx/startup: {androidx/startup, 7b1ce759b7547e2a76ca8226e5172421}
com/joanzapata/iconify: {com/joanzapata/iconify, afae01c4355196f207d3cda6aae613fb}
androidx/loader/app: {androidx/loader/app, f4509892b9696c232b25ab92ae53d6a8}
com/annimon/stream: {com/annimon/stream, a01be4f9fa140c56ac78f54cd6d0d954}
androidx/room: {androidx/room, b16ca4427c66e7a81ca15bbdd407353e}
androidx/media3/ui: {androidx/media3/ui, 8901ccb12abb8128634ec3e6767c8214}
androidx/sqlite/db: {androidx/sqlite/db, f822f566e64fb84bc6cdc90d12349451}
androidx/lifecycle: {androidx/lifecycle, 429f65bb0108a819858fb87ea4e8ad20}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
