androidx/appcompat: {androidx/appcompat, f0aa611b613101eea7dec2f49e8ad298}
kotlin/collections: {kotlin/collections, 309c0b8ff83f128cf8eb4dc00ed6d4fb}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
kotlin: {kotlin, 37839c30ff7c40523312b1896d3949c7}
kotlin/io: {kotlin/io, b7b0b418247b37c0661ef0664b2587ef}
androidx/room: {androidx/room, 8a753c75c07dc16e8c9f1bf9c345061c}
rikka/sui: {rikka/sui, 136d21bbd5b896507ca9c58313e1cd86}
androidx/activity: {androidx/activity, 58fe67a6fde9d1c924aed65a46719245}
androidx/profileinstaller: {androidx/profileinstaller, 830feace874dc78c84b7c3042977a69f}
androidx/customview/widget: {androidx/customview/widget, eb7ea7f777e6b252716fe32bfed720ae}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 8787a4d364596d2f0bd35ecf2f2ba9a1}
androidx/preference: {androidx/preference, 99835f9abbaf2396f3f607a92641d1eb}
androidx/sqlite/db: {androidx/sqlite/db, 802e94720aa8e3b377048285a4b15acf}
androidx/compose/material3: {androidx/compose/material3, ebe4d134c5526d0a4952a64b2ee39842}
androidx/lifecycle: {androidx/lifecycle, 5c92fdd4ac5169c24d0a51c126e1ce40}
androidx/fragment: {androidx/fragment, b5402f90c555158ff7e61dc7d3e5e262}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
de/marmaro/krt: {de/marmaro/krt, cd6de19068c363ff3df57b06d334961b}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/coroutines: {kotlin/coroutines, fd691d1bdb45f55c39bf4785823ba4e6}
moe/shizuku/api: {moe/shizuku/api, 91f3049b54fec842e1bc3b29a596888f}
kotlin/text: {kotlin/text, 350f4985d688452ba9bee03e803d8de4}
ru/gildor/coroutines: {ru/gildor/coroutines, 7b693fabc9fe62341fbcc0e41a73b598}
android/os: {android/os, c4e9eeb25e17c46354752ac4239a9772}
androidx/versionedparcelable: {androidx/versionedparcelable, 49abb4c7c98d6171a687361a8f43f123}
okhttp3: {okhttp3, a4e50efc2e38f34e8a095c11fc5b760f}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
androidx/compose/runtime: {androidx/compose/runtime, 1242b635ba7d1587dc084ece25781f46}
androidx/core: {androidx/core, 4e8ad66875c77ab2dba4d98fdcd98052}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 3aea182aa9070ed45801dde6eb5032ce}
androidx/collection: {androidx/collection, 64221a6c966b8533bfd6caafb4957aa5}
