androidx/appcompat: {androidx/appcompat, 4d76f1550fe17c320b04866804a5c67b}
coil: {coil, a8a69b6d70c3883810c4a1fd52c28292}
coil/fetch: {coil/fetch, 806e910aad0485c6346e544fe20db4e8}
kotlin/internal: {kotlin/internal, f1a5184f5a93898940bdaad43672508a}
androidx/activity: {androidx/activity, 8962570a06164c768ebd9d5d500bd126}
kotlin/sequences: {kotlin/sequences, f207ba147dc72346ee8ea6af3e7a3d66}
androidx/compose/foundation: {androidx/compose/foundation, 9153dd3fbc1806fbbc1c0f0fcd05b2c2}
org/kodein/di: {[org/kodein/di, org/kodein/type, ], ecd45fd1e487f33b50adec79273c3742}
kotlinx/serialization: {kotlinx/serialization, c01e142ec172e39939aae87c81cc77d4}
kotlin/math: {kotlin/math, 785d40d4505a7c15532a1e6a89877687}
androidx/compose/runtime: {androidx/compose/runtime, 351a8af0c8c306a72595a857de363f76}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 6a514edc3bf30610ebb7fe50ae4e8481}
kotlin/random: {kotlin/random, 3d79e26bfb3f57f1a1c685a70ac2a263}
coil/map: {coil/map, f97e9f780c637ef78b40a357e1e13acd}
kotlinx/datetime: {kotlinx/datetime, 408d98be96ac4947c365cadc846d3557}
app/shosetsu/android: {[app/shosetsu/lib, app/shosetsu/android, ], d31450994187fded021c9dd6e5c650bc}
com/google/common: {com/google/common, d5f8aa54f025da6c280191a7a65f931f}
android/media: {android/media, c4e9eeb25e17c46354752ac4239a9772}
androidx/savedstate: {androidx/savedstate, b8e2484ce2aeeda296360538ef73cd27}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 530ab7d5afe4438e55b949f2fad0b2a9}
kotlinx/coroutines: {kotlinx/coroutines, 081aa0f0d8e45f55e4e48508f4643ae3}
androidx/startup: {androidx/startup, 2cfee549e8eb46f01243bb01d25edb49}
coil/intercept: {coil/intercept, e6f4b96784f5a0c2ca813dbf6750ecec}
com/chargemap/compose: {com/chargemap/compose, a7f9aead27230062b226f57bd7f3c53e}
org/acra: {org/acra, 9af73c97da8065d7a359d3459abd40b6}
okhttp3/internal/http1: {[okhttp3/internal/ws, okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], f15facf65150874b8a8bb1a629f42c04}
androidx/loader/app: {androidx/loader/app, 228f67a41f4a02e1135dbfa1dec136c6}
coil/drawable: {coil/drawable, a6bf9fa2fb9527149d961870053a89bd}
androidx/room: {androidx/room, f0388577f0fbe7c8135e50d927bc834c}
coil/compose: {coil/compose, bc20efe8aa33af93fbb1a960d7cbf7e3}
androidx/sqlite/db: {androidx/sqlite/db, 98d1315ac7e58dbd251148296a9f1976}
androidx/lifecycle: {androidx/lifecycle, 7f012e3233b1a7837c97e979de8c2258}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
androidx/navigation: {androidx/navigation, 65992e2f32a8d5f5fb56c0ad5059380b}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 4ebae0aacde45e078de7d35f99704597}
kotlin/reflect: {kotlin/reflect, 05ead77fb1d30fd4fdc2a1fec9447a8a}
kotlin/text: {kotlin/text, f01b9328df8600214383a48470ef83fb}
androidx/exifinterface/media: {androidx/exifinterface/media, 9db88a693a9304f8d5fc2030c0462408}
androidx/versionedparcelable: {androidx/versionedparcelable, 3532e34ffad3dde66a7128fa016dd2be}
okhttp3: {okhttp3, 580d9321469bc30c2709dc83135175ee}
android/view: {android/view, db23915dbcd5afe0c4f9bff1c71e7b96}
androidx/core: {androidx/core, 32fc7b937fae3d56123140ea572ccb52}
androidx/collection: {androidx/collection, cd2c0f060927eba6d3ad6c494128d928}
androidx/transition: {androidx/transition, 6775b060943114aa0e6778505a889a23}
coil/request: {coil/request, 1cf416b56ae805a52ade295aa6deb837}
coil/key: {coil/key, fdec7c141703560d86df48660ec7814f}
androidx/viewpager/widget: {androidx/viewpager/widget, d4024eb0f9c6cafe5586300766862905}
androidx/compose/ui: {androidx/compose/ui, 2186bf2fcaf9ddfafb8b0d139e934d0e}
com/google/android: {com/google/android, 8f317d34bd1757f1fe5f58c210c368ba}
kotlinx/collections/immutable: {kotlinx/collections/immutable, 519d3573e3e3a84bc0851f67a7457094}
coil/target: {coil/target, d4c2d566ec9b6ab1fc0496aa40d3ca2d}
androidx/customview/view: {androidx/customview/view, b9eb6a48fa609e84c2f3bd13f9615a45}
coil/network: {coil/network, f48be0835cd014e452bc2589742d2793}
androidx/recyclerview: {androidx/recyclerview, 8a36248a7f945e53d84d644acf9d4981}
kotlin/comparisons: {kotlin/comparisons, d03c7951f456da18a836fc7676317a8a}
com/google/accompanist: {com/google/accompanist, 0fa38579e28f19c6fa5db22a6e1b4f3f}
kotlin/jvm: {kotlin/jvm, 4e3f7e02913779fddfec34ecb2607d4d}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
coil/size: {coil/size, 9f304ad42fa062d9628d891277b8efa6}
kotlin/io: {kotlin/io, ab55a0469cfe22576c3d0159978b48f8}
androidx/profileinstaller: {androidx/profileinstaller, 447a53a43d30fc49669bac83157e88e9}
androidx/window/extensions: {androidx/window/extensions, e381f6991873210ea6cc1b6be99b5314}
androidx/compose/material3: {androidx/compose/material3, 396fb4d00d3e61491583c2c6178ed50f}
kotlin/time: {kotlin/time, b0b6d59eb6fae361797f516e5fb30551}
org/joda/time: {org/joda/time, 512c902d9ad2fe99568b642d668f16e2}
android/graphics/drawable: {android/graphics/drawable, c4e9eeb25e17c46354752ac4239a9772}
io/github/g0dkar: {io/github/g0dkar, 69fabb7fd0d09a35e37e8f74f72da850}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 174de26697ad1feb8aeaf2d45acdd65c}
androidx/sqlite/util: {androidx/sqlite/util, dce0b596601dc8d929719428f59faea6}
coil/memory: {coil/memory, 771a389e3f9c8b85f5c32f3ed6bb482d}
androidx/drawerlayout: {androidx/drawerlayout, dbed52123370a4938515cf66de99b386}
androidx/compose/material: {androidx/compose/material, 61f764033a05891568f1b69b60269ff6}
coil/decode: {coil/decode, ccdf3ac5e189b15ada53a975d6a38fce}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, dfeb8c23a20731e9fbcfbf28b235fe78}
androidx/arch/core: {androidx/arch/core, edb900b88f589026694614000bc5c274}
kotlin/properties: {kotlin/properties, 47c487d8425c0f838c9d9057f03302b8}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, d3339113db8a575e30e146d5bddfef01}
okhttp3/internal: {okhttp3/internal, 3b0ff3d650f36760bb4c6bb7a448ebfd}
okio/internal: {okio/internal, a605f7ebd4cd86d40e13beb6e5a46461}
androidx/concurrent/futures: {androidx/concurrent/futures, af95a56c7ab7362388f5ca63d404e732}
kotlin/collections: {kotlin/collections, 4b4025dd2171ea6aa8e51fcd06f7c4e2}
com/google/auto: {com/google/auto, e366ea4a19c236c010ab1b7cd6476631}
androidx/fragment: {androidx/fragment, d4065def7089bcc6341b0e52a5d552ad}
androidx/customview/widget: {androidx/customview/widget, 1ddeaccab3212ddc77d08e3e5f56d15b}
kotlin: {kotlin, 51c2ef801e0265500769a9f01e00daa7}
org/luaj/vm2: {org/luaj/vm2, 4511b3152020ea54a9644a9f34abc3bd}
kotlin/coroutines: {kotlin/coroutines, dd9cbd54b8c7328aec6c019ac418299c}
androidx/compose/animation: {androidx/compose/animation, 553d8fbe44f4a21a88f3c17f5c0b00ad}
androidx/interpolator/view: {androidx/interpolator/view, cc57d3a01f94754f7d9dd360d6d916c8}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], c8d8cf8c140326ee80bced9dcb547cd7}
androidx/window/layout: {androidx/window/layout, 7d032eeeb73e221830b9edce45760e1e}
okio: {okio, 58cab74d040dc473b8f0847e93140e48}
androidx/paging: {androidx/paging, 25e2cd0e23e3fe3efc8fd9877491a640}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, d902c7d867453b49de9df37418ac5a7c}
androidx/work: {androidx/work, 3569c37fff03742db2a6c0ed9cd4b970}
androidx/emoji2/text: {androidx/emoji2/text, c57e5dc20c051a418e40ccebe20e582a}
_COROUTINE: {_COROUTINE, 968e260516996aa9dac0ad6c8af162e1}
org/jsoup: {org/jsoup, 326e47b5cdb44b50d1a7c9bfa3d0db21}
coil/disk: {coil/disk, d595b6bcf8d166844424e28ecb19b9c2}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, f686ee5fb134d3fb0f8691c25965e2c6}
kotlin/ranges: {kotlin/ranges, fc91ec2632dfd31a3fa59bcc67c92bea}
androidx/tracing: {androidx/tracing, 06ac6b0c3eb90cdfe007ff5f4924dcbe}
coil/util: {coil/util, e0fc43d994a6042203f60aeb379c7df4}
coil/transition: {coil/transition, ffbd2c98f84102f87aa02ae7a471204d}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 8da8196ea3eb7032d3fc3f5c37bc0136}
