androidx/appcompat: {androidx/appcompat, d6455f2d060022b953b6db8ec80a4c3c}
kotlin/collections: {kotlin/collections, 28570cc7081015bf2324cceddc5dc961}
kotlin: {kotlin, 89b67654857f5f71b524a85b8a1d5d52}
kotlin/io: {kotlin/io, cded049fa45f29ed3410a429f9b1f199}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/room: {androidx/room, a7cfa16098299f5e9c32d6456135738e}
androidx/activity: {androidx/activity, c1de17dc70ebd59b48fb93d45e36810a}
kotlin/sequences: {kotlin/sequences, e69a40f40b244ed4ebe8a12eb87ec55b}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
androidx/preference: {androidx/preference, 4b4b85dc202eb35d81cb38b419487828}
androidx/sqlite/db: {androidx/sqlite/db, f32aa63bfd675ed841b24c0ba873bdba}
com/anthonynsimon/url: {com/anthonynsimon/url, d2fdca7ea0433f93f85ecf524fdadf63}
androidx/lifecycle: {androidx/lifecycle, de8ebdba07a65c28d890b04bbc6e56ab}
androidx/fragment: {androidx/fragment, 3eef5643c5d2638df34ecefbef377453}
androidx/concurrent/futures: {androidx/concurrent/futures, cf37114e4cb9a198887d55ffd44c9e64}
androidx/loader: {androidx/loader, 4bd754190be5b8a02f5a541bf0cb3a66}
androidx/vectordrawable: {androidx/vectordrawable, 0bec9c2f4bf3315f2d1fcacbe22fb6a6}
androidx/recyclerview: {androidx/recyclerview, c46dd8ed2dd234e2cf424a9ae4ade737}
kotlin/jvm: {kotlin/jvm, 2f77c6a3de9c577170a0b3b4b8fd150d}
com/google/android: {com/google/android, 79a7db554195b14730fbf70cd5ef99a5}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 2271646c79843cd2bb8612a7d013d075}
org/intellij/lang: {org/intellij/lang, 08fcc9fe620b2a07273a23f0194df8ee}
net/yslibrary/android: {net/yslibrary/android, 8c2726e180b4331a40dcd6d3a67124b6}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 468892678b6f0cb94a3986f54740e226}
androidx/core: {androidx/core, 843abc269164df5b39f05128d43794d2}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 3af32e239c2835ac2bd0c7386fe79949}
androidx/collection: {androidx/collection, fb58abac8616e30799d639caf6b7a583}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1b94a8a1bb313b7e779c92fb8abfd2c0}
androidx/transition: {androidx/transition, 634f695117d2867ad6b80452ef8f38f0}
kotlin/internal: {kotlin/internal, c1d639e50307f896e5c00a79d4e2af6e}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 75dfb7617e672bb9e0a271e6dcf3fa73}
androidx/multidex: {androidx/multidex, 7a68c34f61e41ff8624bb49764f1953c}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
com/jaredrummler/android: {com/jaredrummler/android, c7ac89f548b13fabe13d94430add8645}
androidx/drawerlayout: {androidx/drawerlayout, 6b14bc737854edd87f4885706f23fb5d}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
androidx/emoji2: {androidx/emoji2, ac3ed4c55c96bc78d873a6e25178eb00}
androidx/work: {androidx/work, 4c55e6215fea4f4a24e2acefca4154ed}
com/tachibana/downloader: {com/tachibana/downloader, 23d071f0306f767b3def65ebdca964da}
