androidx/appcompat: {androidx/appcompat, 50684918551c263fe41416c0e11e1ccc}
com/google/auto: {com/google/auto, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
com/google/errorprone: {com/google/errorprone, 941139648b22632eff9085afea83278d}
androidx/activity: {androidx/activity, e2927bf49cf3ac105c648c382ed9b387}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/coordinatorlayout: {androidx/coordinatorlayout, aaa0a4967523d38072a3e647b19d424f}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
androidx/lifecycle: {androidx/lifecycle, b290981d4651088e6f414afb3231a365}
androidx/fragment: {androidx/fragment, 45a2c4ecee2fc93739df62e5ce45a5da}
io/opencensus/stats: {[io/opencensus/stats, io/opencensus/tags, io/opencensus/common, ], 6e9e84c9fc08ec76553ccbabeeac7927}
androidx/navigation: {androidx/navigation, d8cea0fb0427333ae021ebdbb8813960}
androidx/loader: {androidx/loader, 9ce49e3c5325632dbc214354996d4145}
com/android/volley: {com/android/volley, caed39d6830ffa7789c7c5325edf563f}
androidx/vectordrawable: {androidx/vectordrawable, cdcba2523e329ce38f427cd4d0f3ffce}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
com/google/protobuf: {com/google/protobuf, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/versionedparcelable: {androidx/versionedparcelable, 2271646c79843cd2bb8612a7d013d075}
okhttp3: {okhttp3, 66867d4466d092caf1ee76964233f7f4}
androidx/core: {androidx/core, 08d470042ab6d1258eee9a8ea77bd694}
androidx/collection: {androidx/collection, 53545eaaf0308eddad921106f5b4eb14}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
io/opencensus/internal: {[io/opencensus/internal, io/opencensus/common, ], 52729eac462c1d49a08b1ba223048189}
androidx/transition: {androidx/transition, 00086a3518fffac2aae2f9f759e372dc}
com/google/j2objc: {com/google/j2objc, c87862682c743f2598f33e02f76523a4}
com/contrarywind/timer: {[com/contrarywind/view, com/contrarywind/adapter, com/contrarywind/timer, com/contrarywind/listener, ], 0d4c9649e829fc05600120fcc41bca50}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
com/facebook: {com/facebook, f9b733d5fa41fa99d15641fd3eb19cd5}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
javax/annotation: {javax/annotation, c4e8d7026c1dadaa234254b09ba07263}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8528ad3d434333164336d3f6f45bd5ec}
bolts: {bolts, 7237c8025c940ef3d3060c6d978c517b}
dagger: {dagger, f78aaacc47bcf4f03e0e20f361484bbb}
