androidx/appcompat: {androidx/appcompat, 5fbc654a86bb7a01b3dd3809475d734d}
kotlin/collections: {kotlin/collections, 7be42f2e9e77679ad441f9e5020278ac}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 34749f922a03629622427547485c401f}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
kotlin/io: {kotlin/io, a8a33973ce8725de2124e584473f45db}
kotlin/internal: {kotlin/internal, d12e98c4f3a406e519b5f676d92eaa39}
androidx/activity: {androidx/activity, 66be6a3cbd5ddd6dacfeedd5a32b8dc4}
kotlin/sequences: {kotlin/sequences, acda853c8a9fc3aaa4ef47ed73b693dc}
androidx/core: {androidx/core, 842646566271d31bfa65b4e4f87ad03b}
org/springframework/web: {[org/springframework/web, org/springframework/http, ], 75232e65e182fb0d2fef5fb309a5726b}
androidx/customview/widget: {androidx/customview/widget, f9c35e7d381e2623241e28806b031368}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 31c1053bee6eec7cb8a7cd097f3e01a6}
androidx/lifecycle: {androidx/lifecycle, 151986d0c0c0f082285e72fcc057033c}
kotlin: {kotlin, 7807bd0f24921f82e5f2d5029b783c58}
org/springframework/core: {org/springframework/core, 336871f483e5ea55331a98a06283f68e}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
kotlin/reflect: {kotlin/reflect, 95d5845818240cfcf299d0eb9233c88c}
com/google/android: {com/google/android, 43eb39a48f41b2e52b3f8ddcc67e3c3c}
kotlin/text: {kotlin/text, 2afd3cd3bd1988fe6fe44ce2f1f4fcae}
androidx/versionedparcelable: {androidx/versionedparcelable, 8ecbbb762778868035b8a50aa7b08001}
androidx/coordinatorlayout: {androidx/coordinatorlayout, d51c5e72901293138b361f0dd46f9fd7}
androidx/collection: {androidx/collection, f1da9e3695d99b622d53ac2225bb7357}
androidx/transition: {androidx/transition, 9c46227a02f1690fa555c63f4bde8077}
androidx/interpolator/view: {androidx/interpolator/view, 4e2f8fdaa8dc2c56837403429e0cded4}
org/poul/bits: {org/poul/bits, 6627b3a7fba79193e3f0113e95e37e28}
androidx/viewpager2/widget: {androidx/viewpager2/widget, 9d1ee88aedebdab6544e4b65eafe739f}
androidx/cardview: {androidx/cardview, acf4d124c5bba5989d042886b6e82dca}
com/google/gson: {com/google/gson, 5a5a8d7cee352e9b6c5a6c4a473848a2}
eu/depau/kotlet: {eu/depau/kotlet, c5524b9632360f8985ed2fd81997e2c7}
androidx/media: {androidx/media, 52ce83e498130a807731cf66af386f20}
androidx/browser/customtabs: {androidx/browser/customtabs, 6b5173678302e716fbe5c694ce40f66b}
androidx/viewpager/widget: {androidx/viewpager/widget, ee0bda947e22a9981b2ad6abec625b94}
androidx/loader/content: {androidx/loader/content, 4a328ceecfcfa80f3a8f8a6ecfd017b7}
com/fasterxml/jackson: {com/fasterxml/jackson, 299df9d1045a77cec61461c841736e00}
com/caverock/androidsvg: {com/caverock/androidsvg, de6a45e3d74055b8ff62bc1e00da872c}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 8afff54e7eb0e79c76e94f7219ce34b2}
androidx/arch/core: {androidx/arch/core, 373ce2d2a801596db938def1bbfc10ba}
org/springframework/beans: {org/springframework/beans, 6c3c26f6bea2753e881a747814e25980}
kotlin/properties: {kotlin/properties, bf005215bcfbeaaf96b3a5260a18e291}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, e5baade5c96f11379f1a6059572a0763}
org/eclipse/paho: {org/eclipse/paho, 742ee682502fb5823843ba1ecae189bf}
androidx/savedstate: {androidx/savedstate, e1b3f2fb57e1875ea1822b96dcf49ef7}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
androidx/fragment/app: {androidx/fragment/app, c49b846f6e368bd31b0c6143fb681d8d}
com/bumptech/glide: {com/bumptech/glide, da3fa27d864e0ca9746240c53d66894d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, b3da513471bc40f84ef4b6a8e66058bd}
org/springframework/util: {org/springframework/util, 374b4181d3eaa73cdf4ef154dfbb4e95}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 5f5ca9c607718998927d16abe0c06b19}
kotlin/ranges: {kotlin/ranges, 3df6f09e157a9f22f65cea01c5f4cf34}
com/github/aakira: {com/github/aakira, b963c21e338873acded96ed33050fc61}
androidx/recyclerview: {androidx/recyclerview, bc6b7c3bb1ca8eb871a8fd30a7f61cc3}
kotlin/comparisons: {kotlin/comparisons, 5ffdd6a8adfedd422df1f973a9dd945c}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 8f031bc32120c5ec3e85f3d6f81ad9c9}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 068a9b750235350fdf5cd039c271dbff}
me/jfenn/attribouter: {me/jfenn/attribouter, 915965264f8327da6f219890b730a6ce}
kotlin/jvm: {kotlin/jvm, 23653e2130144f738101ba349086fdbb}
androidx/loader/app: {androidx/loader/app, a01d6a97eee3095764dd1cbf57c5d8a7}
