androidx/appcompat: {androidx/appcompat, beb161d01ec9d5cbef80767ef028b1fb}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
com/github/appintro: {com/github/appintro, fa4062f52c60f16e385c85920a45c1a9}
androidx/activity: {androidx/activity, 9224bca9f4d11793a43e0819c7064815}
androidx/core: {androidx/core, 1d50956434f8aad2aaff0ffafc9aa844}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 44b6910ae2f3c7f31ab004f2c0d7b42c}
androidx/lifecycle: {androidx/lifecycle, c771e0b7c2f999b076ea2ff435defa7c}
androidx/fragment: {androidx/fragment, 32b286a0c0e3c191a6d1249acca80296}
com/davemorrissey/labs: {com/davemorrissey/labs, 2f201cf2bd475e42362ba1ce00399026}
androidx/loader: {androidx/loader, 44a8f919d508659d6f36a7776c184093}
androidx/vectordrawable: {androidx/vectordrawable, f203bce619b9f967a0fd4a527a48c50d}
androidx/recyclerview: {androidx/recyclerview, 984656c57baa40cc030eaeb5e4db5b11}
androidx/viewpager: {androidx/viewpager, 9512806ee9ea7af5edf5c9c4cf48b25d}
androidx/legacy/view: {androidx/legacy/view, 542dd9699021b2a489ba6c7d8f6e4a23}
com/google/android: {[com/google/android, com/google/common, ], db08ca45098ae657e70b125fbfe07ab5}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
com/github/mangstadt: {com/github/mangstadt, 987d7f02ee4dd19e4d1a4d4547073548}
androidx/versionedparcelable: {androidx/versionedparcelable, 338b9d4d9818a64a328838b96ee5c4ba}
okhttp3: {okhttp3, f81834cf4f41981ff1c3d6e2e90e4767}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 38519d74e9cf8cca947bfc4f03eb4c5c}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 71074c63be84dd02a9d3abea4ca3cf23}
androidx/collection: {androidx/collection, 6fd27a665d0e6ef5303a1ecba06fc490}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 8e59d2e3ac16c4c9bf1582eb1630d70b}
okhttp3/internal/http1: {[okhttp3/internal/ws, okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 6b78283a18e2ff5682cb24260bc60bed}
androidx/transition: {androidx/transition, c8621263f2968292863542cc884e33d4}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 2870b782bebe4c19a9f4a41dc6bc7eaa}
androidx/cursoradapter: {androidx/cursoradapter, ce57f636c8568f5ffbc42ce9a778b40f}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5dc23fd4c32bd54570d87a13ba1d32f4}
androidx/multidex: {androidx/multidex, 928b88b345620b5b6d13accc228c7f7d}
androidx/cardview: {androidx/cardview, abbb4dd720a5f30abc729582f79e186b}
androidx/legacy/v13: {androidx/legacy/v13, e97521e81a9f1d37da0597160bf5ab00}
androidx/drawerlayout: {androidx/drawerlayout, fc4452db2e2cce4c3729517914b74645}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, 52f114204648fe5ac7e7c4667b729e90}
androidx/exifinterface: {androidx/exifinterface, 852e846e305fcd1768cf93c0c56f397c}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
com/fasterxml/jackson: {com/fasterxml/jackson, 7a866d8cf5799f8b0b24b2fb8cc3839d}
androidx/emoji2: {androidx/emoji2, 91db65fa59a32a15b13be11b0de3bc43}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/browser: {androidx/browser, 40a4fa2f906843ea20ad505febf65ade}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 029a2b3434d4e518d4b2702285614e5e}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/viewpager2: {androidx/viewpager2, 68c53b8f6fdb57d7d39fc351d6940075}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, ddd6c535c85ea0320f0bf36320baf2cd}
androidx/documentfile: {androidx/documentfile, c1e8882d9a131f86ce61208986d323c2}
androidx/print: {androidx/print, 4012429ae246dabc2fb4ab300471c99c}
android/support/customtabs: {android/support/customtabs, 648ad9b7a2f9a85c1f91496676eac65b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 0774f7ce4c635dbc891037b3effa4da2}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, df450cf04318b9aa97619804f4e6c4bb}
androidx/legacy/app: {androidx/legacy/app, 1bfd414f817a10f77a466caa1241edbc}
okhttp3/internal: {okhttp3/internal, 31076d99d9028a64cb95a1d55f41e30c}
androidx/tracing: {androidx/tracing, 00ba871b13d3868284ed0b1147f7f736}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 375a9cb174f483170d5cb09b8219a001}
androidx/concurrent/futures: {androidx/concurrent/futures, 428698836469a11e39ae4c678ac31f99}
androidx/customview: {androidx/customview, e09c7f828267e07106f1fc717e51e8fb}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
ch/threema/webrtc: {ch/threema/webrtc, e3929d5065aa2ac688baaf44859b1d88}
androidx/dynamicanimation: {androidx/dynamicanimation, 4b21d82fe9206d47bed66914033b22c4}
androidx/databinding: {androidx/databinding, b057a1fcebdbf7cec69d49e07ea61ca8}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 0ffb3f4c549a2be87650f86341f5bf61}
