androidx/appcompat: {androidx/appcompat, 7174bea62ddbf927f6d5764c1e40578d}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
me/drakeet/support: {me/drakeet/support, 8f144726f6342507d0b3e8947cfc526c}
kotlin/internal: {kotlin/internal, ad29631dea0c7194ea65fb62017ce187}
androidx/activity: {androidx/activity, e549e002aea9e2d4d278ecc9e11b2e03}
kotlin/sequences: {kotlin/sequences, aa70e9fa96157879be6214c0e136a691}
com/leinardi/android: {com/leinardi/android, 0ebe4393468326b8d905b73119073b9f}
com/google/android: {com/google/android, 1a84f2b415eafa25c53f0e169a0929c5}
org/jxmpp: {org/jxmpp, 189c829c52236f3e5bb1801c42cb6651}
de/measite/minidns: {de/measite/minidns, 3cdfd66c37dab00d52925fd1e4563d72}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 00e5645c39b2eac0e5f034808fdbd6e5}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 149750d9d8d9998cdfeb455df7a44a78}
kotlin/random: {kotlin/random, c099bbdede865a2d6cb1854ec14706e3}
androidx/cardview: {androidx/cardview, 9b6aca3a33598738e5e0c7ca4743d0bf}
org/bouncycastle/util: {org/bouncycastle/util, 954549325a64969a3b371c4701ff3f23}
com/google/common: {com/google/common, a9ade5f3a7a8e4145ef14975a362dfed}
androidx/savedstate: {androidx/savedstate, 37c13d5fadf4cee71076a7c63f7a752d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 9018af3bf6635e85325a0213babf74af}
me/leolin/shortcutbadger: {me/leolin/shortcutbadger, 6cdd50898c99bedcd4a6deeaf18632d2}
kotlinx/coroutines: {kotlinx/coroutines, 1eda01a1d6eca7a36e841cb69b2e15bc}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
androidx/databinding: {androidx/databinding, f10e1a4cb6e9896c927936c820e64ba4}
androidx/loader/app: {androidx/loader/app, 88db4f356622a85023515694938dfcc8}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
eu/siacs/conversations: {eu/siacs/conversations, bed2942668cc26cad65ac9a1e4009c64}
okhttp3/internal: {okhttp3/internal, 1cf7cca9f3954383e6edf7c15c3be22b}
androidx/lifecycle: {androidx/lifecycle, 6b2bcd95f464578ccf8278afc699e685}
kotlin/enums: {kotlin/enums, 1829a9574b35e701b2ce18bd854706cd}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, a9d1c0517fe38fbf1674a83fc8df801d}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
com/wefika/flowlayout: {com/wefika/flowlayout, 7cf070d76a27b9e09affe58de4bdf046}
kotlin/text: {kotlin/text, eb92a556aa2af1d355bb466b9806166c}
org/openintents/openpgp: {org/openintents/openpgp, 85397c2b6b9910ebe0dd884c69ef291d}
androidx/exifinterface/media: {androidx/exifinterface/media, fee9570bb4b977f1d51b75c3ae7b3c3a}
androidx/versionedparcelable: {androidx/versionedparcelable, 3a7014102653b0ff72ba4bbab1db28b7}
okhttp3: {okhttp3, c539612363210cc9cfc32a52abc76b27}
androidx/core: {androidx/core, dc7333773fa960c1cce326de68b69c68}
org/bouncycastle/jce: {[org/bouncycastle/asn1, org/bouncycastle/jce, ], 027207864332e292a6b9489204d0f728}
androidx/collection: {androidx/collection, 65212a6102da3886fc1eb0fb76d062a5}
androidx/transition: {androidx/transition, fe10e09cd2f32ed3884ff9f79a4ac914}
