androidx/appcompat: {androidx/appcompat, 262158bda40871ea2c95c9d8fc62a7e9}
kotlin/collections: {kotlin/collections, 58057eb3b2139b36f391482ba4a8e00c}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 3a63b8876af3473bd2fe353aa5f2b0dc}
kotlin: {kotlin, d8e5d5535235d73ea18e35c841a61731}
kotlin/io: {kotlin/io, 91cb3c00be89ba235d34a255db235110}
com/bignerdranch/expandablerecyclerview: {com/bignerdranch/expandablerecyclerview, 8311a23138f2f8fd212ea20264c1264c}
androidx/room: {androidx/room, aa3e2812998f489faba9b624452ccbef}
androidx/activity: {androidx/activity, e43a431cb0ab1ed327e9915f2ac01b69}
kotlin/sequences: {kotlin/sequences, 6660045ccdecc8123b2d09afffe55ef3}
androidx/core: {androidx/core, 7ed3a6efefe123a0eced1f97b3b4e77b}
androidx/preference: {androidx/preference, 243b6b43cb54674c4520a6bea27314f9}
androidx/sqlite/db: {androidx/sqlite/db, dc1b6356eb5d0433d2847f6aef45e851}
kotlinx/coroutines: {kotlinx/coroutines, a506c72eabd0d41fc22a450e5add0c76}
androidx/lifecycle: {androidx/lifecycle, 887eb4e046591e4ff8854443a90db88a}
androidx/fragment: {androidx/fragment, b30ad2fb3d5e20b839bc436986de669c}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
kotlin/reflect: {kotlin/reflect, 27f0bca3d47a7e6a6c013eaf1762d748}
kotlin/coroutines: {kotlin/coroutines, 90ef7d15cf2bc071b80d0ee88465c8b3}
com/google/android: {com/google/android, 5b415a79f264d9980ad0cf7da6775aeb}
kotlin/text: {kotlin/text, fd270e0906164fdb184c923880e05487}
androidx/exifinterface/media: {androidx/exifinterface/media, df43fd01047d4602e1d7c961ade780ae}
androidx/versionedparcelable: {androidx/versionedparcelable, 8ecbbb762778868035b8a50aa7b08001}
okhttp3: {okhttp3, d12abb4de5b36c963ae50bcc57fd0896}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 99fc0d3ac2ec59812b3650aed1763525}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 34d499eb45972e8cb2250afbf32da801}
androidx/collection: {androidx/collection, 4ad8f51be00a12fdd0acd3afafb9e6e6}
androidx/transition: {androidx/transition, 08b271f7d0c11f199da0777ee04a25f5}
com/rometools/utils: {com/rometools/utils, b0f8c4354ac126b7080977c73d2b7345}
kotlin/internal: {kotlin/internal, 8acdee0a4d8415a0195f1b8a13bf3f01}
com/amulyakhare/textdrawable: {com/amulyakhare/textdrawable, 640e8ea60c860deb55535198b0eb9dfa}
pub/devrel/easypermissions: {pub/devrel/easypermissions, e45fd706318c8810466e392d9ba8ba0f}
androidx/cardview: {androidx/cardview, 490f4391f7983d5bbb9b5ed4e0dfc687}
com/vansuita/materialabout: {com/vansuita/materialabout, b0484dff0fa31026ac55c6eb1cf17e15}
androidx/savedstate: {androidx/savedstate, 2fb93f513f808625512c6ec342d3a143}
org/slf4j: {org/slf4j, dbe1b65d64ee44a769b0a0006371263f}
androidx/media: {androidx/media, 4c9ddeb09eb68f722b49db18f195778a}
org/jetbrains/anko: {org/jetbrains/anko, 920104ac5d2ccb5acba6e34565b0d923}
org/jdom2: {org/jdom2, ee7811a31e2c52bc02a3f13ff07b1948}
androidx/loader/content: {androidx/loader/content, 4a328ceecfcfa80f3a8f8a6ecfd017b7}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], 0001a63bc822d4c654ce5494fea65307}
androidx/paging: {androidx/paging, e500f2e470c80f99aa8c690273903273}
q/rorbin/badgeview: {q/rorbin/badgeview, 040c24bada7ef7b5f994794b8f0e66ce}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
com/bumptech/glide: {com/bumptech/glide, 8cb5d36e775882397dcf0c5cbaed9ef2}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 3c6a9417c71e0ccf1affa1baafbfea7d}
androidx/arch/core: {androidx/arch/core, 3534444637557fd0b782a7e416a3a3d7}
net/dankito/readability4j: {net/dankito/readability4j, 8e5d16946a40fc5600ab1685d3e156d0}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 6cc161165bc2d3be64a0725e4089ee00}
me/thanel/swipeactionview: {me/thanel/swipeactionview, 140377e1721ccdcf1b04738d79eec9c8}
org/jsoup: {org/jsoup, 678a717ce41474ba82a2e56b45503867}
okhttp3/internal: {okhttp3/internal, e3fe18d35a366e4b6addd83bcc472fef}
androidx/interpolator/view: {androidx/interpolator/view, 4e2f8fdaa8dc2c56837403429e0cded4}
com/vansuita/library: {com/vansuita/library, ff1ed31602bea6183bcb450bc3b68a32}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, a7751be0add82d48c054fc43162b9313}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 7f786677bf4ec83267eac0065c848c15}
kotlin/ranges: {kotlin/ranges, 7bc94ec22d760195d7a50b6d507dcdb1}
androidx/customview/widget: {androidx/customview/widget, bf94d0abf82e5a6096250828312ac0f7}
okio/internal: {okio/internal, 08da5e2769d5829ffbb96a32cbaa347e}
kotlin/comparisons: {kotlin/comparisons, ebdcc9c5ab3ebc6375c2308ad1f533d5}
okhttp3/internal/http1: {[okhttp3/internal/ws, okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 96d12c37d8d566bc57d70ef999e48fa0}
com/rometools/opml: {[com/rometools/rome, com/rometools/opml, ], 12e80633a81d75badd6a1eea2581127a}
okio: {okio, bc8077cc12bf87dda975b54b3e8e50cd}
