a6: {a6, 71a66fb23a17e19668c97f6b407541c3}
p2: {p2, 4fc7997d2c5bb08c2092b1e9f29d07d2}
androidx/core/widget: {androidx/core/widget, ac8ed765695bc5ccd55d6de02f22d817}
j: {j, 4d1ae985d0519adb28b03cdd14d02837}
c1: {c1, 4aa5cfd814efbed29873d7dd49dfa1df}
q4: {q4, 0eda8d4cfb612c304c7f12691b89b40a}
androidx/activity: {androidx/activity, bdfa3b663e651247d402148645220082}
l1: {l1, 2fba4561321cfbf89f10b612c24fdcf6}
i4: {i4, 5f5ae7875d2924706872d821a86bb6ae}
g6: {g6, c3cb4b6a28798854ea42dc82c76a60e4}
o0: {o0, 803145a5e1a12d8473a12c09150fdee8}
b5: {b5, 8dd175675a23269098907311815de3a2}
com/google/android: {com/google/android, cbffa1b3f42a9e639404ed4d802fd689}
v2: {v2, 448ceba165f739d7654a8c6a6707f27c}
z1: {z1, 55f3dc5087a11df89a688fa628d7a6a3}
m6: {m6, a24397633a29022087a2c290696ebc29}
t2: {t2, 476713da95fd7bb833e78ff3171a874e}
w0: {w0, 4eaffcfb38404aad4209b22c86a15cb6}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 1fc39f28c7aa59c0a3f98eb367e2c838}
r1: {r1, 2a978251801c7fa3a1b3f080d4823f58}
e6: {e6, de25e2b289eb29ab7cce3f9d3469698f}
j5: {j5, d72d6f6e7dd0b7837fecb7dac45175ac}
d0: {d0, e390abe6d860aaf528d4dc5d424e4344}
f4: {f4, 301d07843941094769829d60e59b8f6d}
b: {b, 359b0ef8df4432dafdd18f8b38d95b4f}
k1: {k1, 099113c42cddf01f6c847ab9ae78e481}
k: {k, ae1e8324b698cc510a9bc337d7bc6efb}
g1: {g1, a1aabf80e2f0da51bb6a2b396968a3e8}
c0: {c0, e7bfd6b6d9e4f9395cbe5351cee98c51}
a5: {a5, bf15dd4a96d0faa60fa7ad2938b2aaca}
p3: {p3, 5851828348a9f00a53b85fe837c74e07}
e5: {e5, 80b840c650033aa83dbb893938976c1e}
b2: {b2, 763ed46f97a36c960ade944a0e3efd8f}
q3: {q3, 7cf26c7ff610b3b9a8e95e3bec8ce78e}
d6: {d6, 885e736d1473a6b11011fc83a68e82e4}
androidx/cardview/widget: {androidx/cardview/widget, c1dc319d522dc5eeae5c4b60a2abf3e4}
l2: {l2, e65ed879c7dd62ba99ce1002250bc007}
me/grantland/widget: {me/grantland/widget, 5b78251e706c41689ddbc46aa78d7f61}
i3: {i3, 9069db5a35d491c34b6f3836a4f9605c}
androidx/core/graphics: {androidx/core/graphics, f2b8fbac298ae30c37774f7f1ae87637}
o3: {o3, 2c5574d7213c05464166503f0fca4003}
androidx/savedstate: {androidx/savedstate, 7ed7e65d0d0790b172fd21f5546ad8ac}
m5: {m5, 10e84f9bfa637b96ba40e9db311a811d}
t3: {t3, 2608131601f2001dcab5dc09d88a08a6}
j2: {j2, 31aecf0ad5d22f641e8a7fbccf43c779}
v3: {v3, ad5e3c1df216fa26215d5c3c2b422169}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 4c0526c1c936d4710b55d717191d1d60}
candybar/lib/services: {candybar/lib/services, ea47cd3375280800557e765e071dfa20}
h2: {h2, e456c176acdff061ace8ba202b2ee78b}
n5: {n5, 0de15b6d26335c7b6d5e3d2090eea93b}
u3: {u3, e37a23df615bd5f55c9f479202a8d3da}
r: {r, 5b2b19185f8e51a618759520523b69bd}
f5: {f5, a7fc33cfa833916c9f80ea95ad41c1e8}
androidx/appcompat/view: {androidx/appcompat/view, 88800afe8b507be4dc9b3f62d2efd0b8}
w3: {w3, eb538c0c19ffc2d017a1000aaa344d44}
z: {z, 306184b6741331dd5d6a8d7fb56dfc80}
r6: {r6, 98d1639761dbc32ae36ba0ea310c8525}
d1: {d1, 96a443a1e0eaa479308218d34274d8ae}
c: {c, 4b720d472d303f196cde1d6a9b44791d}
k0: {k0, 33817ab46a6361dad62caeddb202ef36}
androidx/loader/app: {androidx/loader/app, c3f18024672235a978c45142e330836f}
g0: {g0, 93653f5b700905e58a1937a8c23d73f2}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 98b96797a2bdf85d9bbb08f28251ca76}
x0: {x0, 9c07cf2a49b8e4b4e1f9a010b93fa4eb}
b3: {b3, f0f92848153120cb6d52bcf81a38a3d9}
androidx/room: {androidx/room, 5069a510a9a4c4e2ecde88a0027b076a}
w2: {w2, b773bc655e7629881325549684d8d9fe}
q2: {q2, 0b602f9f00c64dad645508c30d248a03}
e4: {e4, cb35965164646a20fdf932664d0808b0}
org/baitmooth/snow: {org/baitmooth/snow, 742dad8d53ca6262bbb2cccad5c474ed}
o2: {o2, 0bc9d72516915e5b5ef4be357ad9e1ed}
m3: {m3, d0c89c2cfc8e97aefadd8269b412f744}
i2: {i2, e68e07c6b56892a138df48f5d7610c23}
androidx/lifecycle: {androidx/lifecycle, b776c05526a2c2f643d2b378839c7fe8}
c3: {c3, e4d60e35e2d0023f993b36dcf36ac653}
a4: {a4, 451600892a4e48b0ba172673b4db5054}
h4: {h4, 6e242682fbc96bba22d3888db914ccf8}
t: {t, bd720d64df3c0dcdb08e832e8760a341}
g2: {g2, 9b37f3d5897c3542a5a62b6c150db280}
androidx/media: {androidx/media, ea0d7e3b2cfe1ae5fccf4d4643f658a9}
j3: {j3, faffd2286e909de089c47c7351254ffa}
me/zhanghai/android: {me/zhanghai/android, ce0dd884154827e9814b6417cbffcc35}
m4: {m4, 3e9a5074d12ed71b37f20a7ce3fd3423}
t4: {t4, 2b7535feb619a4f837aadeb89a520a00}
u2: {u2, cc2be095889bef0ab560948e4b9dd670}
s: {s, 11980f094931680eba1675c5d17fadf8}
uk/co/senab: {uk/co/senab, b62489774798be3727613d70595b8e4d}
androidx/viewpager/widget: {androidx/viewpager/widget, 8c6e86affe9b81025ae4f4246905c193}
d: {d, dd714462f53319af9a1031b08f24735f}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 482d552955570eab9ad6d70fa1ea48f5}
h3: {h3, c431edbb41427240fda4686e93a296db}
n2: {n2, 43dda45af48a7583a9057f42de0b51ec}
k3: {k3, 8cc8ad58f019524b1df39c2b74a3296f}
p4: {p4, 573e23a209d40a06198e7469bf0b8b25}
l: {l, 60f92f275755fa29d262ccb286706000}
y0: {y0, 18efb54d4844d2098fdf1b951345fe29}
f2: {f2, 7ce30c36929ba8e381bca90afaf66007}
v0: {v0, fcea07d4a613bca34a077b16833425fd}
d2: {d2, 4c6c2313fbbd94baee5dd9c4390e7141}
q1: {q1, 72ea23a5ce0d04739128de47f3ce08b5}
x1: {x1, 43f993d982415604f33222191768505a}
g3: {g3, 4f7156d7452597da8d23be4e5e07eef4}
com/pluscubed/recyclerfastscroll: {com/pluscubed/recyclerfastscroll, 4177c2f271c8fb688adb2141f42a096e}
r4: {r4, ac79d69eda0b43f3df641cb9d7f011c8}
b0: {b0, f01bea37f1908f6928937faf681aeb2f}
com/mikhaellopez/circularimageview: {com/mikhaellopez/circularimageview, acd2957b36cd4e9bb5d8e81b7bdca8aa}
y5: {y5, 778729affbb61e057663a558105ca398}
