a6: {a6, 7ae6c01f689e9d88c4365fa0cacd6dfb}
p2: {p2, b71a1d92ea37ccf0d097388c0c5114a1}
androidx/core/widget: {androidx/core/widget, f7b09be595bb6aff0c649e5711a9d2db}
j: {j, 1ca6aaf11d9a676b6a6bd003ab3103ef}
c1: {c1, 74050c7e3b5a52661e6d196f98689284}
android/view: {android/view, c4e9eeb25e17c46354752ac4239a9772}
q4: {q4, 7bdd346f872c120189387c84467f9cfe}
androidx/activity: {androidx/activity, 55bb42862976212cc57d8e1dcb07223c}
b1: {b1, bdac9ae61662ffb0cf3157fd6d288292}
androidx/datastore/preferences: {androidx/datastore/preferences, b4fedd705599c7e642262f8a45cf598b}
i4: {i4, acf7ef943fdeb3cbfed8dd0d8f584731}
o0: {o0, 9e4725c5074a1dd071adcdf47fcabe35}
y0: {y0, dba2ce2e0be0c4ec0ac02541fbbe347e}
com/google/android: {com/google/android, 22c6d62f62f3ca188bd201b8d1fb8ba0}
v2: {v2, 7bb411a43d50d092040d2fe23ed4602b}
z1: {z1, d6b56c58ecae0ddc17714ae6361f22eb}
t2: {t2, 7f0eed050f8f372153a3b339b047e1f2}
w0: {w0, eaba6ab415737a27cd2e585061c9f603}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, f848cec18c5d65a7bb23695e7e364b55}
r1: {r1, 289b1ee28b852d8fa254b697b9e29a98}
j5: {j5, c53afcec64cd51a020a1e18ddb03fe4f}
d0: {d0, 888ee4e2a66c1892c504ba0b9f9ec97b}
u4: {u4, aca67b346a634a95c6a001dc7e056582}
k1: {k1, 3d3b1ab615c96ff08973cb88480098fa}
k: {k, 46fcb56a1c5158b182cadb35295eee95}
g1: {g1, abca82aba774097ba4ddb523fa22a720}
c0: {c0, 5d6aae444bb8598e5c4270ba6cd54f05}
a5: {a5, db2ddb6e011129b40844790cf9c16ddb}
p3: {p3, 70b7d574bec9ede2426627d337dbb0a2}
e5: {e5, 4a2326529b41788b958a76c9ff6c96fc}
b2: {b2, da9f5ac6d3274770e7c35a34b569f8ad}
q3: {q3, f295dd8a6fe337a1f36a1b1727a059bb}
l2: {l2, 62827af415a172658bd8f349a2996705}
i3: {i3, ad317d32b662e3aaedcc96d712e255eb}
androidx/core/graphics: {androidx/core/graphics, 6c474218976ab8157a4d3fabb6152824}
o3: {o3, f2c884a5b4f5687b2a756779557ea2e7}
androidx/savedstate: {androidx/savedstate, 21f1947231d4b658a1aa82f408da51bf}
m5: {m5, 40a8f45353cadc0100f083727df2b04c}
t3: {t3, 76b59a67bf6beded0c10e6fb714996a7}
j2: {j2, c1d68603dfccceb1cae7697682cb13db}
v3: {v3, 55cee6d516448bcc11e056ddb46b9696}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 50ec70f7aec77962e0d022eababaf990}
h2: {h2, f74556aa0865935c4f27844981618cd1}
n5: {n5, ddfdbbef41c6dbd71deaf79ac86489f0}
f5: {f5, f1adb94fa389721aedce297eefbf3157}
androidx/appcompat/view: {androidx/appcompat/view, 421f67820fa8a5b6fbf3ed2ab0b9f754}
z: {z, 06819da4c7855b526e5c063fdcc2b173}
s4: {s4, 9297bd103b893726222381ba44594eb9}
c: {c, 466e5d959f978f01b8d73e0a5762c8fb}
k0: {k0, f0fc9ce36b91cff6dace40a1b5b5f8cc}
dagger/hilt/android: {dagger/hilt/android, ff5d81f20c14fbe8cd850927e66cdc99}
g0: {g0, a38e352b6986e990029b7e822c25b0b1}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
x0: {x0, 49a5d86f6bb74a04b57fddd22059fd0a}
b3: {b3, 888f044fc2fa1623894dd3be6690028d}
