androidx/appcompat: {androidx/appcompat, c19c58afaa2805a4f6f40fccc0a36367}
org/acra/config: {[org/acra/collections, org/acra/config, ], 020eb29b524d7ba672d9d48bc72db455}
dagger/lint: {dagger/lint, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/room: {androidx/room, 8d8af9576948db1dd787423a0a41b3f7}
androidx/activity: {androidx/activity, 4a1934b10bf079e9434fd73a31459308}
butterknife: {butterknife, e925b8289ab10fc0377fbcd7263744b0}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 26c1c81ebcfa607e14f5e7372582f16b}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, 422956b24e76a49529849dddfb9ea2bb}
androidx/sqlite/db: {androidx/sqlite/db, fee9f78ff16f40ac57b2abe591b56779}
dagger/assisted: {dagger/assisted, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/lifecycle: {androidx/lifecycle, 301659ed1902e04c196a55677e094c7d}
androidx/fragment: {androidx/fragment, 2d5df543acafefc3f8bb2b9fe02435f1}
com/simplecityapps/recyclerview_fastscroll: {com/simplecityapps/recyclerview_fastscroll, d72ed3d74664a2cb9e98796202736f58}
org/jsoup: {org/jsoup, d41d8cd98f00b204e9800998ecf8427e}
androidx/loader: {androidx/loader, cf5b07bc079d10903e89e42a9ddbe74d}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/vectordrawable: {androidx/vectordrawable, 69d3f31d010a05bb75c2c6c003a5048b}
androidx/recyclerview: {androidx/recyclerview, a54b36fc82efb7686e58c011eeef5ec7}
com/tap/xkcd_reader: {com/tap/xkcd_reader, bb5bd2ad9a9fbdd210bb46865f46746e}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
dagger/hilt: {dagger/hilt, 374fb343528033817dd2f93ad589f343}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
