androidx/appcompat: {androidx/appcompat, 0da88d75c5621e5e72e73cc0ce075501}
kotlin/jvm/functions: {kotlin/jvm/functions, e381f6991873210ea6cc1b6be99b5314}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
org/osmdroid/bonuspack: {[org/osmdroid/bonuspack, org/osmdroid/util, ], 9b1aaccd1aecb23d9fbc4c436f14f7a2}
kotlin/internal: {kotlin/internal, e2d483157e321ec203c2f7e36ca749af}
androidx/activity: {androidx/activity, a8c0bd5325265a302f41b6da2c113152}
kotlin/sequences: {kotlin/sequences, 38c4ecb8b3c30dee1405ea399e0c7092}
androidx/preference: {androidx/preference, 5e72898fa9a8bbd970c0030d762a9833}
kotlin/jvm/internal: {kotlin/jvm/internal, a2b4e521cdc8fe3a18d2272f528e4043}
com/google/android: {com/google/android, f17470b931ee1f3db408aab8d9ebae7c}
com/stfalcon/chatkit: {com/stfalcon/chatkit, 673f9f4c4b9d50ac08c94fc93dd883c4}
androidx/constraintlayout/core: {androidx/constraintlayout/core, de51dff5b56031d0982656ae2ea9b257}
io/sentry: {io/sentry, e3ff9b0edc255c4958de0cc90cb259ab}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 797992a2d075f50cb43935b8a2068f81}
kotlin/random: {kotlin/random, f228b3986aefa4b9bfb444d4b8c428b9}
dagger: {dagger, 919afea4619cc7a54cfcd02fa5357662}
io/socket/backo: {io/socket/backo, 7dc06db4ba3777aa2acd07af590abfc1}
androidx/savedstate: {androidx/savedstate, e5f0ba767de6c39d68e9a64aedb87c84}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, a29c48fc7e935f3771838498d362f376}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, e0a7c0c5c39f58053a94cf4daedd1586}
kotlinx/coroutines: {kotlinx/coroutines, eef3d5a0db08a0fda47ccdcabb476149}
androidx/startup: {androidx/startup, a979c549305e1e8d1a2f20d6d0c8299c}
