androidx/appcompat: {androidx/appcompat, bdc8d13c733d0ef303b0482fc70551c5}
kotlin/collections: {kotlin/collections, 739d42fc9620f6f3f74e1cc9fd97c581}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin: {kotlin, 756a94a5dbaa0eccb7cd0bf1c1dc7bd4}
kotlin/io: {kotlin/io, dcf7d9df81c4e6f661580f1aff02229e}
androidx/drawerlayout: {androidx/drawerlayout, 69ef5d7c1d536a08db36e9116966051e}
kotlin/internal: {kotlin/internal, 614d5ecbd03963f643a606706813f6a9}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, e1d25aaa63d8339c7a8cc98b778664d7}
kotlin/contracts: {kotlin/contracts, 9c8bef231f249be25df528c988e85561}
kotlin/sequences: {kotlin/sequences, d1355dffb6bd608a3a25850719d925d4}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, feb701d2cca97b5246f6e2d78da7668c}
androidx/preference: {androidx/preference, 707da09ea648091616a3ecda5e941e8c}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/lifecycle: {androidx/lifecycle, 6fb24f825ce9e2c04c64cf54971083c8}
androidx/fragment: {androidx/fragment, 811c8cd70c0a7fb93462b6d6a6efbc30}
kotlin/enums: {kotlin/enums, f0595f206cd75113c5d39dc2c311500f}
androidx/loader: {androidx/loader, e0f8f3401a9e2a310225ceb96ee81445}
io/gsonfire: {io/gsonfire, baa0fa65ce1bbffb760e048c9ac072bb}
androidx/vectordrawable: {androidx/vectordrawable, 737cfbe7d1829f3d743a2dfaa4a2b58b}
androidx/recyclerview: {androidx/recyclerview, 7d0f924b68c43dc9c57f468fb2697365}
kotlin/reflect: {kotlin/reflect, 84d8e9b81c0dbef9cbbdb71df83fcccd}
kotlin/coroutines: {kotlin/coroutines, 2f9fb56388f12f266a1e05b4c17b05d0}
kotlin/math: {kotlin/math, ff5484e96fa46ced5ba0fdb79d7355be}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 55da0163ce8c16fd2bc16ae2a1cc418a}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 16e3864cffef0959abf5f17acaee03b5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 05421925c67e132839579c07e310fd01}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 988ef92deaa8e44279017f7a9ae518f9}
androidx/collection: {androidx/collection, 8200604ba2ae9f070eae6299a74e1e6a}
