retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
io/fabric/sdk: {io/fabric/sdk, 4a289599db012de3570e080e8f3db456}
android/support/annotation: {android/support/annotation, 9fe16518d18f3e909e89cce18ab3333f}
com/google/android: {com/google/android, 61e4a33c3ef6e62d9596c1cf6da07bd8}
okhttp3: {okhttp3, d96d83b059c9d5a6087ad2101c6bde0d}
com/j256/ormlite: {com/j256/ormlite, af48cfcdc36771e55ba24f633e646b8e}
org/ccil/cowan: {org/ccil/cowan, ec04b691d3d4666f19dc590964ca1b04}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], e72ba4808f9ba109280da0c902f6966b}
com/crashlytics/android: {com/crashlytics/android, aee7ac582c6e0043814e385ad02237d7}
android/support/v7: {android/support/v7, 68785b1094cafa165c77ff4a69c0d7e2}
uk/co/senab: {uk/co/senab, 3a49d8ad0733033e9adb3c41327cf630}
okio: {okio, f9e66d9e0c87cc782a7b1309ef4883b9}
org/apache/commons: {org/apache/commons, e8fd2476afae4cc965742cdfab36c5ff}
android/support/graphics: {android/support/graphics, 99dbe64bbfca9eb00944faab9ce45740}
retrofit2/converter/gson: {retrofit2/converter/gson, d68dbae27dbec0a9aec8d341461d51e0}
com/zulip/android: {com/zulip/android, e54661fcd38cd2e1aa7d7d047c84bb15}
com/bumptech/glide: {com/bumptech/glide, 0a734315f1590e0a8a7e03ff54ef7328}
android/support/customtabs: {android/support/customtabs, 9388b8ea7a76a2d2c2f73b9e8e242ea3}
android/support/design: {android/support/design, d34f3f0142a57a6a983a3fb3ed73e977}
okhttp3/internal: {okhttp3/internal, 0442166a704578fbae0832067cee8956}
com/google/gson: {com/google/gson, 8e15f1d4d45af944dea2d3fed944381f}
com/theartofdev/edmodo: {com/theartofdev/edmodo, b2a6a8b6c2b8f937857af3b6fe5eb657}
okhttp3/logging: {okhttp3/logging, f6ca22daa7850013a0b7b9b2dcf4f0ac}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], e8dd4c78cab6babf3641739954310272}
retrofit2: {retrofit2, cff1266b499206b3959b84226bc8f499}
