androidx/appcompat: {androidx/appcompat, c68b50267905748ae1a49857c7bc8412}
org/chromium/base: {org/chromium/base, 6331525ba9a2c5fafd5f45ff21b1dd32}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
kotlin/internal: {kotlin/internal, 7bd6ef2323db2d9cd10412b82b69ffa1}
org/greatfire/envoy: {org/greatfire/envoy, ca797b22c9cbee8b7c413a063ea8db82}
androidx/activity: {androidx/activity, 2951990bf7efc9846513515438341b7c}
kotlin/sequences: {kotlin/sequences, 48076fff097d9a9df50f70a1d831a0d1}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, fbfd56b0314ed35ff2a98f154add2e65}
androidx/preference: {androidx/preference, 9e3bb273cf1f19218e24f3b72f99ac2f}
kotlinx/serialization: {kotlinx/serialization, 7948cc3062926b272d81a5d4b159d7a7}
kotlin/math: {kotlin/math, b57914108c89c895c47d87ef4c237be5}
android/os: {android/os, 876a57a1c8111515871e254934c76ace}
leakcanary/internal: {leakcanary/internal, 096167db7f821ef348112eff3608b24c}
androidx/constraintlayout/core: {androidx/constraintlayout/core, e39e61ed46e6ec1ced8b6b9f9505e84c}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f1f701c1d775863f3401cb3839e90933}
kotlin/random: {kotlin/random, d92800a30c0cb64c4c73c9089152c86c}
androidx/cardview: {androidx/cardview, d67f8b92c2af4ed0a0b4c06ff39d3b7d}
android/telephony: {android/telephony, c4e9eeb25e17c46354752ac4239a9772}
io/reactivex/rxjava3: {io/reactivex/rxjava3, 834359d8e3bd2b7b5d88f50ba03881b8}
com/jakewharton/retrofit2: {com/jakewharton/retrofit2, a2442c2dd525cfe7c515be7651b050c2}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, cbfa27a98a24403019ee5bcaae6c07c7}
android/icu/text: {android/icu/text, d14ea80615832fa9aefef65d10a488c5}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
android/media: {android/media, 3eaa7c41e33453c81d3f0feebc1c7ee4}
androidx/palette/graphics: {androidx/palette/graphics, 6685e931c9b06232f78a75a3f40b12ca}
androidx/savedstate: {androidx/savedstate, 24274274ba1eb9578f88e5cc5f6bb734}
de/mrapp/android: {[de/mrapp/android, de/mrapp/util, ], 4bd7b1e57fd1bc9f2655e61fee002fc0}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, de6043668ab7846d73fc5ff6ed5a2221}
go/IEnvoyProxy/gojni: {go/IEnvoyProxy/gojni, 542dd9699021b2a489ba6c7d8f6e4a23}
okhttp3/internal: {okhttp3/internal, c82bf91ef6ea8b168563776ea8cf27a5}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
org/greatfire/wikiunblocked: {org/greatfire/wikiunblocked, bdb47e7ceff474f60ebcb74b69ae373f}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], ff8f2a26924aba0f8d50c60b6425e13e}
androidx/loader/app: {androidx/loader/app, 0013773c26a389621c4e4fd89b06bfc0}
androidx/room: {androidx/room, 65f07584590a8cb22a72cfbbfa61e344}
androidx/sqlite/db: {androidx/sqlite/db, ad4e9110efe5a5332e22bf1cc942b8e5}
androidx/lifecycle: {androidx/lifecycle, a8f1957c5b39af857d08d4b04d762874}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 818cf5157b747375228f6687c23112b3}
kotlin/reflect: {kotlin/reflect, f11b3584a574c1dee2563a869eac1bef}
kotlin/text: {kotlin/text, d194ccf28cdaabea6078b0f8a7c3a5a6}
android/graphics: {android/graphics, 2db4f1d6cc0a95d656d832df7045be6e}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
