androidx/appcompat: {androidx/appcompat, 8ed3e3de2c79e4451ab066bb9b157b58}
kotlin/collections: {kotlin/collections, 38551acf8699644a6cfee3ae0b14c87d}
kotlin: {kotlin, 0474f0c058caca4e253cb8ec73c343d1}
kotlin/io: {kotlin/io, a8a33973ce8725de2124e584473f45db}
me/saket/bettermovementmethod: {me/saket/bettermovementmethod, c78151ae166e36e9d8e09ebc402afb10}
kotlin/internal: {kotlin/internal, 863c400e901771e0fa2b2f7ec80a38b8}
androidx/activity: {androidx/activity, 47362d9db1351131ddc97a7163948323}
kotlin/sequences: {kotlin/sequences, ddf11adce7cdd0add549eab818c5442f}
androidx/core: {androidx/core, a8a84b326d1afc9b636b1f92aa67fc2a}
androidx/preference: {androidx/preference, 90b0e781ae8cbfce543e966fc2000441}
androidx/customview/widget: {androidx/customview/widget, bdadc656009b385b3b00ffa21944661f}
org/ligi/snackengage: {org/ligi/snackengage, 15928b81ce65b475c8359eadc2ccf6c0}
androidx/lifecycle: {androidx/lifecycle, 631cde9e742115494a303560713e4e5f}
androidx/fragment: {androidx/fragment, bab07245679f32b58c144760e0036edb}
androidx/loader/app: {androidx/loader/app, 157a7ea842303fbbbf37a3e94045edaf}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 0b9949568eda4141c1e85bad3e2b98b3}
kotlin/coroutines: {kotlin/coroutines, 401ef41ddfcd84e2a64721c057340694}
com/google/android: {com/google/android, 08a471741cfe07bde71ef51e9a149f7b}
kotlin/text: {kotlin/text, d64d801a696e45cfe1792a32d50b8cef}
nerd/tuxmobil/fahrplan: {nerd/tuxmobil/fahrplan, 75757b6d019f199bb6e5046c1b331513}
androidx/versionedparcelable: {androidx/versionedparcelable, 8ecbbb762778868035b8a50aa7b08001}
okhttp3: {okhttp3, b7f7e21797550535381687a0558fa6bc}
androidx/viewpager/widget: {androidx/viewpager/widget, 4768a4b829cc9ac33ae06843cba65733}
androidx/coordinatorlayout: {androidx/coordinatorlayout, b0f8de8f60a2c25764321b01ee38854d}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 8d4dd3056e0eeb8b502ba54493ec3b0e}
androidx/collection: {androidx/collection, bfa303a1e1b6002144a6599b5b7602d4}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 10408b87cfacd60ffad3fa77b550987f}
androidx/transition: {androidx/transition, 27c5708a64751d37e58bf22bfab5c48e}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, ee54aef26025686b20793115ba6db979}
androidx/cardview: {androidx/cardview, 21edef9f55c8bb7c347b50fb17b40db8}
org/ligi/tracedroid: {org/ligi/tracedroid, 60f7883ae22faffe260821306b8d1fcb}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 06c39f3b5aa2dec3f51c739846b655f1}
de/cketti/mailto: {de/cketti/mailto, e82cde343a2505d35221f3ff1cffade6}
kotlinx/coroutines: {kotlinx/coroutines, e2cff7e3da0ea180dfca0c104e274c82}
info/metadude/kotlin: {info/metadude/kotlin, 01f7f1a8ea06613f791c651777387f6b}
com/squareup/moshi: {com/squareup/moshi, 5bd1ba15144133963a0f882dc5652266}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, af1aa3278fb778bb2ad2e23ea0f73b43}
androidx/arch/core: {androidx/arch/core, dafd7ebdd36c08bf84fa35d1cb6dd46d}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, ad50552557420ab8fb5bcbac0aafd87d}
androidx/viewpager2: {androidx/viewpager2, 678d1dc4978f3b1d677b7dd508943ad6}
androidx/legacy/content: {androidx/legacy/content, afc26ca326b4075d07bfd31afbca758d}
androidx/savedstate: {androidx/savedstate, b514f181a8627d046c247a1209cb2e98}
okhttp3/internal: {okhttp3/internal, 849dcff1c0c69afe3ff99c7953815af3}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 9c9b22c61f94b4daa3990229c23a88ec}
org/commonmark: {org/commonmark, d6c998069b4720e4bd86d26d8983a01b}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 98e23338a54dd74b1f49921d521b763d}
kotlin/ranges: {kotlin/ranges, 1e078cfc99f55df3b8d4b4b71af681e8}
androidx/tracing: {androidx/tracing, 51ae78ed779db0d7975c162bad136cbf}
org/threeten/bp: {org/threeten/bp, 9562a9753f8593f0a05c7299d98878cf}
okio/internal: {okio/internal, d1a2bc8765588aad23751c2c0366e76b}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
okio: {okio, ccd7c7a3e92789c88e8788b855f81a65}
androidx/recyclerview: {androidx/recyclerview, af01e0f97c1654c4ef1fbe15ed4f6a62}
androidx/customview/view: {androidx/customview/view, b5cdfa065e3a3b75a289919ef247c136}
info/metadude/android: {info/metadude/android, cd7978f45213146f532cc51d160934cd}
io/noties/markwon: {io/noties/markwon, 9a37d47aff5d456893d68013a87a64cf}
kotlin/jvm: {kotlin/jvm, b864dd724a014b0adce1f1c63f346363}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 1b35962195d3fdabee4479c272a3a14b}
