a6: {a6, 16e60a4dcf18bf79bddd016ab6e08198}
p2: {p2, 8bd2209b1d73059181f4a8beed982d36}
t0: {t0, d8cc960d4556aa11e5aee4c3ff38afbf}
j: {j, 47f12074dac7f9d40a08b4583f003fd3}
c1: {c1, f38b0a995eca8d961b276b350d18011f}
q4: {q4, 7386f8f8c25a13fe970a07fa7cf3c1b2}
androidx/activity: {androidx/activity, 23615246b96813970e7905f44e326b79}
b1: {b1, 56c69af81a32f0ff5225101f20c0e023}
l1: {l1, 7f721ab1a55393d186bfe9857b57bd6f}
androidx/preference: {androidx/preference, 04afa3e3525c425b8d03724e6ea2583a}
androidx/core/widget: {androidx/core/widget, ed557f1fa03044efba71891447ede2d2}
g6: {g6, 06aaf01921cdb8d89142718313df8231}
o0: {o0, 3a87c887b686a61084bcc3c1bfea35f8}
scala/collection/mutable: {scala/collection/mutable, 0900b6dd7c303f282028f3cd6aaf962e}
b5: {b5, d9178f19878bac34fd881579a32b7946}
com/google/android: {com/google/android, e96bf95c041b8f664f39ee802fae95a3}
z1: {z1, f3a64946ec052529f83a51bd6433fcae}
m6: {m6, fd94974c12e6cdb8444c6f7da17a021b}
t2: {t2, 67c52d1bd6c0acccf084f700a7db019e}
w0: {w0, fe0396a1a773626bdad227b12dd1ae7e}
r1: {r1, acf7ef943fdeb3cbfed8dd0d8f584731}
e6: {e6, f20e57c999e6636e2c16b08077e319fa}
j5: {j5, c131805fc6164c6965c1a650d40d04fb}
ltd/evilcorp/atox: {ltd/evilcorp/atox, ef916753ca0cdb8f2ee272dcb0e9b0af}
d0: {d0, a263ab2764d2f4b6c3572d5bd2832d7c}
f4: {f4, 9b202e9d4838ab65bb17336c6c7fc124}
b: {b, 1cc57973f3caa74594c675517cc1b13d}
k1: {k1, 8a65b59d2345ed72cb1665c45961aa0c}
k: {k, e1004daa8dd0a3ca538a08caa473777c}
g1: {g1, 99e190840f556e9343955eb8748047e5}
c0: {c0, bd65f657a5f7e18c5674f5539fd1ab1b}
a5: {a5, 8aaf025f3abadef95998aa6532ac8b10}
p3: {p3, 13e6aaf2c889337c397e2caea0ae6873}
e5: {e5, 26a16349f63922606521963309ba72e8}
b2: {b2, 2b188559267c4b8c602a6bf82698a972}
q3: {q3, e5c4a23df2d8dcc57a09d8a33a3b41bb}
d6: {d6, 8dfabac6c21c012309e0e161c33dc786}
androidx/cardview/widget: {androidx/cardview/widget, c841ecb50e6510daab517615aa70efb7}
l2: {l2, 5f7c606cae82421125866c96054f11ed}
i3: {i3, 3605181d443ccdc0fc2dcc1d943cb0ff}
androidx/core/graphics: {androidx/core/graphics, 32c0311364063cbd5d598ef40e133b2d}
o3: {o3, 54fe5dc42ee16bc9fe3be0ef508f1517}
