org/jdom: {org/jdom, 2d9b3f917fc62eb031f2716d0bd0df5c}
android/support/v13: {android/support/v13, 493f4acc87c7344be8f9b8cc49403429}
com/google/auto: {com/google/auto, 3cbd8094741bb1cf489c7ac7529f3e10}
io/realm: {io/realm, 2640035725b875dd986342e109ac5613}
de/zeigermann/xml: {de/zeigermann/xml, 65263643db0cb7766de0326e65d084e1}
de/psdev/licensesdialog: {de/psdev/licensesdialog, b0b7353e9d741947ee36f639bc36c3a4}
net/gotev/uploadservice: {net/gotev/uploadservice, 9b94aa6af770420c6a2fc35aaae1e32a}
autovalue/shaded/com: {autovalue/shaded/com, 79b4f24ba869bf5a42a5ebb5bc44969a}
android/support/fragment: {android/support/fragment, 0db390eeeb150a4b7e83ec8056f6ee13}
android/support/annotation: {android/support/annotation, a7700a1f1325ab816fd3642a22787c6f}
com/securepreferences: {com/securepreferences, 8673f944e238010e382c49a08bf4e66c}
android/support/coreui: {android/support/coreui, 0db390eeeb150a4b7e83ec8056f6ee13}
me/zhanghai/android: {me/zhanghai/android, 991804ce3972e8a849f6dbb4ded16f2e}
org/apache/webdav: {[org/apache/webdav, org/apache/commons, ], bfc7b3b80a0490625c0e25337c3f8f58}
okhttp3: {okhttp3, 45084b0999b2318fca07b48940a95a6c}
org/htmlparser: {org/htmlparser, 91f1069fd858208c1b47c0ac18999110}
it/gmariotti/cardslib: {it/gmariotti/cardslib, fcc4841810f3916bcdbe9b610e9e858b}
com/facebook/stetho: {com/facebook/stetho, 4488297beeecfc89314112d36307ec48}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 72c266464ca2c0bc1ef050418b43be4d}
ch/acra/acra: {ch/acra/acra, 0db390eeeb150a4b7e83ec8056f6ee13}
org/apache/velocity: {org/apache/velocity, 44187c772673978ab09060698a6e90f3}
android/support/transition: {android/support/transition, fd1b847fb58bb5e2d34b9fb1394de699}
okio: {okio, b21e9b39a56ff296593c789129f44bb0}
javax/annotation: {javax/annotation, d0235602ffb83204f31178d82cc1c0d8}
com/nononsenseapps/filepicker: {com/nononsenseapps/filepicker, bdfeb9715afc57031c20e0b39de5ec81}
org/mozilla/universalchardet: {org/mozilla/universalchardet, 9d0c70f10e11cfbd975995d636cfdd96}
android/support/v7: {android/support/v7, f00c5ebcaa7a19a4151f5936d7d65dff}
android/support/compat: {android/support/compat, 0db390eeeb150a4b7e83ec8056f6ee13}
org/phpnet/drivinCloudAndroid: {org/phpnet/drivinCloudAndroid, 63ac7c587632a2552ae462cb1bad6003}
android/support/coreutils: {android/support/coreutils, 0db390eeeb150a4b7e83ec8056f6ee13}
autovalue/shaded/org: {autovalue/shaded/org, 1089d4917d63f7254da03a5a9e8f5e61}
com/bumptech/glide: {com/bumptech/glide, 92a2f00f9cafc3e4121f25b07e8746ae}
android/support/graphics: {android/support/graphics, 52555b48a2b492cf09ca4d64f1f8ff0f}
com/tozny/crypto: {com/tozny/crypto, d15dd66a1c018723ec33c6135ffe212f}
com/gu/option: {com/gu/option, 5e65f956ae3bf41244861220e138d95b}
com/uphyca/stetho_realm: {com/uphyca/stetho_realm, fe4b4024920a7a13c30ba2c657d1bb38}
org/acra: {org/acra, a053026a6cd882df084d90114f0db8db}
android/support/design: {android/support/design, c66b3a115e1a464d98aa6407fa444bf6}
okhttp3/internal: {okhttp3/internal, c337b049fbe05b9544627059a2f2ee8f}
android/support/multidex: {android/support/multidex, f8a48724482a4da3b87950ab06afde57}
android/support/mediacompat: {android/support/mediacompat, 0db390eeeb150a4b7e83ec8056f6ee13}
com/google/gson: {com/google/gson, 2ea147da0029bcfa7b9d857cf7a00b3b}
okhttp3/logging: {okhttp3/logging, 9e42169126e04ac7b21be3f77fdd47a8}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, bca88a4c42d47f122a476c957df7b894}
org/phpnet/openDrivinCloudAndroid: {org/phpnet/openDrivinCloudAndroid, 0b52d7b507f82253ba0fd54939b2aa4e}
net/rdrei/android: {net/rdrei/android, a466bd78ba83805b48196a3de222dd85}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 477e5a80f71b8dd53df57a46d69d549e}
