kotlin/collections: {kotlin/collections, 58b9e7ae8daa6eaf0812dd40cc5b8018}
org/fcitx/fcitx5: {org/fcitx/fcitx5, 41e9341ca849bc4e2b2dcc07e51f550d}
kotlin/jvm/functions: {kotlin/jvm/functions, 9c6c0b66d6c47154da14ad4cd741c190}
kotlin/text: {kotlin/text, 1819c4d859583cceb539ead8af8a7846}
kotlin/io: {kotlin/io, d7b56dc91403dead449556b05c979762}
kotlin/jvm/internal: {kotlin/jvm/internal, 447d961f608cd4d1ff7d6d7af3ab1bd8}
kotlin/internal: {kotlin/internal, 27959764e53d44a2e1ff17bbb4bac6e4}
kotlin/ranges: {kotlin/ranges, 084fa0c8e432f891d558b79c8a938b2f}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
kotlin: {kotlin, b0896688e3cd2bcf089ff8ac7446c103}
com/mikepenz/aboutlibraries: {com/mikepenz/aboutlibraries, 6e7b0f7accd8570e6ab200268afa9ef6}
