p2: {p2, 380d10aad84797a26f76d91cf40b7aea}
androidx/core/widget: {androidx/core/widget, c2d1e155cd23ea748d005a0e280d459c}
j: {j, 3cc9d824a35214cec0998c2adeffd51f}
c1: {c1, fbee80dca81b19ac199d93d80eee6500}
q4: {q4, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/activity: {androidx/activity, 4924805efa272f63902f31b13f2cd1ea}
b1: {b1, 7b574523ea00c2715fee10df71f2551d}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 526d6f9af1ba221c3f2e231f34b79138}
l1: {l1, 101aa437d3e4135b2cf895b2bc9fb46c}
androidx/preference: {androidx/preference, aec99c8b248557123cea0b502039d6d4}
i4: {i4, 21f9e1592dc3712c7fdd27aad283c945}
o0: {o0, beefc47739ba1e6b6f7ce7772ee0babb}
b5: {b5, 364c1b919d117093b5b5b3d37d133d87}
com/google/android: {com/google/android, efef0ee98d6bffd73d0604ad549e290b}
v2: {v2, 21ac1f36d0bf38daa700c5f6d43b4ff6}
z1: {z1, ac79d69eda0b43f3df641cb9d7f011c8}
t2: {t2, 81910816611137c599c16de838484367}
w0: {w0, 2481ff24997da5d16769d7b6aa2a048e}
r1: {r1, 685eb3ff7cf0ff7faa5900f1b634a4d1}
j5: {j5, 09cc77ad3f24e6822f68111de560c61d}
d0: {d0, 1e16423a1c8249a1846aa5d87a2f75f6}
f4: {f4, 6969290ca6057aeb08a94f4e912eb3a1}
b: {b, c2fc321758171bce3f40dccf2c1abe22}
k1: {k1, c1dc2c9287b1e8b2e222a92dd28f63b4}
k: {k, 8eae27b3703e3e9ad8712aa1efe0e089}
g1: {g1, c84af4f649cbc6397253ef8da29d079d}
c0: {c0, 68acab0b6abe6556a2bef05f848f41af}
a5: {a5, cd3ff6d16a95912a15fa262c3fbb2d05}
p3: {p3, cac2f997572858efcb9747a856ec82f6}
e5: {e5, 6a4f5864100b9bec04701dea4987f268}
b2: {b2, 2b7535feb619a4f837aadeb89a520a00}
q3: {q3, f69ba05a8628ccf9e0877f9870c3d348}
ezvcard/property: {ezvcard/property, 2cc36991661ac63b7f85db23c5ec23e4}
androidx/cardview/widget: {androidx/cardview/widget, fcc0029c6943eb6e7036339b38a1027d}
l2: {l2, acf7ef943fdeb3cbfed8dd0d8f584731}
i3: {i3, 21932011f3cf8c0226f619bc82f04d18}
androidx/core/graphics: {androidx/core/graphics, 5e65ac43eb1e11185a31cfc4ae2360be}
o3: {o3, cbef3c50370c0a6bf87c8eeea7020dc1}
androidx/savedstate: {androidx/savedstate, 7e8c6ccd19b7ab28c6bd50594c97c8da}
t3: {t3, 542dd9699021b2a489ba6c7d8f6e4a23}
j2: {j2, 1afd1ba0d88b863aceba01727a4c4bac}
v3: {v3, e381f6991873210ea6cc1b6be99b5314}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 4c0526c1c936d4710b55d717191d1d60}
h2: {h2, ef4c4ce66baa096cc2cb723e7ad3bcc2}
n5: {n5, 97eb3c245b1f466ab30fd323f9295e9e}
u3: {u3, a8a33973ce8725de2124e584473f45db}
r: {r, 501e4e9376daff39bcd9f0610f8ecdb2}
com/thomashaertel/widget: {com/thomashaertel/widget, 0b8e05d7d74f1a418f0b8c5858416152}
f5: {f5, fdc455517b2397f5bd49aa4cea3eab35}
androidx/appcompat/view: {androidx/appcompat/view, 20fae3a10465014d135ec38c13e6a6bc}
w3: {w3, 3be49624fc640ec97ef8426ebb19b782}
z: {z, c751bd8d24ff9ac961bfa40e17b75bba}
s4: {s4, 8d5fc411177339c6dbb00d6d1f724d9b}
c: {c, 714a36089e6d29ef6adb5bfe19f3d5f0}
k0: {k0, e7cf9e022bf8fb0a0156bc94217ae266}
androidx/loader/app: {androidx/loader/app, c3f18024672235a978c45142e330836f}
g0: {g0, 5f45c487a7b4fec7f408bd9efc7eafd4}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
x0: {x0, be730ee75d7b92c9f38584ea3adfeaa9}
b3: {b3, 10785d0cf5be057c6ecc4cef1477341e}
w2: {w2, 704f4fc05e6bc248dbeb79d5f0ebd79a}
q2: {q2, f051d7a789949fa787f0985fab623093}
e4: {e4, 0cf338c5f32126b6d2324e60178dd3f3}
o2: {o2, 8aa7bd7b9eddb0c8dddc509e66f9bc28}
m3: {m3, d033008771960d222319f60f70e79fb7}
i2: {i2, b846b88cda2478d688f91e34b1eb73d1}
androidx/lifecycle: {androidx/lifecycle, 672d21eda4cbe41569821f726840b8df}
c3: {c3, 281ed8b5435d0a95b4e0d97f6a38ba09}
a4: {a4, ddfa69bd99961d2e3c09bcdf2f26d903}
h4: {h4, a1330a8957155c1f3542b7e5e062690e}
t: {t, 68a927db0712b472f2504bf192415a1f}
j3: {j3, db157ed887936ed09a5f95e62523d2ee}
m4: {m4, c3b2482fb416a14b3333dd0a82d8019a}
t4: {t4, e7afcf4f410e213aaec04c23f1a8e9ea}
u2: {u2, 47d9a6e9f6a7ddad19590810a5e67865}
s: {s, 198e0ed43e98dc0a29ebd59a32eb5ad6}
d: {d, fa26f2088a211ce533c7e8a93277329e}
androidx/startup: {androidx/startup, adc15b372bda085fedf6dc9bcbba7e93}
h3: {h3, 021e371e9c14a10e69aeeb72a9df26be}
n2: {n2, 3911a0ca2c5e69d820fa03564afed32f}
k3: {k3, 8407d5a8ea2c1e1245e0d9e0cb0d5b21}
p4: {p4, 8f9fccbab5c05e5c382db7dae36e50ec}
l: {l, b19583a7a1724fa4a25573d9fd3dfd91}
f2: {f2, 701fbee895b2c996244de4c19006d1d7}
v0: {v0, 673e300e84cb0d908f676741d58b35e0}
pro/midev/expandedmenulibrary: {pro/midev/expandedmenulibrary, 43f7f058b030c9c684684a9fe428660f}
androidx/multidex: {androidx/multidex, ce4cdea9f31908431986fecf9e11f355}
d2: {d2, 07f633682ba799754a5888324c3e10d1}
q1: {q1, 1fe0b7e806fbd648d19bd2d3b5b11595}
x1: {x1, 0eda8d4cfb612c304c7f12691b89b40a}
g3: {g3, 9b873ed0482caf6586d2c7679ff5ef59}
androidx/viewpager/widget: {androidx/viewpager/widget, 6a7a1d042092a38b03c46445894f7525}
freemarker/core: {freemarker/core, c0c765ccc1a1adbd10bc068c7a413226}
r4: {r4, d6a4ff17731fe06e6269d514a682d2fc}
b0: {b0, d726e09390121ae50dfa8f68e2c15661}
m2: {m2, a8a9bb49f75c9b1a77335784d48131ac}
d1: {d1, 47f6b11d5d5f66e885dd3d59ea9b86ad}
o5: {o5, c85cf7ab99693919655de1e244a2728f}
h5: {h5, 27687378841e50438abb9ce543aa1c63}
c2: {c2, e0f59fd2ebb74d12b592792add5c5dfd}
a3: {a3, 10d1a420e2797e6bea569c7ef55698e6}
z4: {z4, 4574bec9bae1a5f448ea07a7cc6a7c8b}
androidx/fragment/app: {androidx/fragment/app, 7f4a0dc972be7306f36bce57cee1576f}
j0: {j0, 32a0b3ac8b016bc72a70c88c055717c0}
l3: {l3, 09dc85ae0abfaccb36c0ed2dd629a8f4}
n3: {n3, bb06ce4d5d4b489163b37bcc7271019a}
u1: {u1, 7749bb7bcec62435dbf173c790f63f0f}
e: {e, 4595886e96088ce32a250904189211e1}
p5: {p5, 3b9e6c4066be9b72a0a6953c63022177}
d3: {d3, fdf933a10e2d81c40f8e2fdfe5eba536}
l0: {l0, 047e1f8cae3b7a802255d5f2703d7e21}
f3: {f3, 9b0f53d8ba553991eb71bdb4d1c5edf4}
okhttp3/internal/platform: {okhttp3/internal/platform, 9299049b1d2a328f914d2a9d1875a9a6}
k2: {k2, 6aa5890345d60a4f36bfc858c3c8d441}
m: {m, 1ebecb4e1d677c90ae016428a3b643a5}
e3: {e3, acf7ef943fdeb3cbfed8dd0d8f584731}
v1: {v1, d2fc2105191a6d3aa585c8e02cee6562}
y4: {y4, db47537420d8fc830177027d530da333}
f0: {f0, 8737d114251c1b359f95d889116b688f}
c5: {c5, 3247c7440eaf439a5acce0e169384f42}
w4: {w4, df128e2b0fdb82a866b1c95e368e5214}
r5: {r5, 6c99154a49996a428d5ddf6e0cd37ed6}
z2: {z2, b06239eb8cb64ab8ad7369fe7478b996}
o4: {o4, 98546bead206f6e38431c0cb28f58047}
m1: {m1, 5820491bd1ba4afccd47758c8021827b}
b4: {b4, 50bb7374fbf875400dfa8d493de34069}
x2: {x2, 488ff783947df9dfa0c2758ede83e549}
v: {v, d2a14a606d1e1b2432267385d1a0c1fb}
a2: {a2, 7f7625c365f91b96ed7dbdbefa5f6c92}
androidx/core/app: {androidx/core/app, 6a52852993aa706ae1bd1e79ca9d4f59}
com/orm: {com/orm, 6df585b564fa2bb3011d52ed060be6e0}
n0: {n0, c523ea6300c09fcea8fa4d5a64d3a7f4}
u0: {u0, b4e89ddfa68fb4653dfde20eecc92cc0}
k5: {k5, cc843abec325ba231ec3cf67a00af4b4}
opencontacts/open/com: {opencontacts/open/com, d9a8c92da3d82780732e0d048f9e5ef9}
i1: {i1, d2083e70f23ec3839405270c7c4c5053}
f: {f, 55682404e688adc36a66916af3f05bf7}
l4: {l4, f2b5732ae541ef91e2addda34663983a}
n: {n, 86c7f5a6c31c518cfbd3441cbdc890d7}
freemarker/ext/dom: {freemarker/ext/dom, 683a31de78bc50146eab6546c271ed09}
d4: {d4, 397c98df51c7398980aa42d54866ebcd}
e2: {e2, e7bd0ea4d9cfefebf97e4d756c25e8cf}
j1: {j1, 70f96d273cc71655c1be552979a24bd8}
u: {u, 3cab6b7416b3ea1873eb7619cc216790}
y3: {y3, d3589b87e8a228f629672c91c8a91803}
c4: {c4, 13c85e4c3f7d2c72de35d362fba41d69}
s1: {s1, 6dfff49d2266c4a3391e7f4b52664d36}
o: {o, eeba33a6d7e6121f8c78c03bff13ecb5}
f1: {f1, 7b5c57b4a234f6d164d99b37fb0174d6}
z3: {z3, 1128797f2177689a384b21d23005143c}
a1: {a1, d5a2cf9aab347115f9f5aabe3865c0cc}
w: {w, 64120a124b0b26b0b4218ed68bc00a69}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 6bccfab60bf17cc88174bc1bbc122e08}
freemarker/ext/jython: {freemarker/ext/jython, 76c3af7d771277b37b58bf2aedbff993}
g5: {g5, 082e9c3676ce913299024f38dee4d05f}
k4: {k4, 60257034e9efc6c89f11fe9feaf629b7}
y: {y, 842ef22af9e0974662401fab9d35c309}
g: {g, fbc5a2ab95ef8b37fa62ebd61f60d938}
n1: {n1, 3d3dbf2c8f323dab4517e71d893a6b15}
ezvcard: {ezvcard, fcdecce88a1ba24e9070f471933f8f6d}
androidx/appcompat/widget: {androidx/appcompat/widget, 57c1335e5eb9586bc57fa0c61786c81a}
l5: {l5, 0e42bd5bf5ea4077b68da17ea42bed7d}
i0: {i0, 6f840be4b6de23263385fcd60c2db784}
d5: {d5, b0139ed385d619675a96f20c89279547}
u4: {u4, d7152bb11dada3a478b6b4909f4a868b}
e1: {e1, 68282d4a896fec335afd0eb3293f6cbd}
androidx/appcompat/app: {androidx/appcompat/app, 3cb2f039700d80fb3344cd269e2cf28b}
y2: {y2, e73b79f2ee59c760d6788c742d597699}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, c337ae9397b380c61caf2e6d7b7cc47f}
h: {h, fe7a345fce478951b222bea90a515243}
s3: {s3, dc7ce6e591d57a164e80f073b5a124ac}
x4: {x4, a43b2c3db3027d3b923a553bca62ff48}
androidx/core/view: {androidx/core/view, 75c9a15bb6faace1c0a77248e4b75ae8}
p0: {p0, 219dd457abe304b9d783d04cf2888b46}
p: {p, 52780f5b50826f5e0b2a7dc925d2014c}
freemarker/ext/beans: {freemarker/ext/beans, 1bb6a43a6f569ee3ab18452717b03f1e}
androidx/emoji2/text: {androidx/emoji2/text, 03c38dda61893a54b6edb30d69ff12ce}
z0: {z0, e00377f9ff4caf6376d0e3ed0322381a}
a0: {a0, f37f969282c2f811faec5b5994275d37}
h0: {h0, d2ff9b5c7c7a944055613208671f7039}
g4: {g4, 5c8f24e2bdbafbc0e947c828c46e20fa}
androidx/core/content: {androidx/core/content, 1d96fd33759000b991c289ba1cfa75a9}
