androidx/appcompat: {androidx/appcompat, 41e71e4d8310d5417ad2a480bd8d094f}
coil: {coil, 00850db1387f18d75834fb6a096ccb24}
coil/fetch: {coil/fetch, d0c5d5603eb0c17af20495d1fa1de5df}
kotlin/internal: {kotlin/internal, df12acbd79faa592eaad5c77604207ed}
androidx/media3/common: {androidx/media3/common, 2e66f678e22b111d755a79cefa6c013a}
androidx/activity: {androidx/activity, 5ca38fb59be1de5874a994cee072e733}
kotlin/sequences: {kotlin/sequences, 31e164d4ff091b55fa126e3f7daceceb}
androidx/preference: {androidx/preference, 0e5923717e8a29706c83c72c1bceb1db}
androidx/media3/datasource: {androidx/media3/datasource, a3ea54a4ead9274ce72f565e693bfc49}
com/leinardi/android: {com/leinardi/android, 9c4c256516997a7536a402f55ce609df}
timber/log: {timber/log, 10653aff44ed80f82154741cabecad47}
kotlin/jvm/internal: {kotlin/jvm/internal, 890bed77f71fa2a0afb36d6f9ac3097d}
com/google/android: {com/google/android, b2288bbc7cae7944de5b416b9e8f1f8f}
androidx/constraintlayout/core: {androidx/constraintlayout/core, d95336996c15d203205ebcf499e926d4}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 60d56d0cf735f02643da6cbb50e104bb}
kotlin/random: {kotlin/random, 38b0d9faf44c2737c4051eb9d37ba5d0}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/cardview: {androidx/cardview, 089ee18a9bee07655e363f183ab95296}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 4b0124c2d21ee70a067407e7adc2d612}
coil/map: {coil/map, c6a476740a3a4b61c1e68dc998d5b725}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
com/google/common: {com/google/common, 7c0467967a07731e8dc2a9426d20d290}
android/media: {android/media, e079f4fb8febf5b63effbb6583d13a90}
org/oxycblt/auxio: {org/oxycblt/auxio, dcb91d882e47010d9699e66ac2a28e6d}
androidx/savedstate: {androidx/savedstate, 50206579c8251208447b41c6b029e0ee}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, ecee10ae189fd38175e9c41c2fc1dd8b}
dagger/hilt/android: {dagger/hilt/android, 0a3582a73da19945c2e3749a0df57714}
okhttp3/internal: {okhttp3/internal, ff37be33ebac0676c72aeb7455061211}
androidx/startup: {androidx/startup, 5a4a2d2cf21d46b59fd7efa28c71895a}
coil/intercept: {coil/intercept, db2be8656c9571f746574a6167fec3e2}
androidx/loader/app: {androidx/loader/app, 1fbdfabf4ee1e5deb6c85f4ec64599ca}
coil/drawable: {coil/drawable, d87561704e1cb484cc16f740d8a1de5b}
androidx/room: {androidx/room, 29b418934a7ec3709283317f53ffb0ad}
