androidx/appcompat: {androidx/appcompat, 5130b996436a91e7e45403255a37ecf4}
com/etiennelawlor/discreteslider: {com/etiennelawlor/discreteslider, 266e7bbda8c5e1a7cda6c5f076e40477}
androidx/camera/view: {androidx/camera/view, 05564859eaadd8fcd4c2068c52004bb8}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
com/github/gfx: {com/github/gfx, 63ab799416d09aa7602d412f76d12947}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, a8ef255754bccab92e65f43afd17e384}
androidx/profileinstaller: {androidx/profileinstaller, 5131f6859737ab80794fa2648dc1486f}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 38519d74e9cf8cca947bfc4f03eb4c5c}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 01a570081a092074c41f3b508af5cc8e}
androidx/preference: {androidx/preference, 179b2dd583f2cbd91dc0df0c3669d24b}
androidx/sqlite/db: {androidx/sqlite/db, 5837d1562c54d3c0badde24705219a5a}
androidx/lifecycle: {androidx/lifecycle, 47dedd78bd3d5072ce69046ad98c82ac}
androidx/fragment: {androidx/fragment, ad073006462a2798b66934cd433fa2fd}
androidx/loader: {androidx/loader, 904cd75d460713f8eaa0c0fe8d62fabd}
androidx/vectordrawable: {androidx/vectordrawable, 92fa46507a07c54ac365fd3eb4e0c23e}
androidx/recyclerview: {androidx/recyclerview, f916c074c780b75e0be857782a4b6a60}
androidx/viewpager: {androidx/viewpager, 9512806ee9ea7af5edf5c9c4cf48b25d}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
me/zhanghai/android: {me/zhanghai/android, bdc06809572817fd365646787d94ab07}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/renderscript: {androidx/renderscript, a24f6824fdaed5a87c42f2fa272b42b8}
androidx/versionedparcelable: {androidx/versionedparcelable, 338b9d4d9818a64a328838b96ee5c4ba}
com/daimajia/swipe: {com/daimajia/swipe, c87d4f4f8f4508969b2a7045dfa54be9}
androidx/constraintlayout/core: {androidx/constraintlayout/core, dc3541b732f5253ca76a2cb07651304d}
androidx/core: {androidx/core, dbc2bde4cd1ee4fedae7cb0382b2443f}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, b7709eb519ac970724449bb63c71177a}
androidx/collection: {androidx/collection, fa7ae6049d66e215adc332ea7b9314f0}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 73c2cb47460e3502028996884afe048f}
