keynumbers: {keynumbers, 7697875fe7aabac7a5ec87f5e9e7864b}
androidx/appcompat: {androidx/appcompat, 843c4fd225e78e3a8e96349dbf96eca5}
kotlin/internal: {kotlin/internal, 622ab7175fbe385a1d270f0311dd89bb}
androidx/activity: {androidx/activity, 7ef5508e8904f1e14527d86b54f4a15e}
kotlin/sequences: {kotlin/sequences, 540f0cfc5571d8c4d8333d6061c80b47}
androidx/preference: {androidx/preference, 3301367edf51dac64e52cfa531ced3e3}
org/bouncycastle: {org/bouncycastle, 1c281f3b5fc01906176ab15683fb2031}
com/github/mikephil: {com/github/mikephil, 2ac9757b6d40bab11faff7c40b2ea269}
joptsimple/util: {joptsimple/util, e14a6384a8c0d15cf658ea8504162573}
dgca/verifier/app: {dgca/verifier/app, f087c0cc943cb38ecf4c272a46711eb3}
kotlin/math: {kotlin/math, 8c8de447761067329cd1aaefda2e2acf}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 319bf1cc868bc007086cb9df9b0a978f}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 806561329eaa2fbd26b6051de73c4270}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, de706167ebfa8f82267ed96e546e78c3}
kotlin/random: {kotlin/random, 4f07f8c3f4f73f1cd7299f1476889d41}
com/tom_roush: {com/tom_roush, 8f2d301c1ca6c2b2d1c2324a0aa41e26}
androidx/cardview: {androidx/cardview, 2c2b5c1c8cde59a0de01428ec907c32a}
j$/util/stream: {[j$/util/function, j$/util/stream, ], 020eb29b524d7ba672d9d48bc72db455}
com/lunabeestudio/di: {[com/lunabeestudio/local, com/lunabeestudio/di, com/lunabeestudio/repository, com/lunabeestudio/remote, com/lunabeestudio/domain, ], ed292e7bfa1daa996d1161670c6d0d93}
com/google/common: {com/google/common, d0fb97ff7bb3dd77ed6d822a8757348e}
androidx/savedstate: {androidx/savedstate, 166bb768c007f64e4c87e9160d964010}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, d5bc142189b92bc45434d361db69a4c4}
dagger/hilt/android: {dagger/hilt/android, da5ba32bc24e82c79a254c3f9d988617}
kotlinx/coroutines: {kotlinx/coroutines, 2f47cb6b91c706305fd21e596dd7359d}
