android/widget: {android/widget, fc6f99f70236ce11eac0fb3d6aeb3b33}
p2: {p2, 2497abefb7fe981f187433e8c9e9f529}
d8: {d8, aeb01cb54ce8c771f0139f83fb9fa3f8}
j: {j, 584d46d5d0a55cf9ca55626cadd60a2a}
c1: {c1, 906cb30a7d3012234cebe7c5d746a531}
l9: {l9, ec8d328404e90c1cc574e498612dcf0a}
z7: {z7, 46087ebc7f80280bcc99ce9bb4e30180}
q4: {q4, 135cbed60fac7ad5b87ab6630a828d64}
androidx/activity: {androidx/activity, a37e65e38977bd37afd7f1c0da9a00c9}
de/hof/university: {de/hof/university, 273f6dc2020b0a765e4a274bb5795ce3}
x6: {x6, 2df91b172e34238d1106c283d1e8f7cb}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, df9b1494c9ea3f6d8a18492254ae6b8a}
l1: {l1, a7b83d21d77cdddcba25ab89e5ea9f45}
androidx/preference: {androidx/preference, 043b8a549bf8be984c28c836dd1ab4bc}
androidx/core/widget: {androidx/core/widget, 99e585420804908c8c2cfb253f0aeede}
k8: {k8, d95b5ff3e1eca14701a32b31466799bb}
g6: {g6, a80d9693e62dc1b259f349b57d0c9208}
androidx/appcompat/widget: {androidx/appcompat/widget, ec3b6e289f148c5573d97d00b1abd463}
r9: {r9, acf7ef943fdeb3cbfed8dd0d8f584731}
org/bouncycastle/jce: {org/bouncycastle/jce, 1849915c633ae8108a7f0df6622f47cc}
b5: {b5, f67b8726d99705a4a2ca77248367101a}
kotlin/jvm/internal: {kotlin/jvm/internal, 9aa04b75724f67fa739cc4d11753e875}
o9: {o9, 7c7c934c25008dac9615fa600acd7428}
android/os: {android/os, 40f145737d235240df2b2970d95710ac}
v2: {v2, 45603f3ec1de34c8d2a81bf4f9940ca8}
w8: {w8, 2ae3e660f2d8fd0a0b18762535f5492a}
z1: {z1, a9ce2f6a76d22df80d1bd1112b0c3555}
m6: {m6, 217db2fcf7d0dfc233757c15bc6c6024}
t2: {t2, b9c07da25ebc98b7cf90b6aececd3be9}
w0: {w0, d0b871d186a862377b068e8778419316}
r1: {r1, 6d51beda4ae280c64cb203ed0f2f4404}
e6: {e6, 4d6b5e73a519f0a4d5e09cf49730fd5b}
kotlin/random: {kotlin/random, 36aa1270f3a706fefdf2413f1a615986}
j5: {j5, 5b82007be405336f4c1a474fc145ca86}
org/igniterealtime/jbosh: {org/igniterealtime/jbosh, 071bff7590a2aac34718996e5ae89f96}
l: {l, d5e3559f1eec5aaec8d50812f64b9f32}
y: {y, 699091670f333de6b6a6237fc51cbb1a}
h9: {h9, ffc8da7ccac843479c8931f342678c69}
f4: {f4, 512a79f57cf619561084a351f272a702}
b: {b, 11cd83a1f57ab85a608da830fb4f0060}
k1: {k1, efbfe327a86e4c4e576a8a61f7aa1ba0}
d9: {d9, d3544eb73cd454a6702e38deb38e8b82}
k: {k, d3984fcbf44f1484031fda9bbf3b6bb4}
x7: {x7, 27a7196d3825bdecdbf9dd51b604ca08}
g1: {g1, 9ee88c59a2cb2d108f18044651d54b7e}
c0: {c0, a51ece96cfe57b12952008407f8e0379}
a5: {a5, 1f6d4f4490a9fae5ebb6d63805888f29}
p3: {p3, 0b7e2a36177847bd31105e2d49c0275e}
e5: {e5, 5a84455867c5f044b10160e2c2592950}
androidx/savedstate: {androidx/savedstate, 140d19daebd819f94888e9c73b898cbe}
b2: {b2, d3c5d37ba8c4cdcf114555eecdd74db4}
q3: {q3, dbe8c5751f432c4a02bfde8edf643879}
d6: {d6, af9ccae7609591f207f08c618b5cfae5}
l2: {l2, ee6607d1b3f973b8db90e3c32874e8f5}
android/icu/text: {android/icu/text, 0c248c7ad95169e1412945fd6b802162}
i3: {i3, 45e941da355e137229075cafe2387dd7}
androidx/core/graphics: {androidx/core/graphics, 9257eb86689a7990a8067391ea85c101}
o3: {o3, a82efde284e53ec08daf920b673b76ac}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, caeca85750108f11ac937a40d5594d99}
o8: {o8, 5ca84027699fbac41e1103285abae140}
m5: {m5, 2541197faf704798b466cb28ee1b3824}
t3: {t3, 50746b04df91e55eac5f9f8dcf38a94e}
j2: {j2, c47411324291a90b635ff321feec9f44}
v3: {v3, 7292c2862b3e85dc9ca663c159976338}
f7: {f7, 8edaad832d782a398d70ea8134904af7}
y8: {y8, 929eb1a47e52e55d28422764689b6483}
h2: {h2, ed3171079768b4ae0e675699f738c797}
n5: {n5, adcc04f41583ef1839788bc0fea1d3a5}
u3: {u3, 77486840c10abfc87bbb393fca9eff95}
kotlinx/coroutines: {kotlinx/coroutines, 9f580f0712cdad20740795745ca73830}
r: {r, f5dd59b879fe24420af1510fc8ad4e37}
z6: {z6, 882d5e38afb9731dcad412b8ed505ac4}
org/pgpainless/key: {org/pgpainless/key, 174d5c63d0398228aa1623f3aff8b5b5}
f5: {f5, 96193b69cd95edaa719081432cb1989f}
w3: {w3, 61bfc98d9a0bc83dac6e4449c36f09d7}
z: {z, a2dbc7ecf9540022c3b07f33056175a6}
r6: {r6, dd185aea26f309b24bb8c7b3984008a3}
d1: {d1, 092e461c3fc9b66c9a8ff37af6a813e6}
c: {c, e209819789781fc6bfcd1d006cece5d8}
g9: {g9, 4cd908da02eed222b25ec26a8b78e02f}
k0: {k0, edaef93400b1aa7b8224beaf93363b74}
b9: {b9, 808dffeb4448c217de9d295e7baab88c}
g0: {g0, a25405d4213f7a4c5ae0dcf12c94149e}
v8: {v8, 14aede238cc6ab0e0abdb31e01aab970}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
x0: {x0, 8249bcabf3fef899aa9106a333539818}
b3: {b3, 25b67b69017d8d82a0b55f9dc0f58097}
w2: {w2, 609bdc393964741aa8629148034c64f3}
q2: {q2, a9029444a80a02de50d4d53750f5b05d}
org/osmdroid/tileprovider: {org/osmdroid/tileprovider, 9a362f2e911ad1b25564b3aabc913806}
androidx/constraintlayout/core: {androidx/constraintlayout/core, feba9bdcc8fd261bf2109e1164430342}
o2: {o2, 5ba3e4c2c42cf4e696f05706058557de}
m3: {m3, e3c0a425ec2c47b67599a8ff5554c565}
i2: {i2, e3862bdc73cc1b4962a469bbb7a4edee}
androidx/lifecycle: {androidx/lifecycle, 229081aae5ff5c8526c05f01263d941c}
c3: {c3, ce145e8d180ce8296f6d273690e1e037}
a4: {a4, 97d7f3e18673305a13e42d3bb00eaed8}
c9: {c9, 342679ecee02fa08acfb00e20410b78e}
t: {t, 6103cbab8b39e408116aed773012d9d0}
j8: {j8, 082638c05fbe5a9aacdd898f53fe82b2}
androidx/media: {androidx/media, ae280b5e704c18519c0bcbe2db016e49}
j3: {j3, 715766726d752c8a9c3b049c96de112c}
y7: {y7, 9f4d4883a11d38bc4475ad11bcc4ee4e}
android/graphics: {android/graphics, 6121135cfb77b76bd7cf81c1094a651e}
m4: {m4, 1c14fbf7ca606a296d5a57d108e2e2ab}
t4: {t4, f6ac91b20bc6ad0541f12891aa0d3cdc}
u2: {u2, 581b69ca2d0a439a69b150b3204b4cd5}
androidx/startup: {androidx/startup, 011908bbf9c1896f2486409ce10cbd4b}
c8: {c8, a57caa9afdf5db5b4cf94f6fdeee6370}
org/minidns: {org/minidns, a9afc21f1828a1b6fbbb090a179db87b}
h3: {h3, 598895178cf6b43aedffd70e8d7fbf1a}
n2: {n2, ec2abc7510ebf838660710a4532625c8}
k3: {k3, 58e915c8b2a0cf16aefdd923c7738e2f}
p4: {p4, add243418d6024ee803e7b342c02ad68}
r7: {r7, 352358d16acc74a9ecc8d071d26c1bcc}
y0: {y0, 911791f5d1d1fe3facff1cc94e6682d2}
f2: {f2, f03309582d3276e714a288045eaf5ecc}
