androidx/appcompat: {androidx/appcompat, 355e2ac32d296df6494519181d7bd6dd}
kotlin/collections: {kotlin/collections, 8a9cb680e3250bb3f83733917e5e8daf}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
androidx/tracing: {androidx/tracing, f89696168e7f096e81cbb3cf0bcad8e9}
kotlin: {kotlin, e7a48ea2175a273db049ab2b26673637}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
kotlin/internal: {kotlin/internal, e076975e1d84c9fce072e56449330c9e}
androidx/activity: {androidx/activity, 133fcc935383032224f777fe8b2ad208}
kotlin/sequences: {kotlin/sequences, 88c153f65138efad00b15cc20d7b09be}
androidx/core: {androidx/core, ff639028102451e7f3e20eda72481711}
androidx/preference: {androidx/preference, 6921c0c7b50bdeea95ff41ec3bf9dbbd}
androidx/customview/widget: {androidx/customview/widget, 90dbf717cf84531cf6aa5c702c825955}
androidx/constraintlayout/core: {androidx/constraintlayout/core, e42850e3fcaf0fdd9bedc99db00fb1bc}
androidx/lifecycle: {androidx/lifecycle, a5925c04885cb47ff1344cc23d9a0a4d}
androidx/fragment: {androidx/fragment, 677f5e9dad07d5ba930d29aee22e3cdc}
androidx/emoji2/text: {androidx/emoji2/text, 6182db074def9ef64cb56a3b8a6cd448}
android/util: {android/util, f2d51bdaf7237000f9acb9e89789596c}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 0c8db64a07ea5998c92a7d28f1ab33d1}
android/provider: {android/provider, 88c21ad076b9fac956016a2d891f492b}
android/icu/util: {android/icu/util, 0c248c7ad95169e1412945fd6b802162}
kotlin/reflect: {kotlin/reflect, 792b628c840d7d45766e54580078c19e}
kotlin/coroutines: {kotlin/coroutines, dc6ac2d8833abeb5bd198bc471cda72b}
kotlin/math: {kotlin/math, 822867c9294623f8aecedd589125f66c}
kotlin/text: {kotlin/text, a0f2a13e7610976e621d4eaf8ef04b98}
android/graphics: {android/graphics, 52c1e78d28225cffaea228a513703d86}
android/os: {android/os, eab5ead9d96fb097fb1c844cdfe121a9}
androidx/versionedparcelable: {androidx/versionedparcelable, 7c3613cf41a43debc1873031778f4a80}
okhttp3: {okhttp3, a5ebb40e045836174e0d56a16735ec8e}
android/view: {android/view, 0abe9a9bebf585d3d86ab9ad5aea034c}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 4c9bfc5813b5f28cad3e0629a4a4c782}
androidx/collection: {androidx/collection, 3ad46316eee467cab47aadc00db33c78}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 7e1e480978a16c2cc9def1629a32ba24}
info/guardianproject/netcipher: {info/guardianproject/netcipher, cf8ca87877884a6e5944e07a97bffdb7}
androidx/transition: {androidx/transition, a8468eef162e9c1f54ffa2d4b5cf6e34}
kotlin/random: {kotlin/random, ef176d54bd21f617e5856b8151cf5a6b}
androidx/interpolator/view: {androidx/interpolator/view, 010b9e2e89a1d2fc8afab58f02e4bd00}
android/net/ssl: {android/net/ssl, fc6f99f70236ce11eac0fb3d6aeb3b33}
kotlinx/serialization: {kotlinx/serialization, 3487bb3f60ff68ad19f0bae3946fd094}
androidx/multidex: {androidx/multidex, ead7f5a1e34ca725153b975adbdb47df}
androidx/cardview: {androidx/cardview, 3e06794a20032ac2ac6a99e5f69a4408}
androidx/loader/app: {androidx/loader/app, bed7655ca8fc2c354c5e1298427e5776}
androidx/savedstate: {androidx/savedstate, 3130fbf01128703c6e3b341029ab1eca}
androidx/arch/core: {androidx/arch/core, 42bb759d54fa4d4e9865639e3516fc55}
j$/util/stream: {[j$/util/function, j$/util/stream, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/media: {androidx/media, e410188b8546841db45f9e0ea36f407e}
kotlinx/coroutines: {kotlinx/coroutines, 6bcda626112e38b177034995a2ac713b}
android/telephony: {android/telephony, f3cab5e8757d223105e2f6e506491ffd}
com/fasterxml/jackson: {com/fasterxml/jackson, 93a1289df4ffc1b5814007b8a8f9741a}
kotlinx/datetime: {kotlinx/datetime, 8f0712454ac52125a62a8f724e2a2581}
com/google/android: {[com/google/android, com/google/common, ], 5126340bb96c63c221e2c26477d46a92}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, c50627c1a90f3fcdd666ffae87811e39}
com/github/lzyzsd: {com/github/lzyzsd, 542ae9ebba6e6421b577527b19ef0dc2}
android/system: {android/system, cad42cb156f29b2996fc4e09d852c5c6}
android/app: {android/app, 33498a9d23225ba9e116bf1d4b8c2214}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 20596e73000ff9f7e96044e115c57a09}
android/widget: {android/widget, 3ef3d1823ac4c8a03c4402610a70d6de}
android/media: {android/media, 97331896b88fa2b83a4fabf0b80da298}
kotlin/time: {kotlin/time, e6cb13e941307239790e53006318cbb0}
kotlin/properties: {kotlin/properties, db5e51f83aa190dd19ddc1396e86fec5}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 06a54952755c8c3dfcd90c2f79e640de}
