androidx/appcompat: {androidx/appcompat, aeda797ea154b0c9fbc34aa2246bf66e}
org/commonmark/ext: {[org/commonmark/ext, org/commonmark/node, ], 020eb29b524d7ba672d9d48bc72db455}
contrast: {contrast, 580de7b9bff81f85c7f255beec7bd819}
androidx/arch/core: {androidx/arch/core, fe678557b03f391f08e64398bcb1642e}
androidx/room: {androidx/room, 68fffb58d3f1375f70c0014e9411e3c7}
com/google/errorprone: {com/google/errorprone, 77fe26ab18fde04ef3721443d8a2cbd2}
androidx/activity: {androidx/activity, e3b3bcdd6c13a64d9687667675ebf04b}
dislike: {dislike, bb34bcea96c846b16e9e4c4f01593f60}
androidx/core: {androidx/core, 00d22b178b365bacad721c18626fb186}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, d8189fadf87d2d26e23d5411a8179d51}
androidx/preference: {androidx/preference, 9098445b36deaa0123f16586bd69e890}
androidx/sqlite/db: {androidx/sqlite/db, b767859dbcbaab765377431eee12a36b}
dagger/assisted: {dagger/assisted, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/lifecycle: {androidx/lifecycle, f60a69918c9b0565e4519a3ff68375d4}
androidx/fragment: {androidx/fragment, 49e81ad476c75210568cc3312ff64c0a}
org/commonmark/parser: {[org/commonmark/node, org/commonmark/parser, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/loader: {androidx/loader, f0e7364c89cf63ffe33a2e5dfa2e3867}
androidx/vectordrawable: {androidx/vectordrawable, b75dab112ca296201d09fc28db116afa}
androidx/recyclerview: {androidx/recyclerview, 2fad58def8e877c581bdeda0af64dcc3}
blend: {blend, a9e67a0f93bdc7858280bc043c8441a3}
com/google/android: {com/google/android, c242db779e0da8aa36a11ca38e528094}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, a05bed85499edd234cfd7c94a5a7e773}
androidx/coordinatorlayout: {androidx/coordinatorlayout, a0aff5f9e964d10e3fc3d860868019b3}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 53cde3f4e8357a642cd83c996361f8b0}
androidx/collection: {androidx/collection, d6dcfa34cf950c2ec99ac037b4af878a}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 9794ca4099a5b159aa10a0f16d47129b}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, f2d8397602b59cac04f13da7251fd8eb}
androidx/cursoradapter: {androidx/cursoradapter, a4545363f8c155ea4a632831e0d3d9a1}
dynamiccolor: {dynamiccolor, a7169d9cb4b60d97706306e4cbc15726}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 43e47ebe35d3c8caaf2fc791f3cd0c50}
org/commonmark/internal: {[org/commonmark/node, org/commonmark/internal, ], 020eb29b524d7ba672d9d48bc72db455}
dagger: {dagger, 65d1770795f4db1752271b409dff8002}
com/google/gson: {com/google/gson, 2373b1dda125cbb789510fb8d5fa3f14}
androidx/drawerlayout: {androidx/drawerlayout, 1fb930d925ecc47472e34cbf0f70e301}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/viewpager: {androidx/viewpager, eb8caefbe3c8a17304833b944ab44d41}
com/nextcloud/android: {com/nextcloud/android, c6795473d3288b82ca013a6d1645eb41}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, 7fea3e611b3c4e604cb432f6780ba52e}
hct: {hct, dbccf4e66e715b41c6aaeeac755bdcf4}
androidx/emoji2: {androidx/emoji2, 4b4735f25424c7ae136da29122630f87}
androidx/profileinstaller: {androidx/profileinstaller, 3582bc5ceac216e7e96460689dccbddc}
dagger/internal: {dagger/internal, 720ad524259324831d4fba90a925cd17}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 2f41697626a2b0cca60ff5c0800c86b4}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/work: {androidx/work, 07529338537924f01efb14552cebfe24}
androidx/viewpager2: {androidx/viewpager2, 5996b800d1f1aa12cf74ebb788c15d12}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, a4416d427892ffa942cadc1ea18c7cea}
androidx/documentfile: {androidx/documentfile, ace5d9be6dc5bdddf07ce2d8a3165904}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
com/bumptech/glide: {com/bumptech/glide, d5391c9c37a04e9e03ab3d3abcac2e7e}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 289621858dc72d6c284a8a1a9656323b}
io/reactivex: {io/reactivex, dd62a9376b48163df2509faa4365e466}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 78555c3346ccfe66c28b6d3492403b94}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
