p2: {p2, c863a4d2370e0b0ed928c69c98bfbd85}
coil: {coil, e9d05ca9b6d47667ce02b43d942dc4d8}
c1: {c1, ae677d76ae403e09bce1d10a6b80c8b6}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
q4: {q4, d8c726405ee8d3295a0669c6e7a1dc55}
androidx/activity: {androidx/activity, a6ffe653e08db10a1c15b52e7dfec7a8}
b1: {b1, a36dc7189056a44d44ec41a12d391a67}
l1: {l1, 269410de2c1be82b0d407c296f970522}
androidx/datastore/preferences: {androidx/datastore/preferences, c07e7454d820569aecb5a08fe2b47d25}
i4: {i4, 7b0bc1b5a2903fcb4d1af4fdf54afab9}
o0: {o0, 94704081d5930b3be32f0f5ea6d7d7b8}
kotlinx/serialization/internal: {[kotlinx/serialization/descriptors, kotlinx/serialization/internal, ], fd1da70d05b3170edebaf36ca4e5640c}
b5: {b5, 186b1a429831a1971a0115b06b39fadd}
kotlin/jvm/internal: {kotlin/jvm/internal, f1a698999c469a1b9a0c34ab2f989b5d}
v2: {v2, 3fd0129920218eea790b40fbc0a15a2b}
z1: {z1, e090e1020dbd893070b90e61ad0db9ef}
coil/fetch: {coil/fetch, eb4f7397524a2c832c871d399cc230d7}
androidx/compose/runtime: {androidx/compose/runtime, 729fa92f8193ec0a0367203729937c14}
t2: {t2, 48253bab2fc33118c0e6d314a3a7f6d0}
w0: {w0, 75362b44cbda4912ba551405f323b942}
r1: {r1, 18040bb4560b9ce70db254259580fd65}
j5: {j5, a0f70e2451dbac278416f5222c89fe04}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
d0: {d0, 94e3edb86570266f08cdd03962890cd5}
f4: {f4, bf49d47c03f9cdcec88366f4ef83eba8}
b: {b, e9d46f2048051f57c9064f805f26b3cc}
k1: {k1, d414ac88b2f6f58921659b049960e7e1}
androidx/compose/animation: {androidx/compose/animation, 15b033e29fd6ce4af4908f592feaaeb3}
g1: {g1, 9779d76040908ac77333793c55857b93}
c0: {c0, 67c0e9b6dc0a78a3bc109da6b1adc029}
a5: {a5, 9dfd28efb28f4c558bdf766c99427b54}
