kotlin/collections: {kotlin/collections, 906824e4bbb8a6024a0603956ff0edf4}
org/jdom: {org/jdom, 466d903443071c9076cdaf454f3b873d}
net/grandcentrix/thirtyinch: {net/grandcentrix/thirtyinch, 04be1425eb80aafa8c381284d507bb08}
com/annimon/stream: {com/annimon/stream, fec5d01d776d1429e9d86810986734be}
kotlin/io: {kotlin/io, e9424943a4ba157fcc2e6c50e7fd51b9}
kotlin/internal: {kotlin/internal, 2c60143e3c4ec5b83ff00bfcc1845cc7}
org/commonmark/ext: {[org/commonmark/ext, org/commonmark/renderer, org/commonmark/node, ], 0a507e9f6e1a86a5ccc51c6714780f06}
butterknife: {butterknife, 5a985447ec42f5ca8aa30be120b4afca}
proguard/annotation: {proguard/annotation, 0db390eeeb150a4b7e83ec8056f6ee13}
com/apollographql/apollo: {com/apollographql/apollo, ecae73266c97e7db67122488a32a9582}
org/apache/tools: {org/apache/tools, aa4fa764d3856ec91c3c0322e5ea912b}
kotlin: {kotlin, 1744936a502209b2d1a5ec7135051a5a}
android/support/fragment: {android/support/fragment, 28c330d31c8803937e145309cf79d180}
com/mikepenz/aboutlibraries: {[com/mikepenz/aboutlibraries, com/mikepenz/fastadapter, ], 7776af8213aaadc8b47f3a9a7ae5e7e2}
android/support/coreui: {android/support/coreui, 28c330d31c8803937e145309cf79d180}
kotlin/reflect: {kotlin/reflect, 703cfda6f9111c0d733a8f809172175d}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
com/mikepenz/iconics: {com/mikepenz/iconics, 4a901290055ff9023099319159d8500c}
es/dmoral/toasty: {es/dmoral/toasty, e313d1bb57e417a55108e4c34325a243}
okhttp3: {okhttp3, f8c5dcd693d596b1ae2d069c9184067d}
org/nibor/autolink: {org/nibor/autolink, 3550c4b02fff7a1093c748773e785967}
net/yslibrary/android: {net/yslibrary/android, ceb8c23ec3dc52b62d61e197ed6d4176}
com/nytimes/android: {com/nytimes/android, 720e6b55067b778bd0cfc8725baa66ae}
com/readystatesoftware/systembartint: {com/readystatesoftware/systembartint, a3df73779f80c61cd99f7e4ac439bf67}
com/google/gson: {com/google/gson, 47d4e319494b8ed9daccf1295446d7f6}
android/support/transition: {android/support/transition, 62a91935040095312177b6c9cc32b0b5}
com/fastaccess: {com/fastaccess, d56b1f1810d09d8827d85a8d78b343d6}
com/evernote/android: {com/evernote/android, 534690fc5540202641ba95c266322874}
net/nightwhistler/htmlspanner: {net/nightwhistler/htmlspanner, 2862bbb314f99c76806865ec1b0612b8}
com/airbnb/lottie: {com/airbnb/lottie, 4351c34d57b6ccc74dddcb08abf66926}
android/support/v7: {android/support/v7, 1fa7a98b2f0a3a8ae671a520b6faa69e}
android/support/compat: {android/support/compat, c5f090e95cab13187f0283bad31095c7}
butterknife/internal: {butterknife/internal, 80a6f2cf2b0b5885c4debb4a4964f5a3}
cn/gavinliu/android: {cn/gavinliu/android, f92badc7bc4e66a7e5bdfd2e73b9ab33}
github: {github, 8ae8e4f81be04c4a880c7c8c8bff9b14}
kotlin/sequences: {kotlin/sequences, 7ab94ca9e12e2024d03bf1cce75f5b5d}
android/support/coreutils: {android/support/coreutils, c5f090e95cab13187f0283bad31095c7}
android/support/v14: {android/support/v14, e01c7900475f93463451c579257834f3}
kotlin/text: {kotlin/text, 60ad4ea25c9bf466075592a8be8875fb}
android/support/graphics: {android/support/graphics, d5e2410a3f3ee003f906649f3bd03258}
com/prettifier/pretty: {com/prettifier/pretty, 60d81730d9863a6c01378a2f432ea9e5}
androidx/browser/browseractions: {androidx/browser/browseractions, a7f069300d1f92aaf09014e3b8d27e93}
io/requery: {io/requery, 504bc22bbc86657a4036731fe08f0952}
petrov/kristiyan/colorpicker: {petrov/kristiyan/colorpicker, 5f6b9c9df500754e6e7ad779cde65c7c}
org/commonmark/internal: {[org/commonmark/renderer, org/commonmark/parser, org/commonmark/node, org/commonmark/internal, ], dba7c98b4ed203c8b5c67e8d36e0a783}
kotlin/ranges: {kotlin/ranges, 89b037a23b113b02edd41e084e004f8b}
com/bumptech/glide: {com/bumptech/glide, b2f1de5095aeb6041939a48806fbc3a7}
org/jsoup: {org/jsoup, 14fbea834946f30c4ae91b46ee78b9f3}
it/sephiroth/android: {it/sephiroth/android, c493e929665806f18a229fe9bbf6c621}
android/support/customtabs: {android/support/customtabs, 4e057c49d16e0467b7ce28083f9b8611}
android/support/design: {android/support/design, 65b08a42761c14a8c3544520d6e1e5e5}
github/type: {github/type, 2fb3ec257903a46bc5cdd357c130e767}
io/reactivex: {io/reactivex, 77cbbccc66ffbda8775baf8fa0db4c68}
com/zzhoujay/markdown: {com/zzhoujay/markdown, 1f7ab69ebce02d9c052af875866271ef}
com/danielstone/materialaboutlibrary: {com/danielstone/materialaboutlibrary, 4f455d1f3c252fecfe921e939002c2e8}
okhttp3/internal: {okhttp3/internal, 9dadcbf7a79faef817b285c5755c4bbc}
android/arch/core: {android/arch/core, 3cb56ad18dd4cffad8f4b021458559e3}
android/support/mediacompat: {android/support/mediacompat, c5f090e95cab13187f0283bad31095c7}
kotlin/comparisons: {kotlin/comparisons, 975f0ab1ddcfeece7726a23e88843fe4}
android/arch/lifecycle: {android/arch/lifecycle, aba3ec1ed50dec744341e25aa1278919}
com/jaredrummler/android: {com/jaredrummler/android, b39aaec2981b1d1363365456abbac203}
okio: {okio, bef8c7a4891dff24f541dd98a03b090f}
org/htmlcleaner: {org/htmlcleaner, e396adbd00e81fcc048f325c35cd282f}
kotlin/jvm: {kotlin/jvm, 60181461ab9094526d75843c8e24fad3}
