androidx/appcompat: {androidx/appcompat, 68d1514775ec15e4233ea158136fbd68}
org/jnius: {org/jnius, c14bfb1d7baabbb01ba2dbce24d35389}
com/google/auto: {com/google/auto, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, e2927bf49cf3ac105c648c382ed9b387}
androidx/camera/view: {androidx/camera/view, 11d12938231bab15228740111bbc7ba7}
androidx/core: {androidx/core, aa6762ddd66fa60b9e958bbe80f6d948}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 44b6910ae2f3c7f31ab004f2c0d7b42c}
androidx/preference: {androidx/preference, f0fec36ee7e312010ad17efbbb25be88}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/lifecycle: {androidx/lifecycle, c46b6fa53a6727bd15cf63b90575443d}
androidx/fragment: {androidx/fragment, 6fd9eaf1d46123b218aabc0f991c4205}
org/h2/constraint: {[org/h2/expression, org/h2/command, org/h2/message, org/h2/table, org/h2/constant, org/h2/schema, org/h2/value, org/h2/util, org/h2/index, org/h2/result, org/h2/constraint, org/h2/engine, org/h2/store, ], 885b353bfdc575d890e2fded1aa91dd9}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/navigation: {androidx/navigation, f3cd258778a3862e4f90e4e74d5b8b1f}
androidx/loader: {androidx/loader, cdd07708525e3b89c0acb34bc7b0ce77}
org/spongycastle: {org/spongycastle, ee9101cf16240b26867752079e681b4a}
androidx/vectordrawable: {androidx/vectordrawable, 880eb91503844668699383393099f0dc}
androidx/viewpager: {androidx/viewpager, d9716ac823ee6f904d729a360d2b6f3b}
org/kamranzafar/jtar: {org/kamranzafar/jtar, 66423ad5b086db9fc47bb66c4c5ef22c}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
com/google/android: {[com/google/android, com/google/common, ], a770f4465017be5074c04f2db42674bd}
androidx/versionedparcelable: {androidx/versionedparcelable, 3e85b942f5729133e567d067f5f2ebd8}
org/intellij/lang: {org/intellij/lang, 2dec1adfa53189f66a49f5ff580f2804}
org/h2/upgrade: {[org/h2/command, org/h2/upgrade, org/h2/message, org/h2/table, org/h2/util, org/h2/schema, org/h2/value, org/h2/expression, org/h2/constant, org/h2/index, org/h2/result, org/h2/engine, org/h2/store, ], a005ddd30b81fb1a847608e405d59b28}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 11f5d4535855864e60781d295e410ff4}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 9d1ed22efe1ed3c4cb8295b24cbf7536}
androidx/collection: {androidx/collection, b6f94b1e2a620eb8b5d55036a235c63e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 8e59d2e3ac16c4c9bf1582eb1630d70b}
androidx/camera/lifecycle: {androidx/camera/lifecycle, 90d7b8a775311fa468f1a551888f76cd}
androidx/transition: {androidx/transition, d158e5b678ffb388591a754f867c1d4e}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 88b7cc7356d6fbb96889f553a5b0fa46}
androidx/cardview: {androidx/cardview, ecb8fed853ed83279858740eedc802f3}
org/h2/jdbc: {[org/h2/command, org/h2/expression, org/h2/message, org/h2/table, org/h2/util, org/h2/schema, org/h2/value, org/h2/constant, org/h2/index, org/h2/jdbc, org/h2/result, org/h2/engine, org/h2/store, ], 885b353bfdc575d890e2fded1aa91dd9}
androidx/drawerlayout: {androidx/drawerlayout, 3432e372d4cb8547bdc506782e5b72ce}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
org/slf4j: {org/slf4j, 7901694f4da8c59c035a953e5aaa0efa}
androidx/media: {androidx/media, f5651960bf173cbe51f3854436eb87f4}
androidx/exifinterface: {androidx/exifinterface, cdcb3ca45d5bd0e357f25e1907fc5648}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
com/arthenica/mobileffmpeg: {com/arthenica/mobileffmpeg, 6b4ebffc96420d8c2c4900f777c54ee7}
androidx/webkit: {androidx/webkit, b938b969b1c0dabd5b5d8baf338204ae}
org/kivy/android: {org/kivy/android, 20e0afb2f3c49be3b4c0648b66dbece8}
org/h2/tools: {[org/h2/command, org/h2/expression, org/h2/message, org/h2/table, org/h2/constant, org/h2/compress, org/h2/server, org/h2/result, org/h2/value, org/h2/tools, org/h2/util, org/h2/index, org/h2/schema, org/h2/engine, org/h2/store, ], f78076d259d5cce2baa2db535dd9ec09}
androidx/browser: {androidx/browser, 6dddf12f1c1fcf07c0c6093601bcf4c1}
org/h2/security: {[org/h2/command, org/h2/expression, org/h2/message, org/h2/table, org/h2/util, org/h2/schema, org/h2/value, org/h2/constant, org/h2/index, org/h2/security, org/h2/result, org/h2/engine, org/h2/store, ], 885b353bfdc575d890e2fded1aa91dd9}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 7026b5507a8e0f904f062eb174bbe38b}
org/renpy/android: {org/renpy/android, fedd5d699f558ea0ef3e65f5bf0f1752}
com/github/chrisbanes: {com/github/chrisbanes, 4dacb3674dfbe5e91c16d3831213f33c}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
org/libsdl/app: {org/libsdl/app, 14e83cbf9544f24ee9284744890dc064}
androidx/viewpager2: {androidx/viewpager2, 241007484c91118719bf951d03848d93}
androidx/legacy/content: {androidx/legacy/content, 7cad5a450f4ae8c92f752bf8c87ba91d}
androidx/savedstate: {androidx/savedstate, ddd6c535c85ea0320f0bf36320baf2cd}
androidx/documentfile: {androidx/documentfile, c1e8882d9a131f86ce61208986d323c2}
