androidx/appcompat: {androidx/appcompat, adc354ce456b7f0395b2b480244b7f71}
coil/size: {coil/size, dc1706c39d628c1dc376a84198c0774d}
coil: {coil, 4be6a8a49141d586a46a77e4475e3321}
kotlin: {kotlin, 5cb21707a595ef24fc31a1ff71a31a43}
kotlin/io: {kotlin/io, cdf124f9e12975c1b9351e69cada5326}
coil/fetch: {coil/fetch, fd23d27f8951921e2bfe5fd537f85c5c}
kotlin/internal: {kotlin/internal, 3abefb78a5905b89dc28b0a94e8ab9a3}
androidx/activity: {androidx/activity, 02c33bc3e1ef42887d2b808e17406474}
coil/drawable: {coil/drawable, b37ba9d9fe20cb37c74ccdfaab6c8cc7}
androidx/coordinatorlayout: {androidx/coordinatorlayout, b04bca44bfefaac490b6f735fddb0bf5}
androidx/compose/foundation: {androidx/compose/foundation, 7ed746d7c5fdecfc2f2c7fa8bcba4110}
coil/compose: {coil/compose, a1da2ab803809eff0052058664d9e865}
androidx/customview/widget: {androidx/customview/widget, 045ec21f490d33e9ec9f1151eb681ebe}
androidx/constraintlayout/compose: {androidx/constraintlayout/compose, 08a85354d0f5955153151c9865d84252}
androidx/lifecycle: {androidx/lifecycle, c57d4ad91fe8b40f4b7097584e64338d}
androidx/fragment: {androidx/fragment, 8021fa78b83e626138a0415a9b78cac6}
androidx/navigation/compose: {androidx/navigation/compose, d52a14feb00470ad3fb596838034fced}
kotlin/enums: {kotlin/enums, 2dc1a962104382b16749698a8a1bfdd2}
com/airbnb/lottie: {com/airbnb/lottie, 1d895c874f5c691c11240a00f2a24be0}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 2df8f2ee35dff938ad7ef841215d5d19}
kotlin/coroutines: {kotlin/coroutines, 94edb869eb6467bc7c8bf0c74a9da375}
com/google/android: {com/google/android, 9af86c73eff15680ff4e819d384c117a}
kotlin/text: {kotlin/text, b7aa62ce8e21bea8c837fa517ba46e9f}
me/jahnen/libaums: {me/jahnen/libaums, 247a58407e2a79f358373a1d3203f5a2}
androidx/exifinterface/media: {androidx/exifinterface/media, 1ecad281268492b113b22215fee186f6}
androidx/versionedparcelable: {androidx/versionedparcelable, b81d1982f9ad1d6d4918b9e31c7c9aa9}
okhttp3: {okhttp3, 4d70dbd3b0521fa85755f381afd7f44f}
androidx/constraintlayout/core: {androidx/constraintlayout/core, a625de80d1a6df062edec267ef9e6df2}
androidx/core: {androidx/core, dc1bc4a0311881ef55ff1afd1ec7b6ff}
androidx/collection: {androidx/collection, f35186ec9b079a9c548aef140bb314de}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, f8f40bbdf724c8db23b74274167c618c}
