androidx/appcompat: {androidx/appcompat, 7520db0a5891ab01ff294b42017dd7ae}
com/facebook/rebound: {com/facebook/rebound, 7de484fc751405a320ddf1c76524f559}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 380c29f70865b802983d2c167ffebaa3}
com/github/anastr: {com/github/anastr, 9e133496846cade05916b721c7fee3ab}
androidx/activity: {androidx/activity, 15416cec66f0dffe65a24a4572fca8e6}
butterknife: {butterknife, 40826a2e69ead44b31082bcd5f713922}
com/triggertrap/seekarc: {com/triggertrap/seekarc, 2227aa25910420bf496a3287f74a558b}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 510df44333797661d57d89a60a39ed86}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, a694eb77b53c8a1f13538d8bc4554ac7}
androidx/preference: {androidx/preference, 1d4d3795a689791bb9437dd477d74f9d}
androidx/lifecycle: {androidx/lifecycle, 17fcdeccffa5f1da7f290dc8fa5cb385}
androidx/fragment: {androidx/fragment, 627195ec0789b3c2e4c7eaf40c7ff690}
com/github/mikephil: {com/github/mikephil, fb7a8b035d70faccde41dce7de87ca67}
androidx/loader: {androidx/loader, b76ce5ba974ed86da5cdc9ef9d6ccd2d}
androidx/vectordrawable: {androidx/vectordrawable, a8c102c444a4cd163438d244ec16387f}
androidx/recyclerview: {androidx/recyclerview, 5e8f3ccdbd9f36b59ad118df22352c45}
androidx/viewpager: {androidx/viewpager, b183a25ed24c61bea7824c8a0a760f6f}
com/google/android: {com/google/android, d9ff96b8bbcead891fc5d83fd4e5019d}
androidx/interpolator: {androidx/interpolator, 0c69a79d8fafa699f045df9a3a7a429c}
com/j256/ormlite: {com/j256/ormlite, 15bcc19f2662287ace9a2090af6da405}
androidx/versionedparcelable: {androidx/versionedparcelable, 0caae042fa387bf8d7dcb40ad0297eec}
com/goodiebag/protractorview: {com/goodiebag/protractorview, 6adb0b1007b897f5ff5295b14c8e5420}
com/unnamed/b: {com/unnamed/b, d2e808a52fc05655c025a6771f7efdf8}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ef9980b2923e0742689e364dc9b6e51c}
androidx/core: {androidx/core, 138d99d2f171ffccf240630f01072822}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 48e47066438647fa5b7f580cc5261766}
androidx/collection: {androidx/collection, 45a8ea85936ee0bb5f816bc7ca5d91d8}
butterknife/internal: {butterknife/internal, 8fa8cec83dccfb2df3909088fe43e1b7}
androidx/transition: {androidx/transition, 25579f9cfc96eec92fe22c2c999d5db4}
org/osmdroid/views: {[org/osmdroid/api, org/osmdroid/tileprovider, org/osmdroid/util, org/osmdroid/views, ], 0910eb5c7b2f40e379f25da76bfd4427}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
androidx/cursoradapter: {androidx/cursoradapter, 2630c7629a762b4564e0cfdcc58c794b}
com/warkiz/widget: {com/warkiz/widget, c2260e7e803975238f3df1e8f1471b1f}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 439f296814cdb6fd6d6c70f03490f356}
androidx/multidex: {androidx/multidex, 85858dae046c87fd9336b2a1a72d701a}
androidx/cardview: {androidx/cardview, 813c9a3f5f405d0003445ddd39e07616}
androidx/legacy/v13: {androidx/legacy/v13, e97521e81a9f1d37da0597160bf5ab00}
androidx/drawerlayout: {androidx/drawerlayout, df34d6012e2f704e3831ed17bf6c2f3f}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/vladsch/flexmark: {com/vladsch/flexmark, cc87ee509f1a27949a575c77e366df3d}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, 322e80b17ffffa52d6e76da07cb878c9}
androidx/exifinterface: {androidx/exifinterface, 43b3e6226d92aaf485ee9446df23da58}
