androidx/appcompat: {androidx/appcompat, c5cbd1a87a2f419a7c70acdfaf2a76f6}
androidx/camera/view: {androidx/camera/view, e98ca49c866200fadf8e7e8f83e7141e}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
org/bouncycastle/jcajce: {[org/bouncycastle/asn1, org/bouncycastle/jcajce, org/bouncycastle/crypto, ], 7c73585c881567726fe3300919db62e6}
androidx/activity: {androidx/activity, 0cd4b405a4156912b7d9d77faa0fbb37}
androidx/profileinstaller: {androidx/profileinstaller, 3684e36326bdac7f8d22933d989395c3}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1b57215d89a5981a9a52e43c91ad4d96}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, bac9d95e9c35636411a09b1612bbac17}
androidx/lifecycle: {androidx/lifecycle, e2c0504e91de2b651cdf879f1e8311af}
androidx/fragment: {androidx/fragment, f7e1ec74001f03b89d4f9cba36b0746a}
androidx/navigation: {androidx/navigation, 24f2ae69bd9472a8cbebcf558ce54411}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
com/android/volley: {com/android/volley, 2e24c2901b4fef07701b02005e06ca90}
androidx/vectordrawable: {androidx/vectordrawable, 0ff334097d5aa181e5e000528b7179f7}
androidx/recyclerview: {androidx/recyclerview, cfb4f1aa7678df2e95b5f0851ce97d71}
androidx/viewpager: {androidx/viewpager, 586a79548bd25c3240ae55df346c7b02}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 76f22a6c6986d6d23929701684d4ab2b}
androidx/core: {androidx/core, 1027687070825bfd5c58e7cf08273898}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 212afb512b0f35c7dafa0cdb92a3ed1d}
androidx/camera/lifecycle: {androidx/camera/lifecycle, fc4e19e7559b3919615bbe9484c3566e}
androidx/transition: {androidx/transition, 93edcf7b3aa02bf66bc906932efdff7a}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/slidingpanelayout: {androidx/slidingpanelayout, aacc96fdfb26ac2160e0dc27a4dbbb32}
androidx/multidex: {androidx/multidex, f01b292d4ea30f735433ceb655b4e0a6}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/camera/extensions: {androidx/camera/extensions, 68ad7a57f2c90d81a5c6da185a8b5387}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, c564e5ae06f345dcde1cb47b5ccf38a1}
androidx/exifinterface: {androidx/exifinterface, 94badaec6b4244d453104f0485241680}
com/fasterxml/jackson: {com/fasterxml/jackson, 6c0f13900b07cb429b23fe09160ac642}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2: {androidx/emoji2, c8d166a72d8ccca3ee723d69abf69b7f}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/legacy/app: {androidx/legacy/app, 181e1722064f84032cda2c6fa939f581}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, a49093d9517c4a52bd3feade3819b01c}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/viewpager2: {androidx/viewpager2, 8a4c5210a3c2b68aad773e66ade06575}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, d81e89465de8c2fd23376893a9e58a11}
androidx/documentfile: {androidx/documentfile, 405e864284a52aa0ff49fac74ee2910d}
androidx/print: {androidx/print, 26f5f8b102a2f3012b8e62df0ea2094e}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 465b910310fc0ec31fae6a8fc3644b4e}
androidx/camera/video: {androidx/camera/video, 9ac1a8336d46ece6dacc09446662ccf8}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/tracing: {androidx/tracing, 8bf37c8222eefd24cc3a738dbc6fde35}
androidx/camera/camera2: {androidx/camera/camera2, 32a1f23fbb768f1c257faba7eda1f5b1}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, e0942df141e5bf9d1064732b009b82e0}
androidx/concurrent/futures: {androidx/concurrent/futures, f8c131e3aa2d710669b5e8d108661bf6}
androidx/customview: {androidx/customview, 664a1cc7b026d0cf509e0b8c2e1303b7}
androidx/window: {androidx/window, 72ae345ceb6ccf8521d6c3cc4b97c3cb}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
androidx/camera/core: {androidx/camera/core, ea9db63290013f9fbb58b7b17f5d2edd}
