org/joda/time: {org/joda/time, ba89baff36a2a78be1af63d6c9080330}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
io/realm: {io/realm, 895303a7f2ae996629182524c7d2c7a0}
butterknife: {butterknife, 6efc1590cbe9db3e5e7c687035597fcc}
com/jonasgerdes/schauburgr: {com/jonasgerdes/schauburgr, 0fd90575479ae4515801bac924a8db41}
android/support/fragment: {android/support/fragment, 4684123c09ca1ec5f26d910877afdad9}
android/support/annotation: {android/support/annotation, 66ab5680af85d2e32a9e57f6c8280650}
android/support/coreui: {android/support/coreui, 4684123c09ca1ec5f26d910877afdad9}
org/reactivestreams: {org/reactivestreams, 907475feef0ab7fa1cd750a3bc58c144}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
okhttp3: {okhttp3, 03eff2da4a1e76f2138f72d421bba67f}
android/support/transition: {android/support/transition, 59457df1a8ddb2f2b0baf5e58f521bb6}
android/support/constraint: {android/support/constraint, 53c7a6611269cb7d52646808fa5c4fef}
dagger: {dagger, a1b07c4be00431c85af7bf42bceea0a8}
android/support/v7: {android/support/v7, e7d00c6c53f7d8fab1ee0a95c7f118c1}
android/support/compat: {android/support/compat, 4684123c09ca1ec5f26d910877afdad9}
butterknife/internal: {butterknife/internal, 7aef57caf5e1918a6020d024b02074bf}
dagger/releasablereferences: {dagger/releasablereferences, 8aa7bd7b9eddb0c8dddc509e66f9bc28}
android/support/coreutils: {android/support/coreutils, 4684123c09ca1ec5f26d910877afdad9}
dagger/internal: {dagger/internal, 52abf8671e83fc3a232af69f2b8d8772}
android/support/graphics: {android/support/graphics, 0bc254a4db45cae5a5b0404e5bfb94c3}
retrofit2/adapter/rxjava2: {retrofit2/adapter/rxjava2, 20acfd9a1e958bbc7f65406a9ef9e48f}
retrofit2/converter/gson: {retrofit2/converter/gson, d68dbae27dbec0a9aec8d341461d51e0}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
com/bumptech/glide: {com/bumptech/glide, 0a734315f1590e0a8a7e03ff54ef7328}
android/support/customtabs: {android/support/customtabs, 5b11f7662d9dad3bf1881eef7c8567b5}
android/support/design: {android/support/design, eb8319f3366a07f28dca8a26e792532b}
io/reactivex: {io/reactivex, 24e59109b9a3e15592c5507f0277fb39}
com/f2prateek/dart: {com/f2prateek/dart, 6eea924314c20585b50d7441b9feeddd}
okhttp3/internal: {okhttp3/internal, f2fa9defe2dba85c07f028bd1f2b099b}
android/arch/core: {android/arch/core, 0b0e640e76f4b6ce104f7394120ba4de}
android/support/mediacompat: {android/support/mediacompat, 4684123c09ca1ec5f26d910877afdad9}
com/google/gson: {com/google/gson, fce27f327b5adb713e0244d9a088afb3}
android/arch/lifecycle: {android/arch/lifecycle, 6d4a2c80c2e3b6e0f0aab5e64c298de8}
okio: {okio, f9e66d9e0c87cc782a7b1309ef4883b9}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, bca88a4c42d47f122a476c957df7b894}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], e8dd4c78cab6babf3641739954310272}
retrofit2: {retrofit2, 85e4c152b5acdb8c502f37f54e5794a4}
