a6: {a6, f694a6bbef10cca84b8e2acf12a8131b}
p2: {p2, 7dd91a54c2e3e352d23775ec46ead5d3}
t0: {t0, 38a806fc6f6d7e14d751aa5bb45774ee}
j: {j, 8bef5cf29e57ee3c21538ac1eafc853e}
c1: {c1, f62745b12441673f4d726c81092d65f0}
q4: {q4, 11b2d6053288cfc2ebbead458d7d1e7b}
androidx/activity: {androidx/activity, d9cd3709355cf620201fd17b44d142f0}
x6: {x6, 9016fe7b313f8bfbfa4f09c3ca384112}
v4: {v4, 3e9a5074d12ed71b37f20a7ce3fd3423}
l1: {l1, fb5a3708004dbdfad26e3be90cfc19c6}
androidx/preference: {androidx/preference, a9ee452a58550ce9fdc0bdf23ce98504}
i4: {i4, 5b22651b393f0b4c3a445576e5220912}
androidx/core/widget: {androidx/core/widget, 4ecf53b2efac1e9bbf9b7fc1c97dd901}
g6: {g6, ee1f6e2f4ef9c8bf4e34019960a87f5a}
o0: {o0, 1b98f46c1cfaf7b8239ad26bb40ec4bf}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, cd4228a4d56dd8033bd6f624c440da7b}
com/github/abdularis: {com/github/abdularis, 24df4d49f3e1388d6470c5cd3c01c85c}
y0: {y0, 21812f9e9011d7a92bfb5dda5138b428}
com/google/android: {com/google/android, ed40ceebb99534151dd50606768392b8}
v2: {v2, 92cc180d174ee8e3eaca027a3e1de297}
z1: {z1, 1f83568148ab49f25587dea058386ebe}
m6: {m6, 22552d7134e718ec53e61b93f3ee928c}
t2: {t2, 89b3b008d1cc9a3fdef4651f9413ea2a}
w0: {w0, 043712a04211839dc6f3d8aa9418eac1}
r1: {r1, 54f0744a24e73c45b4c86371b02ac8b3}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 950b1f977e57e95173af9899dc0d9e30}
e6: {e6, e381f6991873210ea6cc1b6be99b5314}
j5: {j5, 14ca163f0e8bf268205b4fadd45709d2}
l: {l, ded2b14e2e905febaad5ba5fc05e5047}
y: {y, b9f6436ae28b7ceccc433ad1dfc67a33}
f4: {f4, f1f3acf85443505d1b42fe09385a47d5}
b: {b, e26ba6bbc0f73d126b35b1b9d70ddc5e}
k: {k, 683a1a671c48d5746a7f3cd2e0d15663}
g1: {g1, 5140e3e0d088c62b7928ece4e9a07735}
c0: {c0, f801e2cf793cfc498e2d49ae75b3f653}
a5: {a5, 73ed703cb536b7645e2afa4e41be4e29}
p3: {p3, 8147c5a6ea963fc6e7f6955939e5c794}
e5: {e5, fe890a7198aaec852d449c2ec8173bc8}
b2: {b2, 20c764c69ed69295efd07682a12c112f}
q3: {q3, f3e12a9ef13158f67592d4465e220514}
d6: {d6, b375c9415bd9a42667b7d7332d5cdfcf}
l2: {l2, e409ba0c3d10713da26e99d03ee40ee9}
i3: {i3, f6157668a871c9e99f30dfc1112d8496}
androidx/core/graphics: {androidx/core/graphics, 8ae3fff427d1f7a1ec385d299e674cd2}
o3: {o3, 9aa49040f45ca15c3061d7e1cb2d4786}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 6a2ea207255dc8ad36d6ae5ffd94007f}
androidx/savedstate: {androidx/savedstate, 0ef030f80dfe9d4473b1cef9df710d0a}
m5: {m5, 98a56afd002bd90edc87e3c084866934}
t3: {t3, 4e3e0a7350197404cb0758c9962bea7e}
j2: {j2, 68cb8038e7784ffefa6de7eac2469c23}
v3: {v3, d3f6291265d1231d160e2dc5189de8dc}
f7: {f7, 11e47df2564b2d02ff168ad1de1b77f9}
h2: {h2, 6dfac82979c5693153fbd26dea256e73}
n5: {n5, cf52b482a4601c94acfbaa6037e1c4e6}
u3: {u3, 71b11d7ae27c469c4a3badba8e8d346b}
r: {r, c7787991594c2f36ff7b6550cbe9f0e3}
z6: {z6, bf78859827d5a086e77cdc38f114fafe}
f5: {f5, 1917733920aa5cb7f48c1289e0371991}
androidx/appcompat/view: {androidx/appcompat/view, e7f0cf6d79549c5f436c86fbbdf428a4}
w3: {w3, bf415df5a975c023da97f28397288ec2}
z: {z, 738865ddc27911e4dcebcfba1fd6f467}
r6: {r6, 0ffc6bab86168a022ea64df9bd11fbc2}
d1: {d1, 9688a489fc4dd8f36bf82a1db69f5883}
c: {c, b32d2b4c836a560d35474a6eb54ad5c0}
k0: {k0, e5f46c320840881a2b754d650718a315}
dagger/hilt/android: {dagger/hilt/android, d067db0140ece007cd012948b3f9b5ec}
androidx/databinding: {androidx/databinding, 9e0cddf87d91ef48644f288ea77b65e3}
androidx/loader/app: {androidx/loader/app, bfe4abb618d1ad52d4335c63a1e57b22}
g0: {g0, a5ee3e610256aa1e1b682f8061004d8b}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 533fc907b41a1d81b6151866576c9378}
x0: {x0, 19d5484652299f3dd76156ee155c47f2}
y6: {y6, 38d0f191aefbbcff7ef795b028f9b5e2}
androidx/room: {androidx/room, 1498273f3b313b1664a618ccae65f7ee}
w2: {w2, 6481e235ff0346841f210e8a3e1cc11a}
q2: {q2, 458d71877c85e49f254445fea3bb62d6}
e4: {e4, d2d600ac5f5e091f772fb20b08845d2f}
o2: {o2, 72009b77b82cb348c89267dc96c32bb1}
m3: {m3, e7d7befb2c4c5999d5cfb37a6468bb84}
i2: {i2, 31c1051247cbd934ec54a388f690b7ef}
androidx/lifecycle: {androidx/lifecycle, efcd900d40b580e6c6f244b5e47fe9b1}
com/chooloo/www: {com/chooloo/www, e4f069cf65c66f3c801ce84fb151d20f}
c3: {c3, 2a3457070c64c1947f5bce546906e613}
a4: {a4, 711b1fd068829a2d418aec037e9ff43a}
h4: {h4, 88bbb9fd48a8a8b56eb1fde662118314}
t: {t, 97a6efc6460a5ec8961af3d6173eccd4}
g2: {g2, 7f6f5f4e76db9a0bbda4835803b4a6ee}
androidx/media: {androidx/media, cac973247cd62d02ef1d0bfec2dff78b}
j3: {j3, dff08e5dadd28f794d2f5b5e5b9f502b}
m4: {m4, 8f4909334f1d3ad929b8ec65b42cd8e7}
t4: {t4, db9bac77242c5093af0d3071ae785b22}
u2: {u2, 7d4b53710e1bcd63ac038e2450691717}
s: {s, 4bbf59bd07e21b7c0dfc1c2444d4c344}
d: {d, 1a6f00c4e9b05880d57ce8cbe79a3782}
androidx/startup: {androidx/startup, 131abce5fc5ebe7e1684037bc13d5652}
h3: {h3, c4db8d91711b1808f734ebc49495d047}
n2: {n2, 28c529f32f5812cfd4ec25e678d30b93}
k3: {k3, ade762e9ec7a2a3d4fb022f64362b6aa}
p4: {p4, e1088718931bb225e8f504a0c867759a}
r7: {r7, acf7ef943fdeb3cbfed8dd0d8f584731}
b5: {b5, 7b61de25fbb453e982f5e10842d32585}
f2: {f2, b0ed328b170170f2bfb3cf1af41e99dc}
v0: {v0, 3c88ac0b62e4f98b1aa0ef34f2c390cb}
d2: {d2, cc0cfe0e55663420362cdf0696736f65}
q1: {q1, aa477875222600076acfd1f41e38d98e}
x1: {x1, f28d7ff009043b10f7108e8154c0c7db}
g3: {g3, b1485fa6e54cc4c721fbd4bae89f0b31}
r4: {r4, 310c0e0995315374f969de277fc0f568}
androidx/compose/ui: {androidx/compose/ui, 07e9fee733973943d4b5c04f7509b3cf}
y5: {y5, a28a2edb5f48d7ae8e7d116d5f5363fb}
w5: {w5, 90ebeb9d3090ee0c93f88ec7cde78f22}
m2: {m2, 9bb7097c589834b60894529f9130d45e}
s4: {s4, 6d6857cec6a54500a3590ac9a6193ff5}
h5: {h5, 32d32510f89d365a9c79abde77234f91}
c2: {c2, 00a0a8b4a5e7fa18185782e5003cfbd8}
u: {u, 961d20d7b173c027a1e9d28d4056c424}
z4: {z4, 428f91a19a1b8178748d21c40a0e5947}
androidx/fragment/app: {androidx/fragment/app, 7fcc53f56e39df93e91a3b6b70c811fa}
t5: {t5, b2a2955061ced04cd62af131e6ebbdc0}
j0: {j0, 2cd1515225eaf59d74467d08c281294e}
l3: {l3, 6917279dcc460108c023970d861c4784}
n3: {n3, 4b316647f16b8e4905d5388912c8d40e}
e: {e, 4887b7692552b1513fe5bdc48f2b9640}
p5: {p5, 30f9bc06f2b0074adf09befbe0792d6d}
d3: {d3, 55eff6bc4a08d1d06c37bb0a46945d09}
l0: {l0, f458d4abe83c3d52a6363124762375f5}
f3: {f3, 56be5424fd2c9acba46cb980d3923485}
k2: {k2, 05c3c8e6b9095d555914bc1d0fef1a1c}
m: {m, b300bdbfd194dfff11a20d3093be7a88}
