androidx/appcompat: {androidx/appcompat, 1019772b0aaac4a236e68942527835f3}
androidx/compose/runtime: {androidx/compose/runtime, 55839ec8b801a0b25ffc1116af26c90f}
androidx/activity: {androidx/activity, 31a60ddfea94cdd3e1245927bd28006e}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 9659f664f74bde59520f6f13df4f5bba}
androidx/compose/foundation: {androidx/compose/foundation, e02962087dd1c3d0eb707313b614b21e}
androidx/compose/animation: {androidx/compose/animation, d7dd2c08ec3165c7d7e6a2cbe18bf2f2}
androidx/autofill: {androidx/autofill, 1effbc3ea6665af7596b836a921e6a9e}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 17e62059b19eb6329b4381902a2922e7}
androidx/core: {androidx/core, 73388aa88d72016d4df4d0879f9a6e26}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, b5f423d1c27757cfbadc72fc90c4ae89}
androidx/collection: {androidx/collection, afa00e273b7152443eaf16851eeabea9}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 1b78c5698572e632774f3d823a37abc9}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 8899ba5c49f590b08bcdaade61408fab}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cardview: {androidx/cardview, 52e6ef40923ed588ee83fe6a4a1e62bc}
androidx/compose/material: {androidx/compose/material, cb6d6335e7b5df2567d0ff174bd70e77}
androidx/constraintlayout/compose: {androidx/constraintlayout/compose, 967dc4f105f9afaf85c2e9ced6bab067}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/arch/core: {androidx/arch/core, 37cff17dc3041ca3fa3a47929cbc87f4}
_COROUTINE: {_COROUTINE, b9e03afa41bfbc9ac34eb3e477cb9952}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, fa57f0e87601f5f49f361cc2b18a67cb}
androidx/concurrent/futures: {androidx/concurrent/futures, 12fdf10cbe96be755b75a95e261ae1ea}
androidx/compose/ui: {androidx/compose/ui, 239033cae1edbc333bc8dfbf6f001591}
androidx/annotation: {androidx/annotation, ce1e62409ea897c18535670dc8e2d6ad}
com/google/common: {com/google/common, 2f98f4fd60829d2567feda6a980af495}
