kotlin/collections: {kotlin/collections, f944cb0e14e7d7b28ae0180a4c5f7833}
android/support/v13: {android/support/v13, eb3a43cecb6968ea62fcc6fce902b5ca}
kotlin/jvm/functions: {kotlin/jvm/functions, 9c6c0b66d6c47154da14ad4cd741c190}
org/objenesis: {org/objenesis, a14b49ce5e4140fac793a71ade3e15d6}
kotlin/io: {kotlin/io, f17970c9fae555b9965b29c5bfc95aef}
com/esotericsoftware/kryo: {com/esotericsoftware/kryo, 4fdab008e6f008d670f597d820d7f818}
kotlin/internal: {kotlin/internal, 382e6c5c1dca8fb0cb584b37f0318cb4}
com/jwetherell/quick_response_code: {com/jwetherell/quick_response_code, 55705cc3b4982c07424decab44f52a35}
com/borjabravo/readmoretextview: {com/borjabravo/readmoretextview, b5a879ce355de4e5dbd569cbe6e52049}
kotlin/sequences: {kotlin/sequences, 5a4492b3edd7b364385ba1b943676abc}
com/android/vending: {com/android/vending, d840f5611319a06fa538f79b7b82510b}
kotlin: {kotlin, 3cba6c29a3e11fc167eaf87853d65894}
org/markdown4j: {org/markdown4j, 6e4312e673e8e314356a6c43e93396bb}
com/dlazaro66/qrcodereaderview: {com/dlazaro66/qrcodereaderview, c2d349a48b9199071b662244a08c265b}
org/spongycastle: {org/spongycastle, 6aa0350d53dc5b0750b69a8db4f3cacf}
com/google/protobuf: {com/google/protobuf, 3f262932f16270cb1ab490f244306b9b}
me/zhanghai/android: {me/zhanghai/android, 94abbc6903488f062151dad774ab649b}
kotlin/text: {kotlin/text, e308b2184fd7b8cd1b632bb6eb9902fc}
org/openintents/openpgp: {org/openintents/openpgp, 9d23b0b747d23d5c8a74cdea1b3e885c}
androidx/versionedparcelable: {androidx/versionedparcelable, 1cc1df40e26406c511a1e8c54c721a13}
roboguice/util: {roboguice/util, 687c6bfc94a1c60c90c16cf15dcf3b9a}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 580b53cc8167bc42c77ed66d1415594e}
android/support/transition: {android/support/transition, 71992b921d67739010a6d38e17d899f3}
com/google/zxing: {com/google/zxing, bc578402358ab431b9847cdb1fdce1af}
com/nulabinc/zxcvbn: {com/nulabinc/zxcvbn, 9d167d61d9b070e3ef3a00b265cea7fc}
uk/co/biddell: {uk/co/biddell, d0ec28a24952ccbb601bd1d263b6ad17}
com/kobakei/ratethisapp: {com/kobakei/ratethisapp, 9d47fe397e161585053c872a9d07555c}
it/sephiroth/android: {it/sephiroth/android, 1f18219e0de6d6581e0e9d4b58f5717c}
android/support/v7: {android/support/v7, b5819e6ad7b15dbfc2b4fcc545ad1b85}
android/support/compat: {android/support/compat, 1318fe44ccb7737aae8bc6913d5286c8}
androidx/media: {androidx/media, aa46158cbbfa748450ea0bbb567fc941}
kotlin/jvm/internal: {kotlin/jvm/internal, 14922d25bb871270d87637ed81a5cdf4}
net/rehacktive/waspdb: {net/rehacktive/waspdb, e3491ac2ee4e1bdbc6bcec31f8a7c692}
android/support/coordinatorlayout: {android/support/coordinatorlayout, e82821c817e50be822e633175c4abe95}
org/apache/commons: {org/apache/commons, e3b34f2d3e1e2180701f101b30e67be4}
android/support/graphics: {android/support/graphics, 2295d2c1d4d8d89215aa1c334e77aef5}
org/objectweb/asm: {org/objectweb/asm, 440c99835855d584001bf911620ccd8d}
org/sufficientlysecure/htmltextview: {org/sufficientlysecure/htmltextview, 516ba18a08c8d00cc1096c2bb368d736}
androidx/core/graphics: {androidx/core/graphics, 909531f5c3ee457abb71167345a2174f}
android/support/design: {android/support/design, a86f849f3c237d637b836bb3ac8a32ad}
com/esotericsoftware/reflectasm: {com/esotericsoftware/reflectasm, 079139e76e66e0009aea28a6a623bba6}
com/github/rjeschke: {com/github/rjeschke, ff8a30901ad8c96101516f83446f8bea}
kotlin/ranges: {kotlin/ranges, 3df3fab623a46d2807d957ae9b858b3e}
android/arch/core: {android/arch/core, 141b4463f0ee14cd68ecd7e209047d12}
android/support/multidex: {android/support/multidex, 2367646e292b3aada16b7c652bacbd1d}
kotlin/comparisons: {kotlin/comparisons, 975f0ab1ddcfeece7726a23e88843fe4}
android/arch/lifecycle: {android/arch/lifecycle, ec04d31b6f5d7ff6d60e5cafb72709f5}
io/oversec/one: {io/oversec/one, d95f59e55a3606aa8510e389a7926b50}
com/esotericsoftware/minlog: {com/esotericsoftware/minlog, 01bd53ea122441b3fc269780bec96af6}
