com/google: {com/google, 7a5a0dbfb1a93db06af7dc14be08d139}
io/fabric/sdk: {io/fabric/sdk, 214297512b8f1c7a09dc1745baa636cf}
android/support/annotation: {android/support/annotation, b0adb10c115d59b33d39026729be4fc6}
com/android/volley: {com/android/volley, 9c3dae678c9e3b68d1e42405969ad279}
uk/co/deanwild: {uk/co/deanwild, 154d7a43b378ab97a3e42846dd7a82a0}
jp/wasabeef/recyclerview: {jp/wasabeef/recyclerview, 906677208c03366e1925acf99ba4ab83}
com/facebook: {com/facebook, 4c17dc4812795a5c44192d957d8408b6}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, 8f5fc151934b0889fbb4d7ddfd1dc6d9}
bolts: {bolts, 0c93f7d3e7ae9db6312948088a921ccb}
com/crashlytics/android: {com/crashlytics/android, 7913ebe7d06c97e86a30a87a9612c55b}
android/support/v7: {android/support/v7, 873de4f4fa9a3a5d33bc06ffcd595fc6}
android/support/percent: {android/support/percent, caaf908918f26700c784b74a87229ad4}
com/bumptech/glide: {com/bumptech/glide, 9c99ba1f3d78a72b931cba4f1e489e51}
android/support/graphics: {android/support/graphics, 99dbe64bbfca9eb00944faab9ce45740}
android/support/design: {android/support/design, a779e4e8b47fbf9dec75dcda3a8b0113}
org/jsoup: {org/jsoup, ab3fe2a0178d821e55c92ba16f305afe}
com/amulyakhare/textdrawable: {com/amulyakhare/textdrawable, 15e8c5cddaa88d08a8ef67147caf7765}
android/support/customtabs: {android/support/customtabs, 6ada5995a509a6eeaee0497254592c61}
com/hybrid/freeopensourceusers: {com/hybrid/freeopensourceusers, 7af38d1eb28fbd1502586194029b55ee}
com/like: {com/like, aa8fd27d1b795b4578eaa81ab3a3fdc8}
com/isseiaoki/simplecropview: {com/isseiaoki/simplecropview, 782eb7761906fb3201da0bd2c6eedda6}
android/support/multidex: {android/support/multidex, 41c81197a790d7772c3bb99570037045}
