rx/observables: {rx/observables, f2b7d2812237f3f4a0900d7a5d801bb2}
rx/functions: {rx/functions, bb7002929ed128381581ffaa3d38995b}
com/annimon/stream: {com/annimon/stream, 7851bc1972cf8f00c4f68473082f890a}
retrofit2/http: {retrofit2/http, 987d4ae0f1c9f0210bcb1a5302104828}
rx/subjects: {rx/subjects, 2a103111611d0293dce55bd14ff250a6}
rx: {rx, 5552d463f3f3606d44e51963a5824867}
org/joda/time: {org/joda/time, 8689836617e9290dbae545ea7a3c3e62}
butterknife: {butterknife, 7b11800662f755021eb04ecdaf69142e}
rx/subscriptions: {rx/subscriptions, 7f3deeaf3c99fc6c16ebb958743a39c4}
jp/wasabeef/picasso: {jp/wasabeef/picasso, 00563b6c27dc64b0272c701b87bd2499}
android/support/fragment: {android/support/fragment, 0db390eeeb150a4b7e83ec8056f6ee13}
rx/internal/operators: {rx/internal/operators, 37027b2f40fbdd7f1d37fffff5f081b4}
android/support/annotation: {android/support/annotation, a7700a1f1325ab816fd3642a22787c6f}
com/j256/ormlite: {com/j256/ormlite, 47f55a5629b196b7be219dc0322b63f4}
android/support/coreui: {android/support/coreui, 0db390eeeb150a4b7e83ec8056f6ee13}
pl/kodujdlapolski/na4lapy: {pl/kodujdlapolski/na4lapy, cf64321608b9279d480a5f479b685444}
retrofit2/adapter/rxjava: {retrofit2/adapter/rxjava, ad9371d924bcd2ca38648d8f3dcd0aca}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
okhttp3: {okhttp3, cb6dfbeb33ecb6f9d39893575ab46513}
rx/observers: {rx/observers, 61d2f9cf8c7bdb65e1be5041670aa064}
android/support/transition: {android/support/transition, fd1b847fb58bb5e2d34b9fb1394de699}
okio: {okio, b7659da7b6de46083d37ba022240d095}
dagger/internal: {dagger/internal, 4440d07446fd5080216f07693a6eb7c7}
dagger: {dagger, 46e2134f15f8c99bffbb9ef684115b43}
android/support/v7: {android/support/v7, fd57f140623ce3926ade2fd914fa3b0e}
android/support/compat: {android/support/compat, 0db390eeeb150a4b7e83ec8056f6ee13}
butterknife/internal: {butterknife/internal, 28bc2a6020c9f8c453e8c880eb35a886}
rx/singles: {rx/singles, 525206ed3d3be0182b601ad54ad6c67f}
rx/exceptions: {rx/exceptions, 7d341352232282ae9b260d14a646d456}
rx/internal/producers: {rx/internal/producers, 13dd81a65f0052963f093dbd41ebb372}
com/google/thirdparty: {com/google/thirdparty, 86fa68a9744e24889e8f449259472733}
android/support/coreutils: {android/support/coreutils, 0db390eeeb150a4b7e83ec8056f6ee13}
android/support/graphics: {android/support/graphics, 119895fcb6e4ff386a92243d6d2b5ac3}
com/google/common: {com/google/common, ff7354974b8f219a7cf5387ddb0197db}
rx/android: {rx/android, 5e5eaf1f205a690072e58f78ef4522a2}
retrofit2/converter/gson: {retrofit2/converter/gson, 8e4a8103d3b9f988d7fba78c302c89cf}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
rx/plugins: {rx/plugins, 7f9805331f0cae6ffb98754039308909}
android/support/design: {android/support/design, ff72b85a17a807363441236c7ef5ae64}
okhttp3/internal: {okhttp3/internal, 2151b3ae0cf0e597342ec21259254949}
com/lsjwzh/widget: {com/lsjwzh/widget, ed81f3021ba5daea8e9332e9c3fc6e82}
android/support/mediacompat: {android/support/mediacompat, 0db390eeeb150a4b7e83ec8056f6ee13}
rx/schedulers: {rx/schedulers, 5d08490bb4a14259e234202f3156da79}
com/google/gson: {com/google/gson, 8e15f1d4d45af944dea2d3fed944381f}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], e72ba4808f9ba109280da0c902f6966b}
okhttp3/logging: {okhttp3/logging, 9e42169126e04ac7b21be3f77fdd47a8}
net/hockeyapp/android: {net/hockeyapp/android, 24bc0296e0be2b00b055ce4c381ef4aa}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 3d9d0ed2faeb07e7cab6930b7d1b6a87}
rx/internal/util: {[rx/internal/schedulers, rx/internal/util, ], d340c3c76646dd6278839c35305bd115}
retrofit2: {retrofit2, 9b3e20cc32614928947e1f059c26c876}
