androidx/appcompat: {androidx/appcompat, f5002793801a71894e0824bb77f77bb9}
androidx/compose/runtime: {androidx/compose/runtime, fd189acbd07fd92440eb16cc3656e517}
androidx/activity: {androidx/activity, 4fbcae34ae1df6b0fce08976ee31ec4b}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 510df44333797661d57d89a60a39ed86}
androidx/compose/foundation: {androidx/compose/foundation, e0b6731652365d60c9eabfe1ebc751a8}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 48e47066438647fa5b7f580cc5261766}
androidx/compose/animation: {androidx/compose/animation, 2fe5caf3df31fc77f6d99fe61b6f45cd}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/autofill: {androidx/autofill, 1e1b60d69aea4829c1707e30a6bb06f4}
android/provider: {android/provider, 5fac9e5a1bf7b298bea0e247571ca6f5}
androidx/constraintlayout/core: {androidx/constraintlayout/core, b6471177857b9f470fe4c9e2f999213b}
androidx/core: {androidx/core, 7f831ce0bb3aabf6d1c04349394e7368}
android/net: {android/net, d0e43739b9185fe8298c00b27ccc8c34}
androidx/collection: {androidx/collection, 5c4da5ceacaadcacf81ab753fdd8fb7f}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 9271760c7f8a06357109f00f99bb1822}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 71b57962e133a3c5927b89904261e5a8}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cardview: {androidx/cardview, 813c9a3f5f405d0003445ddd39e07616}
android/database/sqlite: {android/database/sqlite, e6b004b5c0652e79a5e6e86df4985693}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/compose/material: {androidx/compose/material, 05cf9ce347784021a2637d692735133b}
androidx/arch/core: {androidx/arch/core, 13f0b9695b97a7e6f56986908e99c838}
android/annotation: {android/annotation, d333e240349eb149201faf5e4fc63e32}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, fcdf893a617e0f3ec55bd90207c81e3e}
androidx/concurrent/futures: {androidx/concurrent/futures, 779e7c9aa0c7d0d1ca4c2ccb11a4cd74}
androidx/compose/ui: {androidx/compose/ui, d2e07cb4c4ba04bc30f5258714072083}
androidx/annotation: {androidx/annotation, ce1e62409ea897c18535670dc8e2d6ad}
