kotlin/collections: {kotlin/collections, 67bfbac1b83fa9db1213be2e47cec156}
org/joda/time: {org/joda/time, 389ba469448dfe0eff6448de6426b626}
kotlin/jvm/functions: {kotlin/jvm/functions, e381f6991873210ea6cc1b6be99b5314}
org/bouncycastle/operator: {[org/bouncycastle/operator, org/bouncycastle/util, org/bouncycastle/crypto, org/bouncycastle/math, org/bouncycastle/pqc, org/bouncycastle/asn1, ], 5fcbb5f840a33173b1730b42d4d6e59d}
com/ubergeek42/cats: {com/ubergeek42/cats, 7221abe7cc5cd6bf578800b705a2b217}
com/trilead/ssh2: {com/trilead/ssh2, dabc83b698a07e42bdfe449f75c3f426}
androidx/room: {androidx/room, 03414492c97cf485e586ed1eb8010ad6}
androidx/activity: {androidx/activity, 70716a2c6fa8f987ece992f7122bfbfb}
kotlin/sequences: {kotlin/sequences, 625a70840a5bc2ef189e6df7d8748daa}
androidx/customview/widget: {androidx/customview/widget, 575d91c4422f757c4b1d28c4fcbc48ac}
androidx/preference: {androidx/preference, 6574e5829451547b4fd2268e54734d02}
androidx/sqlite/db: {androidx/sqlite/db, d3349d9584ae3b82981e952c35c718de}
androidx/appcompat/view: {androidx/appcompat/view, 3462de7f84ee593e0494ced29168b22d}
androidx/appcompat/widget: {androidx/appcompat/widget, dea5b031670bc65686509b60ad90b8ec}
androidx/lifecycle: {androidx/lifecycle, efef34853393439afff8f92601ebe23c}
kotlin: {kotlin, 0c4895497d710d511bdb67c2d8c8bc5a}
com/ubergeek42/WeechatAndroid: {[com/ubergeek42/WeechatAndroid, com/ubergeek42/weechat, ], e5e5ba97f1d5c9543a20789c5b699dc9}
androidx/appcompat/resources: {androidx/appcompat/resources, d13bee12b7e63c546048e39e93a55879}
kotlin/enums: {kotlin/enums, 403db999cf014b4207cb76a1b854e7ef}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 96200fb1121a023a3a661fdd94fc7999}
com/neovisionaries/ws: {com/neovisionaries/ws, 3cfc244cb4498e5ef57c723623af3ab8}
org/bouncycastle/internal: {[org/bouncycastle/asn1, org/bouncycastle/internal, org/bouncycastle/math, ], 1aefe37bdbefbd0857dd650626438817}
kotlin/reflect: {kotlin/reflect, e3c0a425ec2c47b67599a8ff5554c565}
kotlin/coroutines: {kotlin/coroutines, 334aac6af518b53f4728926c3675d55d}
kotlin/concurrent: {kotlin/concurrent, a561be14c39367e4b2d07031ef9e1c02}
androidx/exifinterface/media: {androidx/exifinterface/media, 2dec7064bdb93774d8876e0e6dd997c7}
androidx/versionedparcelable: {androidx/versionedparcelable, 66b4b6f0372a061ea67ec862e480a670}
okhttp3: {okhttp3, 020196e029e8967a7f080fd90d90d694}
androidx/viewpager/widget: {androidx/viewpager/widget, 676ded0d058d369e2cfd8c476b313c2a}
androidx/core: {androidx/core, e611402735dfa6efa5c3b4c26d1eaad7}
androidx/appcompat/graphics: {androidx/appcompat/graphics, 276d5e783eabf4580bf596dc6daf144f}
androidx/collection: {androidx/collection, b44989dbdc80336bc69a543198580071}
androidx/sqlite/util: {androidx/sqlite/util, dce0b596601dc8d929719428f59faea6}
androidx/transition: {androidx/transition, bffcf7ccf21f4d39e38620857232e4de}
kotlin/random: {kotlin/random, 8a8abf11eaba8edd37452aa4d321f614}
kotlin/jvm/internal: {kotlin/jvm/internal, 08a1c8ffb62c7dd2c5b78a8b4c3a1f5e}
kotlin/internal: {kotlin/internal, 3abefb78a5905b89dc28b0a94e8ab9a3}
androidx/appcompat/app: {androidx/appcompat/app, 6fb8a1cb03b4f7da47fc2524f1486b89}
com/google/crypto: {com/google/crypto, b63db7debfc01987aefa4095d7edf3d9}
kotlinx/serialization: {kotlinx/serialization, 825348a9550f1d0d80dfe1561c23fb35}
androidx/appcompat/text: {androidx/appcompat/text, d093f3325b115a8e86fe7e7c550024aa}
org/yaml/snakeyaml: {org/yaml/snakeyaml, 5fbe977f70177de2c668cdc74f9cf2b5}
org/bouncycastle/openssl: {[org/bouncycastle/util, org/bouncycastle/jcajce, org/bouncycastle/openssl, org/bouncycastle/jce, org/bouncycastle/math, org/bouncycastle/crypto, org/bouncycastle/asn1, org/bouncycastle/pqc, ], f3a5c7e4c3339e8c26ff789592d2dd50}
org/slf4j: {org/slf4j, 134d7fa3fcb83bde82d0de823addaee8}
androidx/media: {androidx/media, a5a966f000572036931f025d5fcd05d3}
net/danlew/android: {net/danlew/android, add7169457e5e0ac249496c96429b5a7}
kotlinx/coroutines: {kotlinx/coroutines, 5c5b66f3668fb5bf8882e60b24eed928}
androidx/recyclerview/widget: {androidx/recyclerview/widget, eca0b0d8bcd0734f7907ebf810f4057e}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 0a012ba16c2ed15ed0d0d2352656693f}
okio/internal: {okio/internal, 58d4afddd8f50be7f6ccd56a59839ab7}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 41010f6f0f213a76f6e2073c5fa34595}
androidx/profileinstaller: {androidx/profileinstaller, cb44b68f5eb4096f0ff4351618f49d4e}
androidx/customview/view: {androidx/customview/view, 5df42777056c7ff4db4521820fd18226}
kotlin/text: {kotlin/text, 5906d64eff92bd8deefe607997c64436}
org/bouncycastle/pkcs: {[org/bouncycastle/asn1, org/bouncycastle/math, org/bouncycastle/pkcs, ], c13b1b91c89610b9eb73470707cab68a}
androidx/arch/core: {androidx/arch/core, 4e7301068940ede79eff4aa24a48a291}
androidx/emoji2/text: {androidx/emoji2/text, 650c08a9986deedbeea708fd78a82240}
_COROUTINE: {_COROUTINE, 93c1c1e7c882f1f5e8e2f094d9ccf426}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 538fd252f068a312776ff9c64895cf64}
androidx/sharetarget: {androidx/sharetarget, 762fedbade47bd61092cee1f29c455e2}
com/bumptech/glide: {com/bumptech/glide, 512d9dfc596ed768873e6cefe5919ce8}
androidx/savedstate: {androidx/savedstate, 82fa9ea6c2c626c75b6df37108b8ac52}
okhttp3/internal: {okhttp3/internal, bf1d36d2fd83faed0a36c8157653ec8b}
androidx/fragment/app: {androidx/fragment/app, 1113c4211af093f88b986746dfe6aae0}
com/jcraft/jzlib: {com/jcraft/jzlib, 34283183f551f6cee255105df39ac808}
org/mindrot/jbcrypt: {org/mindrot/jbcrypt, fa35d9b1c40ea171fe76f1c2499694ef}
kotlin/ranges: {kotlin/ranges, 5ed61b70f6889bfaedd7dbe59d94bada}
androidx/tracing: {androidx/tracing, 8c9cf8b5d5bdbce3e3e0bff31e026ba9}
androidx/startup: {androidx/startup, 3960cd23dea39c685e06cb2932ab9e49}
kotlin/comparisons: {kotlin/comparisons, 85ec3311a7d99eb8296022c9bacdf018}
androidx/concurrent/futures: {androidx/concurrent/futures, cad0c5d1f1d1ec8332f6e22f06adafd1}
okio: {okio, 6d1271d1fb4e25cf4f8829d34beac911}
org/bouncycastle/cert: {[org/bouncycastle/asn1, org/bouncycastle/cert, org/bouncycastle/math, ], f8d0a8d2f788544033d859cac1044216}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, c13acc2c371005315655cb5cecd8c87b}
androidx/loader/app: {androidx/loader/app, 9f2f0bf5afd9b15e19c7ee47d084856a}
