androidx/appcompat: {androidx/appcompat, 914d1853b904697aa2066cb270861d4e}
com/esotericsoftware/kryo: {com/esotericsoftware/kryo, ad8d3338f13541da253429810a927fd7}
androidx/camera/view: {androidx/camera/view, 4f98785da68057ee094cae0e2b39fc1f}
kotlin/internal: {kotlin/internal, 7a71fa733ad0ce5e3844d5c17e83374a}
androidx/activity: {androidx/activity, 2b24d1b4e50e525b9901ba398436e423}
kotlin/sequences: {kotlin/sequences, 3fe839a3ed5836fe65fe46dbc25b5218}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 4aa7b7e97d69b1a21b06ac310c4a98bb}
androidx/preference: {androidx/preference, 97a73c94dc099912f6230749a4e01ed4}
com/simplecityapps/recyclerview_fastscroll: {com/simplecityapps/recyclerview_fastscroll, 7ebdc2da3147371229cf525810e8a61f}
com/google/android: {com/google/android, 87468bb500dd84c713ee178fcf83ba24}
android/os: {android/os, fc6f99f70236ce11eac0fb3d6aeb3b33}
androidx/constraintlayout/core: {androidx/constraintlayout/core, a150ad23fb8cc80b9d1297647f2cccc5}
android/hardware/camera2: {android/hardware/camera2, 177cc3fb06525d3e7ed059e84fdd8695}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, b5f46e718f14de7d6dcfb697a0d8ae7f}
kotlin/random: {kotlin/random, 241cd96fdf4563cc4df8d0ac5fababf0}
io/nekohasekai/sagernet: {io/nekohasekai/sagernet, 4714783706844318b5a07ca4f94b61cf}
androidx/cardview: {androidx/cardview, d4fe464d2091e312efe5794436b86f37}
libcore: {libcore, 425023cfb22f8369537465bb747c936e}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 236c43f4ed19aa1080785092e46a92b6}
android/telephony: {android/telephony, c4e9eeb25e17c46354752ac4239a9772}
androidx/browser: {androidx/browser, 5c732e37b51a3b202fda0a1b9f079fa2}
android/icu/text: {android/icu/text, 0c248c7ad95169e1412945fd6b802162}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
android/media: {android/media, 4051f7603a40d4c52dbcbec105c0dbf3}
