kotlin/collections: {kotlin/collections, a141702084ee252ae05f68879bb0f35e}
androidx/core/widget: {androidx/core/widget, 7172290d0b72535db36e2bafa422bd36}
fr/cryptohash: {fr/cryptohash, 721550d25e7f0dad297c8b2a9fb277aa}
kotlin: {kotlin, c224fd25afe5a0dc9ca746a1e937ec89}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
androidx/room: {androidx/room, f33b280c4eee218224bfe3f46c0da921}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, ], 7bbbdbb6f8652eba6c73cab472ebb440}
androidx/activity: {androidx/activity, 0f6809426c6f4e138700ec91c5f4f4ed}
androidx/core/view: {androidx/core/view, b05e9a94141c513d5121cea4912cdf12}
kotlin/sequences: {kotlin/sequences, 4a50b4daaf945fa05ca82a0bc3e88cc4}
androidx/sqlite/db: {androidx/sqlite/db, 33db9432f067172fe81b508a615400a4}
androidx/lifecycle: {androidx/lifecycle, afaf9bd8e4beb1a9e6c0429e92dad048}
androidx/fragment: {androidx/fragment, 282b593cfc64f9bf1b023a6356bf638c}
ch/qos/logback: {ch/qos/logback, e55c0493e975d7ebdae6b417b554bde8}
org/bouncycastle/util: {org/bouncycastle/util, 7d3c99e6fd2ec9dcb36a1294af6bfa4d}
androidx/loader/app: {androidx/loader/app, 3d54e00d2f51c28a85b6bd60ed677889}
com/google/protobuf: {com/google/protobuf, 760491bc8fed01382fdb4c03f7cac37a}
kotlin/coroutines: {kotlin/coroutines, 399ac5cf8c072453ac0e16e50cbcbe48}
kotlin/text: {kotlin/text, 0bf182b02a9b5c5873b44be7d2716d02}
androidx/versionedparcelable: {androidx/versionedparcelable, f28204942f57fd23e1d66bbb636a0bbe}
okhttp3: {okhttp3, 569ecdd372c32a1a0a127e0fd68a4910}
org/bitcoinj: {org/bitcoinj, 6c2d9d90ab6144a14552beb945d9c748}
androidx/coordinatorlayout: {androidx/coordinatorlayout, d561c1d6f129810decee64faf016841d}
androidx/collection: {androidx/collection, f02ae11561c6c3630039d9e21f7d7324}
androidx/sqlite/util: {androidx/sqlite/util, 3d28342940cce4d8f48a3d5c90deded9}
com/google/zxing: {com/google/zxing, e7dfce26da1ce64c9acd43e90355458f}
kotlin/internal: {kotlin/internal, 865dddbd4bb7382fc34afcdf04f23b9b}
de/schildbach/wallet: {de/schildbach/wallet, 490cf67056d4214ea590a99f00466f9f}
androidx/core/content: {androidx/core/content, 00313216e4e1eb2665dc95655019dad5}
androidx/cardview: {androidx/cardview, e0c23dfe6f48babb27ee9b2e7735ebe3}
androidx/arch/core: {androidx/arch/core, 54badc356952b132fa917e18a1ce50f5}
org/slf4j: {org/slf4j, b7eeee5b2a6e1319e825fa3f73e085ab}
androidx/core/os: {androidx/core/os, 2a2d1bce1b171e80f83b5992560c9534}
kotlinx/coroutines: {kotlinx/coroutines, 09a0920fe364f04617120fc3dd3c460b}
org/bouncycastle/jcajce: {[org/bouncycastle/jcajce, org/bouncycastle/math, org/bouncycastle/crypto, ], 36a8a3ac37a6e34f4b3aee419cfbd30f}
okhttp3/logging: {okhttp3/logging, 5d98770c4a4440a31a6760122621b571}
androidx/core/app: {androidx/core/app, f81140962641b284d63ef9b04f1fe45a}
androidx/profileinstaller: {androidx/profileinstaller, 77217d6510c369e74c3b782a1e3edc48}
org/bitcoin: {org/bitcoin, 15f3bf2329dba6af2973b96b881133ff}
com/squareup/moshi: {com/squareup/moshi, a30a2f70771f797f5eaac15f9786c67d}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
com/google/common: {com/google/common, 5e2956e58712c8a9e11002d6c754f9dc}
androidx/viewpager2: {androidx/viewpager2, 79b6d1990d7f23412fb3869d1ceb9f9b}
androidx/savedstate: {androidx/savedstate, 83544450adc6ee722e92a75625a0a0e2}
okhttp3/internal: {okhttp3/internal, fd07b55d3739b366303c941574d8318d}
org/bouncycastle/asn1: {[org/bouncycastle/asn1, org/bouncycastle/math, ], 7a756cef7fb55e541865d858e84bec95}
androidx/core/graphics: {androidx/core/graphics, 83774a35eb0ef5c568b13115a2eb9293}
androidx/core/util: {androidx/core/util, b3b7dbf6ff2c7d2d48f0adf0b84ead1f}
kotlin/ranges: {kotlin/ranges, bd433a3659384228cf3cd7c3d1034ee4}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
androidx/startup: {androidx/startup, 7d4721ee1f27d68ef4b8ce628616fab0}
androidx/concurrent/futures: {androidx/concurrent/futures, be44a7b560d587fc04efab64103b9e43}
okio: {okio, 3142739e2db1fc131a1a7b1f3437a815}
com/hashengineering/crypto: {com/hashengineering/crypto, fb85a0142daa715a0da54aab054e7606}
androidx/recyclerview: {androidx/recyclerview, 46e2ca0d187e80b0b459db1404ef9571}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
kotlin/jvm: {kotlin/jvm, b2503b58765a6244935d896febb89747}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 4fc6632377b181724d9fa8df6ebbdaa7}
