androidx/appcompat: {androidx/appcompat, 662fc67a503f17efe17d24356882dfcf}
kotlin/collections: {kotlin/collections, 65745c5c3b15978b5a7ae50a4db5685f}
androidx/legacy/v4: {androidx/legacy/v4, e97521e81a9f1d37da0597160bf5ab00}
kotlin: {kotlin, cd6d9c46e2591b4f8e9ab3fa25618d34}
kotlin/io: {kotlin/io, 83427d53c89b48a8bbb154e2fcd07591}
androidx/drawerlayout: {androidx/drawerlayout, 69f35193307143fb77234bc719dbcb04}
kotlin/internal: {kotlin/internal, b3e3d2f0fb2f573b9da9f9d9ace03a6d}
com/pixplicity/generate: {com/pixplicity/generate, 0e7df825ff30da79e7995064ea35a210}
androidx/activity: {androidx/activity, f36ee103f87bab538b3cc21686a0c994}
kotlin/contracts: {kotlin/contracts, 43cda2f4a574657b272bdec3c78a3d0e}
kotlin/sequences: {kotlin/sequences, 781e7211b1d18755ada5e0d370600d1b}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, cb7866949df8ab7089aa836f050908e0}
androidx/preference: {androidx/preference, 4c93007ff9c74758c7af283e5d9dd185}
androidx/lifecycle: {androidx/lifecycle, 68e11f5a1512379676363862c0bfa1a9}
androidx/fragment: {androidx/fragment, 0ddcfdb17a483cc35b391e28231154a3}
androidx/loader: {androidx/loader, b4b2a03a905ab1926311dd9192589435}
androidx/vectordrawable: {androidx/vectordrawable, 38e86083110a6b1621578ee2d65ab752}
androidx/recyclerview: {androidx/recyclerview, f79c1c8126ff19481bbad9b0170f1c98}
androidx/viewpager: {androidx/viewpager, efe1c0bc73b79b4229fa7d88c7f123ef}
kotlin/reflect: {kotlin/reflect, 5bfdf4c140189d57503b65a808d0f5df}
kotlin/coroutines: {kotlin/coroutines, 72932dfd8b47dc09cab3f44f4064234a}
kotlin/math: {kotlin/math, 6cf9eb2aa99036be38c6477ef6a83c76}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/versionedparcelable: {androidx/versionedparcelable, 7e7499fa19e0b8861a1126a40b62d42b}
kotlin/streams/jdk8: {kotlin/streams/jdk8, 57a59d6e5af84bcf6c8062f28d351fa3}
org/intellij/lang: {org/intellij/lang, 08fcc9fe620b2a07273a23f0194df8ee}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
com/github/appintro: {com/github/appintro, 8d884d9d711e121011a99894884ee0e6}
androidx/constraintlayout/core: {androidx/constraintlayout/core, e8e262e5fcde10ae0acc1ac0434a6239}
androidx/coordinatorlayout: {androidx/coordinatorlayout, e89fdfd0f3f955971ea2908e1fdb557e}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 5d0c5c9a0c77b16d5ac3c04be17115ae}
androidx/collection: {androidx/collection, 6d3107a5324e50ea6acd398a8c806bb0}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, ea05dc2a72109cb5b381e2452ab5f4e8}
androidx/transition: {androidx/transition, 18fedcd1d8a33c1587ea2758346aab74}
kotlin/random: {kotlin/random, 68163539bc1487b1c8c8d586d2dada47}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, 23403fe3bdfc6754913af81b5d80088e}
androidx/slidingpanelayout: {androidx/slidingpanelayout, a06e8130a9317f3af4ff6bfad1c7dff6}
androidx/multidex: {androidx/multidex, 0b4a76ad40b353585a367f360abcae6c}
androidx/cardview: {androidx/cardview, de1f708856721c01b1099429b1f4a722}
androidx/core: {androidx/core, eb56a397dc3114edc150b66c23a82a51}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/vladsch/flexmark: {com/vladsch/flexmark, bbe067ea304a222b27daff93a977ba70}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/media: {androidx/media, ae5569166339f2d0d883747ea8b3b013}
kotlinx/coroutines: {kotlinx/coroutines, de65a318d0385bc1ed0f64cf0e8198d0}
androidx/legacy/preference: {androidx/legacy/preference, 9add6995a9a3127f035671b7aea03ebb}
com/github/mertakdut: {com/github/mertakdut, b1eae78c1b58547a2e7690616e3c83d1}
androidx/emoji2: {androidx/emoji2, 66b813a90479a822e780e3d57a57b49f}
com/google/android: {com/google/android, 3035297c81b1a9ab0ec232fd33593715}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
