androidx/appcompat: {androidx/appcompat, 65ca7435a934d60f5a5f9a673ea5ba6a}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin/internal: {kotlin/internal, 697e284ffca019f824df8663891613ff}
com/felipecsl/asymmetricgridview: {com/felipecsl/asymmetricgridview, 1347f3306e1821c9b1ed4e7034f95954}
androidx/activity: {androidx/activity, 10872ae102385fa14af735fb3c5d5f0e}
kotlin/sequences: {kotlin/sequences, 4f8c5db9b5c08f830c039928af618811}
kotlin/annotation: {kotlin/annotation, 5ceefce2e30f15116573e0539c5d1608}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, cb7866949df8ab7089aa836f050908e0}
androidx/vectordrawable: {androidx/vectordrawable, 4ddda6bbd0e3649055b318ee0697b5cb}
com/google/android: {com/google/android, ff78f248a4bdcc472e1868d94a31368e}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
kotlin/random: {kotlin/random, 923b55702a19155e8b01b509825ac17d}
dagger: {dagger, 81779608ff52525f18f185e3d51d31bc}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
com/github/tbouron: {com/github/tbouron, faac2da31bb5b30f06fd1c6625ce6a9e}
com/jakewharton/retrofit2: {com/jakewharton/retrofit2, 2887be34c6b8b83c41b205acde3a99c6}
com/itextpdf/tool: {[com/itextpdf/text, com/itextpdf/tool, com/itextpdf/awt, com/itextpdf/xmp, ], df3878f7a8d94264b7b4050c094429ae}
androidx/savedstate: {androidx/savedstate, bbfada5c309eff177eef2306bbb78dd1}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, c278f882cdf82d496ff14594cc3d5cb4}
kotlinx/coroutines: {kotlinx/coroutines, 54365411c183dac59c37ca633a49aec5}
androidx/annotation: {androidx/annotation, cb553b92050b29f7d27e549e2de290e0}
com/itextpdf/testutils: {[com/itextpdf/testutils, com/itextpdf/text, com/itextpdf/awt, com/itextpdf/xmp, ], 170b9765010de0a18ef7111a0e9d0b09}
okhttp3/internal/ws: {[okhttp3/internal/concurrent, okhttp3/internal/ws, ], 020eb29b524d7ba672d9d48bc72db455}
okhttp3/internal/http: {okhttp3/internal/http, b492c9f2ee232de10ab8fc57e9e1d805}
com/jakewharton/rxbinding: {com/jakewharton/rxbinding, d98c4336413cfd861ede5a4a7aff9d62}
androidx/lifecycle: {androidx/lifecycle, bb04dc40cdfea7ac5901c5ab9fb4530e}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/viewbinding: {androidx/viewbinding, 897736dda5796857485753f22d69e171}
androidx/versionedparcelable: {androidx/versionedparcelable, 8eb64c6f8939caa913f31dd718d80585}
okhttp3: {okhttp3, 868e3289ff1693b6e82cb18307092e94}
androidx/core: {androidx/core, 519d25e524e25edbb66cc1acd11b063d}
androidx/collection: {androidx/collection, 1a585e18419e3105c7fc20304093e690}
androidx/transition: {androidx/transition, 6f7173422761bbcd201006c9902c6c72}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, ce57f636c8568f5ffbc42ce9a778b40f}
com/commonsware/cwac: {com/commonsware/cwac, 7d4b2ca3e826fa3a11a6ce6a411c9afb}
androidx/multidex: {androidx/multidex, 0a9c394be695ea4299708e376191902c}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], 59c0f1447aad3742c5fcd54fddf2f851}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
org/secfirst/advancedsearch: {org/secfirst/advancedsearch, 9dd4e07e340f1ea74a0a181edd01b11a}
androidx/media: {androidx/media, bf296e6bbe0ea37b6cec01617531a4cd}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
org/reactivestreams: {org/reactivestreams, f2c0ab0033b9dba5248bed9a187813ba}
retrofit2/adapter/rxjava2: {retrofit2/adapter/rxjava2, 95f231c5bce75e55ad7875c5de8c59eb}
androidx/documentfile: {androidx/documentfile, 9ac8d69c6cfce1a1dda4fe359af7e028}
org/apache/commons: {org/apache/commons, a3735b33743f4af520c6fd3d13dd25e0}
br/tiagohm/markdownview: {br/tiagohm/markdownview, 5c4d1d02e5eaaac046b48ea6f59bb0f4}
androidx/recyclerview: {androidx/recyclerview, 8dbc18dd58bd9c317ba7211aee02f556}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 49fb0bf2c332b48ae52775baa303b7ae}
org/secfirst/umbrella: {org/secfirst/umbrella, f045fb6a69b759b61c3edfeb526a6f5b}
kotlin/jvm: {kotlin/jvm, e2a629c1cbf4a13f1f72e949b969d9c4}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/io: {kotlin/io, 758d8d5db0ee9bbf6e4dc4a3dc67eed3}
androidx/loader: {androidx/loader, cdd07708525e3b89c0acb34bc7b0ce77}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/coordinatorlayout: {androidx/coordinatorlayout, e228211bc358ad3b6efc765fe265f4b3}
dagger/android: {dagger/android, e900171541a4c9a4546d1d17e354e06d}
dagger/internal: {dagger/internal, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8528ad3d434333164336d3f6f45bd5ec}
net/sqlcipher/database: {net/sqlcipher/database, 7e828ee30b4420708bac50f7f4c22582}
androidx/drawerlayout: {androidx/drawerlayout, 562452079dd1a4decb6a8c069ab0c399}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, 9ece91e6dd00d342ab53898cdef6b9fd}
org/jetbrains/anko: {org/jetbrains/anko, c627ca7208731de143364c4079fd0f3c}
androidx/exifinterface: {androidx/exifinterface, 0ce8371f46b42db75a99c22aad9de5bf}
kotlin/js: {kotlin/js, acf7ef943fdeb3cbfed8dd0d8f584731}
com/squareup/moshi: {com/squareup/moshi, 776f001cb0d2b808f254055fd245af86}
kotlinx/android/extensions: {kotlinx/android/extensions, cb5083028eb53dd2fc0fedad79fc63aa}
androidx/arch/core: {androidx/arch/core, d1a4286d5a6fe94a75d2bbc3402fd693}
br/com/goncalves: {br/com/goncalves, 5927b378c81bd204cef7b64aefc52343}
io/github/inflationx: {io/github/inflationx, 8da49b6933328eaf610d6750ef4d70f3}
androidx/legacy/content: {androidx/legacy/content, 7cad5a450f4ae8c92f752bf8c87ba91d}
io/reactivex: {io/reactivex, 52ffab280aecb26338ac6894f5a86aa5}
androidx/cardview: {androidx/cardview, 0488f7eaea696748b1ccdf9f5dbf85c1}
com/jakewharton/processphoenix: {com/jakewharton/processphoenix, af539f4f5d88ec32af7e462df365037d}
retrofit2: {retrofit2, 13349fe4083d8fb01bb59fe16e5fd8d9}
kotlin/collections: {kotlin/collections, 03f759625649c1c9cc2825455c363498}
com/googlecode/javaewah32: {[com/googlecode/javaewah32, com/googlecode/javaewah, ], 37613bfc8f1b4c5d1fd3efd4e7754196}
androidx/fragment: {androidx/fragment, 386820ace0f51acf989ad732fd2fe3b9}
com/codekidlabs/storagechooser: {com/codekidlabs/storagechooser, f18030da12c7062e63350f9b4e09f83e}
kotlin: {kotlin, 7371e06ea6113c087c3020e5c595ee15}
com/xwray/groupie: {com/xwray/groupie, a0a9daee4c0886f83abcd19554e9fd7d}
