androidx/appcompat: {androidx/appcompat, b03ef9aa76474d318feb68676edcfed4}
kotlin/collections: {kotlin/collections, 34ccf61c4c3fbeee9adce66aa9322754}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin: {kotlin, b53208a9e5760bf04a60b83a05fca6f5}
kotlin/io: {kotlin/io, 97e2e901bc8f2dc8025bb13376d0a48c}
androidx/drawerlayout: {androidx/drawerlayout, 76c8418eb4f35d21d646eacd67d1415f}
kotlin/internal: {kotlin/internal, b4417e41f992e5d6f6974963c7a56df1}
cz/msebera/android: {cz/msebera/android, 5cec407913895d25d2bcdc8a045a3e24}
androidx/activity: {androidx/activity, d3039830d580372448ea80151137549d}
kotlin/contracts: {kotlin/contracts, daeff7beac1984bd976a9f801046a2d3}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
kotlin/annotation: {kotlin/annotation, 1c1865e3758770a790e02249d58e60f5}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 27ad343df49272c95570410cd9bd7ac2}
androidx/preference: {androidx/preference, 48c56c272f90b2cf81b87f046bd26709}
androidx/lifecycle: {androidx/lifecycle, 5db1d4cf5688c32c1b1e63704ecf520f}
androidx/fragment: {androidx/fragment, 94b742e66f7274281b04ddfdb9552661}
kotlin/enums: {kotlin/enums, cd0fa8aa56cf8c762e43806d8b5108de}
androidx/loader: {androidx/loader, d51140e742729c539e11ebabeacc5feb}
androidx/vectordrawable: {androidx/vectordrawable, c6a34492b1bfed28be1fb002594bf3c9}
kotlin/coroutines: {kotlin/coroutines, cde6dd8830eb7e797acba5ac6b0473ad}
kotlin/math: {kotlin/math, b929bf4646b1bb4acaead746a413a6f2}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/concurrent/futures: {androidx/concurrent/futures, 0a587d9f81931f9596566cefb773d2f3}
com/google/android: {com/google/android, de50b53f37235e60b1e551a116fef11f}
androidx/versionedparcelable: {androidx/versionedparcelable, be92baa1b2a95690e716402943599c00}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 32f960e38e4844c0006b1c14664c521f}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 67e9c42036247b6a54263a0d37d13995}
androidx/collection: {androidx/collection, c5d3d3cde2a8c2879107d2117cbf1a70}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 9794ca4099a5b159aa10a0f16d47129b}
androidx/transition: {androidx/transition, f7516d038250612cfd3c8c52dcff8464}
kotlin/random: {kotlin/random, 49e7616f7e2f7fe134dc9d6f0ad0eeec}
androidx/cursoradapter: {androidx/cursoradapter, c59cc1e9f87611fdfae8c3be3ffc4004}
com/google/gdata: {com/google/gdata, 6aa3c522e1f968441d8a86240b5337f2}
androidx/cardview: {androidx/cardview, 85c890156a0bee6a3de2c26008e22c5b}
com/github/scribejava: {com/github/scribejava, 4e9af65766e6f95d1a01750e5370aee5}
androidx/core: {androidx/core, 06c04566334ef02f3e98964ad6b3cad3}
junit/extensions: {junit/extensions, 07742d3ec55c30284698a3739cb3d6be}
androidx/viewpager: {androidx/viewpager, 54b0010b0e6b6b55c847f8c826f0a9aa}
com/fasterxml/jackson: {com/fasterxml/jackson, 28e43d770861101dcb2c9c5f5a9dd226}
junit/textui: {junit/textui, abb0462377f838a84a560fcbe4b0ba29}
junit/framework: {junit/framework, 7a45a048bbdb5d4d240ac9696fe81b17}
kotlin/concurrent: {kotlin/concurrent, 6a614850559066b303bfafd588e232c4}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f3b1346faee38d03cb9bc94133944600}
cz/msebera/httpclient: {cz/msebera/httpclient, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/arch/core: {androidx/arch/core, 8c8d98605cd448ba5248c5db250255ec}
kotlin/properties: {kotlin/properties, fd571871520551ad42f4a97cd41fba97}
androidx/viewpager2: {androidx/viewpager2, e2e8c63b8204fcf53c72c7f0a6e1a8fd}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
androidx/savedstate: {androidx/savedstate, 633a52a8f381d1bb726a1be721430fab}
androidx/documentfile: {androidx/documentfile, d3ffe93ab03d6cfde3d5a6cc1e03b9c5}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 84907ecbcac70ca1d8c6dbcd8ebbb9c1}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, bc3bcbad63638efd0e6ff298908e36e9}
kotlin/ranges: {kotlin/ranges, 7bc2acb9a12713d95a76e1dc82edb0c3}
junit/runner: {junit/runner, b66e103b023eafedb1f7dfc536bdfa03}
androidx/recyclerview: {androidx/recyclerview, 5154e53cadb15d154139360fcdbbc8c2}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 8f556874adddcf79a88c80c2baf77e65}
kotlin/jvm: {kotlin/jvm, 3ceccc02614695333f5beadda551674a}
androidx/customview: {androidx/customview, 412681ff8cce65394d5f2ae7c0206d4b}
kotlin/comparisons: {kotlin/comparisons, aaa5f82d71bde421396dbfddd0bdaef2}
androidx/annotation: {androidx/annotation, 9b0745e8cac7b07bba4912b526a6c2be}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, e1e1b228273663952a5cf5e93b2361cd}
io/vavr: {io/vavr, 987f5cff8ff84e49738efe93a5316a5c}
